iter	Passed	Remaining
0	8	72229
1	18	76844
2	28	76914
3	36	75680
4	46	76954
5	56	77177
6	64	75893
7	73	75410
8	81	74337
9	91	74499
10	100	74750
11	109	74829
12	118	74664
13	127	74755
14	137	74816
15	145	74296
16	156	75150
17	163	74146
18	171	73730
19	178	72794
20	186	72630
21	194	72285
22	202	71996
23	210	71784
24	219	71785
25	227	71500
26	230	69557
27	238	69582
28	246	69315
29	251	68537
30	260	68538
31	269	68758
32	275	68213
33	282	67893
34	292	68118
35	299	67751
36	304	67140
37	308	66278
38	317	66311
39	324	66157
40	332	66197
41	339	65878
