iter	F1	Logloss
0	0.8544990475	0.5950593807
1	0.8766949545	0.5381205108
2	0.8835874713	0.4721732303
3	0.9013487171	0.4354337141
4	0.8945970404	0.4050422512
5	0.8945970404	0.3801186031
6	0.8945970404	0.3590840267
7	0.8945970404	0.3362420446
8	0.9013487171	0.322419986
9	0.9013487171	0.3098286384
10	0.9013583919	0.2994032287
11	0.9013583919	0.2849027238
12	0.9013583919	0.2775846484
13	0.9058971443	0.2707359707
14	0.9013583919	0.2641676495
15	0.9058779714	0.2532415895
16	0.9058927774	0.249362279
17	0.9058927774	0.2422206711
18	0.9058927774	0.2386853621
19	0.9058927774	0.2356204896
20	0.9125057091	0.2329444018
21	0.9125057091	0.2277202767
22	0.912486839	0.2235656558
23	0.912486839	0.2205050123
24	0.912486839	0.2178383356
25	0.912486839	0.2164197372
26	0.9125057091	0.2145364176
27	0.9125100648	0.2120496365
28	0.9125049855	0.2108289859
29	0.9124534523	0.2096366296
30	0.9124556261	0.2080657795
31	0.9125376283	0.2070209111
32	0.9148854103	0.2059753587
33	0.9149504484	0.2043665671
34	0.9149729015	0.2034341231
35	0.9161488078	0.2026488238
36	0.9161063577	0.2020645418
37	0.9161250794	0.2014181065
38	0.9161250794	0.2004511565
39	0.9162225956	0.2000211141
40	0.9162652424	0.1995390151
41	0.916298313	0.1988708042
42	0.9162502299	0.198154376
43	0.9162846056	0.1977160257
44	0.9162739465	0.1970284505
45	0.9162907039	0.1965806941
46	0.9163687984	0.1958686682
47	0.9166283777	0.195481072
48	0.9167562941	0.1950358912
49	0.9166272501	0.19445529
50	0.9167577269	0.1941328592
51	0.9168293376	0.1936352973
52	0.9168923685	0.193343635
53	0.9170694762	0.1929592347
54	0.9170931612	0.1926243017
55	0.9172962106	0.192362179
56	0.9173578204	0.1921475136
57	0.917273168	0.1917632008
58	0.9173266985	0.1913905388
59	0.9175546253	0.1906307283
60	0.9175801334	0.190407328
61	0.9176006953	0.190213903
62	0.9177911907	0.1899933376
63	0.9182463676	0.1897329946
64	0.9183948293	0.1895197339
65	0.9184506646	0.1892481384
66	0.9183897269	0.1888738515
67	0.9184189717	0.188644194
68	0.9183873467	0.1884708697
69	0.9185159639	0.1883032281
70	0.9185587118	0.1881646904
71	0.9185544488	0.187766723
72	0.918581694	0.187626239
73	0.9186455749	0.1873749074
74	0.9187073419	0.18711658
75	0.9187265773	0.1869395439
76	0.9187314241	0.1864339576
77	0.919037338	0.186275583
78	0.918857566	0.1859876258
79	0.9190176473	0.18557741
80	0.9190610339	0.1854265362
81	0.9190218501	0.185256734
82	0.9190640318	0.1850634444
83	0.9193142792	0.1847465376
84	0.9194041165	0.1845823182
85	0.919777575	0.1843197021
86	0.9199503207	0.1841817045
87	0.9201045072	0.1840919808
88	0.9201649024	0.1839449397
89	0.9202629966	0.183811528
90	0.9203363912	0.1837206876
91	0.9203485544	0.1836006063
92	0.9203502811	0.1834848394
93	0.9203933358	0.1834007338
