iter	Passed	Remaining
0	1	425
1	1	375
2	2	342
3	3	325
4	3	314
5	4	307
6	5	301
7	6	297
8	6	293
9	7	289
10	8	291
11	9	291
12	9	290
13	10	289
14	11	287
15	11	286
16	12	284
17	13	282
18	14	280
19	14	280
20	15	279
21	16	289
22	17	289
23	18	287
24	19	288
25	19	286
26	20	285
27	21	283
28	22	282
29	22	281
30	23	279
31	24	278
32	24	276
33	25	276
34	26	275
35	27	274
36	27	274
37	28	274
38	29	272
39	30	271
40	30	270
41	31	269
42	32	268
43	32	266
44	33	267
45	34	267
46	35	266
47	36	264
48	36	263
49	37	263
50	38	262
51	38	260
52	39	259
53	40	259
54	41	258
55	41	257
56	42	256
57	43	255
58	44	255
59	44	254
60	45	253
61	46	252
62	47	251
63	47	250
64	48	249
65	49	248
66	49	247
67	50	246
68	51	245
69	51	244
70	52	244
71	53	243
72	54	242
73	54	241
74	55	240
75	56	239
76	56	238
77	57	238
78	58	238
79	59	237
80	60	236
81	61	236
82	61	236
83	62	235
84	63	235
85	64	234
86	64	233
87	65	232
88	66	232
89	67	231
90	68	231
91	68	230
92	69	229
93	70	228
94	70	227
95	71	226
96	72	225
97	72	224
98	73	224
99	74	223
100	75	222
101	75	221
102	76	220
103	77	220
104	78	219
105	78	218
106	79	217
107	80	216
108	80	216
109	81	215
110	82	214
111	83	215
112	84	214
113	85	213
114	85	212
115	86	211
116	87	210
117	87	210
118	88	209
119	89	208
120	90	208
121	91	207
122	91	206
123	92	206
124	93	205
125	94	204
126	94	204
127	95	203
128	96	202
129	97	201
130	97	201
131	98	200
132	99	199
133	100	198
134	100	198
135	101	197
136	102	196
137	103	195
138	103	194
139	104	193
140	105	193
141	105	192
142	106	191
143	107	191
144	108	190
145	108	189
146	109	188
147	110	188
148	111	187
149	111	186
150	112	185
151	113	184
152	113	183
153	114	183
154	115	182
155	116	181
156	117	182
157	118	181
158	119	180
159	119	179
160	120	178
161	121	178
162	121	177
163	122	176
164	123	175
165	124	175
166	125	175
167	126	174
168	127	173
169	127	172
170	128	172
171	129	171
172	129	170
173	130	169
174	131	168
175	131	167
176	132	167
177	133	166
178	134	165
179	135	165
180	135	164
181	136	163
182	137	162
183	137	161
184	138	161
185	139	160
186	140	159
187	141	159
188	141	158
189	142	157
190	143	156
191	144	156
192	144	155
193	145	154
194	146	153
195	146	152
196	147	152
197	148	151
198	149	150
199	150	150
200	151	150
201	152	149
202	152	148
203	153	147
204	154	146
205	154	145
206	155	145
207	156	144
208	157	144
209	158	143
210	159	142
211	160	141
212	160	141
213	161	140
214	162	139
215	162	138
216	163	137
217	164	137
218	165	136
219	166	135
220	166	135
221	167	134
222	168	133
223	168	132
224	169	131
225	170	131
226	171	130
227	171	129
228	172	128
229	173	128
230	174	127
231	175	126
232	176	126
233	176	125
234	177	124
235	178	123
236	178	122
237	179	122
238	180	121
239	180	120
240	181	119
241	182	119
242	183	118
243	184	117
244	184	116
245	185	116
246	186	115
247	186	114
248	187	113
249	188	112
250	188	112
251	189	111
252	190	110
253	191	109
254	191	109
255	192	108
256	193	107
257	194	106
258	194	106
259	195	105
260	196	104
261	196	103
262	197	102
263	199	102
264	199	101
265	200	101
266	201	100
267	202	99
268	202	98
269	203	97
270	204	97
271	204	96
272	205	95
273	206	94
274	207	94
275	207	93
276	208	92
277	209	91
278	209	91
279	210	90
280	211	89
281	212	88
282	212	88
283	213	87
284	214	86
285	215	85
286	215	84
287	216	84
288	217	83
289	218	82
290	218	81
291	219	81
292	220	80
293	220	79
294	221	78
295	222	78
296	223	77
297	223	76
298	224	75
299	225	75
300	225	74
301	226	73
302	227	72
303	228	72
304	228	71
305	229	70
306	230	69
307	231	69
308	231	68
309	232	67
310	233	66
311	234	66
312	234	65
313	235	64
314	236	63
315	236	62
316	237	62
317	238	61
318	239	60
319	239	59
320	240	59
321	241	58
322	242	57
323	242	56
324	243	56
325	244	55
326	245	54
327	245	53
328	246	53
329	247	52
330	248	51
331	248	50
332	249	50
333	250	49
334	250	48
335	251	47
336	252	47
337	252	46
338	253	45
339	254	44
340	255	44
341	255	43
342	256	42
343	257	41
344	258	41
345	258	40
346	259	39
347	260	38
348	260	38
349	261	37
350	262	36
351	262	35
352	263	35
353	264	34
354	265	33
355	265	32
356	266	32
357	267	31
358	268	30
359	268	29
360	269	29
361	270	28
362	270	27
363	271	26
364	272	26
365	272	25
366	273	24
367	274	23
368	275	23
369	275	22
370	276	21
371	277	20
372	277	20
373	278	19
374	279	18
375	280	17
376	281	17
377	282	16
378	282	15
379	283	14
380	284	14
381	285	13
382	285	12
383	286	11
384	287	11
385	288	10
386	288	9
387	289	8
388	290	8
389	291	7
390	291	6
391	292	5
392	293	5
393	293	4
394	294	3
395	295	2
396	296	2
397	297	1
398	297	0
399	298	0
