feature,importance
worst_texture,11.230415107723934
worst_perimeter,10.170897957547341
worst_concave_points,8.693506520117827
worst_radius,8.194836544344607
worst_area,6.631785100117795
worst_concavity,5.788137493476177
mean_texture,4.933835155936964
area_error,4.6272291101144845
worst_smoothness,3.8103002749236676
mean_concave_points,3.5449016850642527
compactness_error,2.8036926516959864
radius_error,2.7407201389547895
mean_concavity,2.556440733848062
worst_compactness,2.5113913882271217
concavity_error,2.2452815526499275
worst_symmetry,2.084848617926792
mean_area,2.0101995019488683
mean_smoothness,1.9911194317148946
perimeter_error,1.8032903035207493
mean_perimeter,1.7898953935427366
fractal_dimension_error,1.499723818510979
mean_compactness,1.380485029699433
symmetry_error,1.288257148641391
smoothness_error,1.0832003227331064
concave_points_error,1.067329894840865
worst_fractal_dimension,1.0133536273744292
mean_fractal_dimension,0.9552041902801599
mean_radius,0.7091154875662865
mean_symmetry,0.4680643100216333
texture_error,0.37254150693473187
