feature,importance
worst_texture,528
mean_texture,512
worst_perimeter,470
worst_concave_points,441
worst_area,338
worst_concavity,321
mean_concave_points,297
worst_radius,296
worst_smoothness,289
worst_symmetry,265
area_error,255
mean_radius,189
compactness_error,174
mean_symmetry,169
texture_error,165
mean_concavity,163
mean_perimeter,160
symmetry_error,146
worst_compactness,142
smoothness_error,129
fractal_dimension_error,127
mean_smoothness,125
concave_points_error,122
mean_fractal_dimension,109
radius_error,107
concavity_error,99
mean_compactness,96
mean_area,86
perimeter_error,78
worst_fractal_dimension,78
