feature,importance
worst_perimeter,0.28627744
mean_concave_points,0.20563756
worst_area,0.12130666
worst_concave_points,0.073826246
worst_radius,0.050643098
worst_texture,0.024512945
worst_concavity,0.021898119
mean_perimeter,0.021513294
mean_texture,0.020813387
worst_compactness,0.018582432
worst_smoothness,0.0137813175
fractal_dimension_error,0.013420667
area_error,0.013322211
mean_smoothness,0.012492574
mean_area,0.011860502
mean_radius,0.010406909
smoothness_error,0.009339443
mean_concavity,0.009219071
texture_error,0.008968218
mean_fractal_dimension,0.0073325085
symmetry_error,0.0056241993
compactness_error,0.005581373
concave_points_error,0.0050296374
perimeter_error,0.00477741
mean_compactness,0.0047337217
worst_symmetry,0.004370814
radius_error,0.0043450575
worst_fractal_dimension,0.004119189
concavity_error,0.0040789116
mean_symmetry,0.0021850895
