feature,importance
mean_area worst_smoothness,0.1594795
worst_area worst_concave_points,0.13660154
worst_area worst_smoothness,0.1308744
worst_area worst_symmetry,0.038500328
mean_concave_points worst_texture,0.024705647
mean_texture worst_area,0.022180097
area_error worst_concavity,0.021627951
mean_fractal_dimension worst_area,0.016104482
mean_area worst_texture,0.0160766
worst_radius worst_concavity,0.01459282
mean_texture worst_concave_points,0.012311923
mean_texture worst_perimeter,0.01212152
worst_radius worst_smoothness,0.011587263
mean_symmetry worst_texture,0.01151316
area_error worst_compactness,0.011373707
mean_concavity worst_texture,0.010418445
mean_texture mean_concave_points,0.01031371
mean_texture mean_concavity,0.009253102
worst_texture worst_concave_points,0.0090669105
worst_perimeter worst_smoothness,0.00843596
worst_area worst_concavity,0.008405861
worst_area worst_fractal_dimension,0.008167585
radius_error worst_concavity,0.00789386
mean_symmetry,0.0073219044
mean_texture perimeter_error,0.00715388
radius_error worst_compactness,0.0071457857
worst_texture worst_perimeter,0.0068616457
worst_texture worst_area,0.0065699597
worst_radius worst_texture,0.0062897294
mean_symmetry worst_smoothness,0.005928233
worst_concave_points worst_fractal_dimension,0.00559719
area_error worst_radius,0.0055309017
mean_symmetry worst_radius,0.0052143703
radius_error worst_texture,0.0050231097
concave_points_error,0.004614606
mean_texture area_error,0.004170154
mean_fractal_dimension,0.00414976
worst_smoothness worst_concave_points,0.004133631
mean_symmetry worst_perimeter,0.004079622
worst_texture worst_symmetry,0.0040182713
mean_radius texture_error,0.003961585
area_error worst_concave_points,0.0039092083
radius_error area_error,0.0038713582
area_error worst_texture,0.0036259205
worst_radius worst_fractal_dimension,0.0034496428
mean_symmetry worst_area,0.0034190784
radius_error worst_symmetry,0.0033951483
mean_smoothness worst_area,0.003372909
mean_texture worst_concavity,0.0032711814
mean_radius worst_texture,0.0032156708
mean_texture radius_error,0.0031361184
worst_texture worst_concavity,0.0031072712
perimeter_error worst_concave_points,0.0030519618
radius_error compactness_error,0.003037471
mean_smoothness concave_points_error,0.0029736673
