experiment,seed,fold,sample_index,prediction,positive_class,top_contributions,expected_value
automl_suite_flaml,42,-1,204,0.9756922721862793,1,"[('worst_area', 0.08191568693641808), ('worst_concave_points', 0.08115562909797107), ('worst_perimeter', 0.03829590839720638), ('worst_radius', 0.038165449658251596), ('mean_concave_points', 0.03777667656295057), ('area_error', 0.019300254993755858), ('mean_area', 0.01635802608474507), ('mean_texture', 0.013232830219113437), ('texture_error', 0.005192560925638644), ('worst_symmetry', 0.004157032390743749)]",0.6401422169194848
automl_suite_flaml,42,-1,70,0.0014936364023014903,1,"[('worst_concave_points', -0.09522478763929246), ('mean_symmetry', -0.08506574874672279), ('area_error', -0.0779524591925307), ('mean_concave_points', -0.07730255864458482), ('worst_perimeter', -0.06259382617507936), ('mean_radius', -0.057724534395989985), ('worst_radius', -0.05387069785989486), ('worst_texture', -0.045854262780679306), ('smoothness_error', -0.04553085682626911), ('worst_area', -0.03752884825613989)]",0.6401422169194848
automl_suite_flaml,42,-1,131,0.0029411145951598883,1,"[('worst_texture', -0.11593484203267171), ('worst_area', -0.10091570321265927), ('worst_perimeter', -0.08994759053606843), ('worst_concavity', -0.08741605156473933), ('mean_compactness', -0.0628037448591902), ('worst_concave_points', -0.050917121975107504), ('concavity_error', -0.04685753801829173), ('mean_symmetry', -0.029270608659739742), ('mean_concavity', -0.0272717699020973), ('mean_concave_points', -0.025866131563759713)]",0.6401422169194848
automl_suite_flaml,42,-1,431,0.9979561567306519,1,"[('worst_concave_points', 0.07848653524448328), ('worst_area', 0.04787834369616372), ('worst_texture', 0.042596680868750104), ('mean_radius', 0.039307913739680914), ('worst_perimeter', 0.038167923008416406), ('worst_radius', 0.031212904765549943), ('mean_perimeter', 0.023977075811004226), ('area_error', 0.023021434489695992), ('worst_fractal_dimension', 0.019822509339341977), ('worst_compactness', 0.013342618848080467)]",0.6401422169194848
automl_suite_flaml,42,-1,540,0.9990730285644531,1,"[('mean_texture', 0.07011714617981837), ('symmetry_error', 0.05499455436339845), ('worst_perimeter', 0.042241550692073845), ('worst_radius', 0.03650206159122648), ('mean_concave_points', 0.03375114374505252), ('smoothness_error', 0.03317369598767014), ('worst_symmetry', 0.027069288660524195), ('worst_area', 0.023977157447594735), ('mean_perimeter', 0.021843965816767327), ('worst_concavity', 0.015260247160842235)]",0.6401422169194848
automl_suite_flaml,42,-1,204,0.999079704284668,1,"[('worst_area', 0.07324005485460494), ('worst_concave_points', 0.06743160700904421), ('worst_perimeter', 0.05710003409180567), ('mean_perimeter', 0.05123718548312343), ('area_error', 0.027484034070611944), ('mean_radius', 0.024724291807159734), ('worst_texture', 0.016061777575238467), ('mean_concave_points', 0.012688739848494826), ('worst_radius', 0.010992843555149016), ('worst_fractal_dimension', 0.008740376904737612)]",0.6493787590846981
automl_suite_flaml,42,-1,70,6.262154784053564e-06,1,"[('worst_concavity', -0.170440344845946), ('mean_texture', -0.10984520055484638), ('worst_concave_points', -0.07636108815271618), ('concave_points_error', -0.07071699866991503), ('area_error', -0.06612115841667418), ('worst_perimeter', -0.06246157090577127), ('mean_concave_points', -0.033116291047805196), ('worst_symmetry', -0.029256139290515355), ('mean_area', -0.02395950884299289), ('mean_concavity', -0.00709419620273144)]",0.6493787590846981
automl_suite_flaml,42,-1,131,2.3810887796571478e-05,1,"[('mean_concave_points', -0.1354189933440184), ('worst_perimeter', -0.12015719488665193), ('worst_area', -0.08887191209465858), ('worst_concavity', -0.08751530690959136), ('symmetry_error', -0.08563297866643897), ('area_error', -0.06589254242664315), ('worst_concave_points', -0.02804566284256146), ('mean_radius', -0.017234801165773028), ('worst_smoothness', -0.010326871946694204), ('fractal_dimension_error', -0.010258683913870303)]",0.6493787590846981
automl_suite_flaml,42,-1,431,0.9999951124191284,1,"[('radius_error', 0.051030452414505864), ('worst_perimeter', 0.0503895712258019), ('worst_concave_points', 0.045548760419833446), ('mean_concave_points', 0.03777262441019651), ('area_error', 0.037701879947657446), ('worst_texture', 0.03468644756657529), ('worst_area', 0.031103759518766542), ('worst_symmetry', 0.028227531567950714), ('worst_concavity', 0.018876234782999934), ('mean_perimeter', 0.015279091480142597)]",0.6493787590846981
automl_suite_flaml,42,-1,540,0.999993085861206,1,"[('worst_concavity', 0.09262949507187478), ('mean_concave_points', 0.04040911446176919), ('worst_area', 0.0374186634123609), ('worst_concave_points', 0.035348384538662396), ('worst_radius', 0.030103524996531236), ('symmetry_error', 0.028294255295877157), ('area_error', 0.026009147839215204), ('compactness_error', 0.025611906422462652), ('mean_texture', 0.01777240925154744), ('worst_perimeter', 0.017017425486206994)]",0.6493787590846981
automl_suite_flaml,42,-1,204,0.9992915391921997,1,"[('worst_perimeter', 0.0989657668187932), ('mean_concave_points', 0.04710764490742299), ('symmetry_error', 0.043739967935815964), ('mean_texture', 0.031781440928111526), ('concave_points_error', 0.027434183368294198), ('worst_radius', 0.026893157402322763), ('worst_compactness', 0.022292140083401357), ('radius_error', 0.02173253927409764), ('worst_texture', 0.020947377355420307), ('mean_concavity', 0.005683190725841576)]",0.6527141303926782
automl_suite_flaml,42,-1,70,4.8457342927576974e-05,1,"[('worst_perimeter', -0.14501372974125395), ('worst_fractal_dimension', -0.08803983447525135), ('smoothness_error', -0.0736822798161437), ('mean_texture', -0.059091426457584695), ('worst_radius', -0.05667194545939769), ('mean_area', -0.0555500647435968), ('worst_area', -0.05414629638371092), ('texture_error', -0.04369473947603968), ('area_error', -0.03920774383239523), ('worst_concave_points', -0.03756761266437665)]",0.6527141303926782
automl_suite_flaml,42,-1,131,1.3413551641860977e-05,1,"[('worst_perimeter', -0.13452939656055207), ('mean_concave_points', -0.1265189134084782), ('worst_smoothness', -0.11697228013270888), ('worst_concave_points', -0.06785466803717995), ('worst_radius', -0.05530057525951028), ('mean_area', -0.0405573620527101), ('worst_concavity', -0.03998821308802324), ('worst_compactness', -0.028310506343957226), ('mean_fractal_dimension', -0.02805835269331758), ('worst_area', -0.014610449264598702)]",0.6527141303926782
automl_suite_flaml,42,-1,431,0.9999890327453613,1,"[('worst_area', 0.06718471018179357), ('worst_smoothness', 0.054550363136689387), ('worst_concave_points', 0.03884848352127182), ('texture_error', 0.03766238563877506), ('worst_texture', 0.033861794665930034), ('concave_points_error', 0.0286051970560601), ('mean_area', 0.0271036836029265), ('worst_symmetry', 0.025180698127277024), ('worst_fractal_dimension', 0.019350172043129426), ('area_error', 0.014927414378830155)]",0.6527141303926782
automl_suite_flaml,42,-1,540,0.9999984502792358,1,"[('worst_area', 0.0800968614864629), ('worst_perimeter', 0.06743688746411038), ('worst_concave_points', 0.06192836025881918), ('worst_concavity', 0.031779092280459255), ('worst_fractal_dimension', 0.029634761548770434), ('mean_texture', 0.02251807599023539), ('smoothness_error', 0.017071272313241365), ('worst_radius', 0.015760690096260663), ('worst_texture', 0.013227462668221057), ('area_error', 0.007830855779976975)]",0.6527141303926782
automl_suite_flaml,42,-1,204,0.9994958911660613,1,"[('worst_area', 0.11269701345257208), ('mean_texture', 0.050848354210800105), ('mean_radius', 0.038859409165503234), ('worst_concave_points', 0.0362716603438414), ('mean_concave_points', 0.034579040657744003), ('worst_perimeter', 0.02756401634605596), ('worst_radius', 0.022405157064713736), ('fractal_dimension_error', 0.015537363787501457), ('mean_smoothness', 0.014256052742707515), ('perimeter_error', 0.0025124637677308966)]",0.6439653596268908
automl_suite_flaml,42,-1,70,2.8753482506772168e-05,1,"[('worst_perimeter', -0.09683747256782164), ('area_error', -0.08694197753174145), ('symmetry_error', -0.07443800541424392), ('worst_concavity', -0.07284014548708546), ('worst_area', -0.07036080138508198), ('worst_smoothness', -0.06839975474314576), ('worst_concave_points', -0.06161568079440498), ('worst_fractal_dimension', -0.04998393796989836), ('mean_perimeter', -0.03619466413519834), ('mean_concavity', -0.026324166115762236)]",0.6439653596268908
automl_suite_flaml,42,-1,131,2.315935895957418e-05,1,"[('worst_concavity', -0.193847494716697), ('perimeter_error', -0.08916578310557233), ('worst_area', -0.07689286033977087), ('area_error', -0.07390964930784859), ('mean_concavity', -0.06013506876196195), ('concave_points_error', -0.046238934085030235), ('mean_area', -0.04378208111603186), ('worst_radius', -0.027642954748745598), ('worst_smoothness', -0.02491626608758779), ('mean_texture', -0.0074111079986850376)]",0.6439653596268908
automl_suite_flaml,42,-1,431,0.9999640454332154,1,"[('worst_area', 0.0690667357801835), ('area_error', 0.062137611082903686), ('mean_concave_points', 0.05209907003724589), ('worst_perimeter', 0.04332222567131632), ('worst_radius', 0.04115343549168252), ('worst_texture', 0.031315749542789185), ('worst_concave_points', 0.019586345574115538), ('mean_area', 0.0149794558202434), ('worst_compactness', 0.013918535528983698), ('worst_fractal_dimension', 0.008419521276860742)]",0.6439653596268908
automl_suite_flaml,42,-1,540,0.9999965023257138,1,"[('mean_concave_points', 0.05372254132248037), ('worst_area', 0.047080151557457414), ('fractal_dimension_error', 0.04197323172142098), ('worst_concave_points', 0.04048715316877178), ('mean_radius', 0.038920047097745276), ('compactness_error', 0.034876553176748766), ('mean_smoothness', 0.03462643925865951), ('worst_concavity', 0.03106618668124176), ('area_error', 0.022673497957558086), ('mean_area', 0.010605340756739023)]",0.6439653596268908
automl_suite_flaml,42,-1,204,0.9989227826307743,1,"[('mean_concave_points', 0.06777364834354263), ('worst_radius', 0.06311161336585884), ('area_error', 0.051861916349557544), ('worst_concave_points', 0.05057375774264479), ('mean_texture', 0.042221675207746875), ('worst_area', 0.03223827245764659), ('mean_radius', 0.012884439714011134), ('mean_fractal_dimension', 0.011140499309820029), ('worst_fractal_dimension', 0.009679172871219338), ('worst_texture', 0.007810965944494281)]",0.6496268213242322
