framework,metric,mean,std,ci95_low,ci95_high,boot_ci_low,boot_ci_high,n
CatBoost,f1_macro,0.8273040231339328,0.0032197677577195656,0.8209932783288024,0.8336147679390632,0.8249001426053745,0.8297516074957733,5
CatBoost,accuracy,0.8351826998924962,0.003080067114254674,0.829145768348557,0.8412196314364353,0.8328828828828829,0.8374876343996777,5
XGBoost,f1_macro,0.8328609870579864,0.0021289457090939495,0.8286882534681622,0.8370337206478106,0.8312368414625432,0.8344851326534293,5
XGBoost,accuracy,0.8498832301345353,0.0019428710122010304,0.8460752029506212,0.8536912573184493,0.8483445770936815,0.8513430368456472,5
XGBoost,roc_auc_ovr,0.9356638034262901,0.0009089664984460406,0.9338822290893358,0.9374453777632443,0.9349384699495935,0.9363770178438792,5
XGBoost,avg_precision_ovr,0.9703443774892848,0.0004999671829974005,0.9693644418106099,0.9713243131679598,0.96995286799068,0.9707794176484382,5
H2O_AutoML,f1_macro,0.8293138525082446,0.003409664604178101,0.8226309098840555,0.8359967951324337,0.8264636954229521,0.832164009593537,4
H2O_AutoML,accuracy,0.8455331164892457,0.006940584661861505,0.8319295705519971,0.8591366624264942,0.8386400702669,0.8494477057623234,4
H2O_AutoML,roc_auc_ovr,0.9361525324810626,0.002043204207170904,0.9321478522350076,0.9401572127271175,0.9343980119778713,0.9383957820390262,3
H2O_AutoML,avg_precision_ovr,0.9704249305362015,0.0005099936702235691,0.9694253429425633,0.9714245181298397,0.9699600071500772,0.9709704069692427,3
FLAML,f1_macro,0.8314670321290877,0.0,0.8314670321290877,0.8314670321290877,0.8314670321290877,0.8314670321290877,1
FLAML,accuracy,0.8490121813901116,0.0,0.8490121813901116,0.8490121813901116,0.8490121813901116,0.8490121813901116,1
FLAML,roc_auc_ovr,0.9343980119778712,0.0,0.9343980119778712,0.9343980119778712,0.9343980119778712,0.9343980119778712,1
FLAML,avg_precision_ovr,0.9699600071500772,0.0,0.9699600071500772,0.9699600071500772,0.9699600071500772,0.9699600071500772,1
