framework,metric,mean,std,ci95_low,ci95_high,boot_ci_low,boot_ci_high,n
CatBoost,f1_macro,0.49502184142964634,0.009660243874932542,0.47608776343477854,0.5139559194245141,0.4876307276814632,0.5024129551778295,5
CatBoost,accuracy,0.773306899134595,0.018488517834472383,0.7370694041790292,0.8095443940901609,0.7587701835877019,0.7878436146814882,5
CatBoost,roc_auc_ovr,0.8689152777380686,0.01433381641446256,0.840820997565722,0.8970095579104153,0.8587260741509185,0.8816529989839352,5
CatBoost,avg_precision_ovr,0.11200991396798352,0.012076964590350072,0.08833906337089738,0.13568076456506967,0.10266816942498629,0.12135165851098076,5
XGBoost,f1_macro,0.5127022732683487,0.01320775555103343,0.4868150723883232,0.5385894741483742,0.5024764606193555,0.5228844564244467,5
XGBoost,accuracy,0.9817743522964563,0.0002517039731579714,0.9812810125090666,0.9822676920838459,0.9815756897731825,0.981973423298447,5
XGBoost,roc_auc_ovr,0.8666030818346926,0.021487280581592938,0.8244880118947704,0.9087181517746148,0.849836837363178,0.883186148885113,5
XGBoost,avg_precision_ovr,0.13597618179334062,0.01920250393129504,0.09833927408800233,0.1736130894986789,0.12178514336308373,0.15157652514111672,5
automl_suite_autogluon,accuracy,0.959920978202328,0.015508901021023322,0.9295235322011223,0.9903184242035338,0.9480873130839914,0.9713349889195866,5
automl_suite_autogluon,fit_time_sec,12.459082016800313,1.742273082378453,9.044226775338545,15.87393725826208,11.136784283400265,13.8400044668002,5
automl_suite_autogluon,predict_time_sec,0.03168070020001318,0.007982876316244043,0.016034262620174856,0.0473271377798515,0.0250888670003405,0.038505029079933535,5
H2O_AutoML,f1_macro,0.5352334185392791,0.04284975879915968,0.4512478912929261,0.6192189457856321,0.5042831274872077,0.5725721009432371,5
H2O_AutoML,accuracy,0.934396640957714,0.0903826465134633,0.7572466537913259,1.111546628124102,0.8529250575191359,0.9797455773312217,5
H2O_AutoML,roc_auc_ovr,0.8472242247903413,0.044968771111019025,0.759085433412744,0.9353630161679386,0.8077967259814101,0.872840481935173,5
H2O_AutoML,avg_precision_ovr,0.11800063155872054,0.023889926233223824,0.07117637614160184,0.16482488697583925,0.09984221716393879,0.13502191462391516,5
FLAML,f1_macro,0.5619414668929864,0.0,0.5619414668929864,0.5619414668929864,0.5619414668929864,0.5619414668929864,1
FLAML,accuracy,0.9723543071989385,0.0,0.9723543071989385,0.9723543071989385,0.9723543071989385,0.9723543071989385,1
FLAML,roc_auc_ovr,0.7691904327640525,0.0,0.7691904327640525,0.7691904327640525,0.7691904327640525,0.7691904327640525,1
FLAML,avg_precision_ovr,0.0823579894946906,0.0,0.0823579894946906,0.0823579894946906,0.0823579894946906,0.0823579894946906,1
LightGBM,f1_macro,0.5093348406541984,0.0034173707772918375,0.5026367939307064,0.5160328873776905,0.5068053898659446,0.5119319355533413,5
LightGBM,accuracy,0.9815310481859839,0.0003494063728956601,0.9808462116951084,0.9822158846768594,0.9812664469246849,0.9818181818181818,5
LightGBM,roc_auc_ovr,0.8503718474806871,0.01930487539658013,0.81253429170339,0.8882094032579841,0.8358253690292962,0.8649183259320778,5
LightGBM,avg_precision_ovr,0.11616093554228162,0.015047105943724107,0.08666860789258236,0.14565326319198085,0.10541461068248148,0.12921922069947298,5
