framework_a,framework_b,metric,diff,t_stat,p_value,boot_ci_low,boot_ci_high
CatBoost,feature_ablation_xgboost_baseline,accuracy,0.0035242974693371343,0.3901351579357071,0.7163206852759878,-0.012265176214873396,0.01931377115354762
CatBoost,feature_ablation_xgboost_poly2,accuracy,-0.0035087719298244613,-0.7844645405527343,0.4766206672728424,-0.010526315789473694,0.0035087719298245723
CatBoost,automl_suite_flaml,accuracy,0.0052786834342495315,0.5159457068013923,0.6331010739478797,-0.015773948144697993,0.01754385964912284
CatBoost,H2O_AutoML,f1_macro,-0.0038211409589266054,-0.46408614528380365,0.6667182476077613,-0.018303089185788157,0.010203853882053885
CatBoost,H2O_AutoML,accuracy,-0.003972458676014257,-0.5019958521192557,0.6420443448265201,-0.018033491539864065,0.009530614833231633
CatBoost,automl_suite_h2o,accuracy,-0.005294208973761649,-0.38460830470537233,0.7201012228512433,-0.03336438441235825,0.01578947368421053
CatBoost,leaderboard,f1_macro,-0.0038211409589266054,-0.46408614528380365,0.6667182476077613,-0.018303089185788157,0.010203853882053885
CatBoost,leaderboard,accuracy,-0.003972458676014257,-0.5019958521192557,0.6420443448265201,-0.018033491539864065,0.009530614833231633
feature_ablation_xgboost_baseline,feature_ablation_xgboost_poly2,accuracy,-0.007033069399161596,-0.8268833010303174,0.45477608444556883,-0.022807017543859654,0.007017543859649079
feature_ablation_xgboost_baseline,feature_ablation_xgboost_poly2,fit_time_sec,-0.14697188321151772,-27.429777084686656,1.0505670788242841e-05,-0.15634411641513002,-0.13768205940854386
feature_ablation_xgboost_baseline,feature_ablation_xgboost_poly2,predict_time_sec,-0.01946220819372682,-73.2348725305291,2.0832428170086592e-07,-0.01992446619551626,-0.01899995019193738
feature_ablation_xgboost_baseline,automl_suite_flaml,accuracy,0.0017543859649123972,0.19611613513818205,0.8540797033781732,-0.012280701754386003,0.019298245614035082
feature_ablation_xgboost_baseline,automl_suite_flaml,fit_time_sec,-599.833828758009,-12439.045897012486,2.5061262797501936e-16,-599.9220443199886,-599.7439333606345
feature_ablation_xgboost_baseline,automl_suite_flaml,predict_time_sec,0.0001776752033038403,0.657109989139044,0.5469972020813796,-0.00028084139921700016,0.00065125001419806
feature_ablation_xgboost_baseline,H2O_AutoML,accuracy,-0.007496756145351391,-0.6905467009347591,0.5278307430663405,-0.02293333672000102,0.013383988139362434
feature_ablation_xgboost_baseline,automl_suite_h2o,accuracy,-0.008818506443098784,-0.769829700302943,0.4843433925248969,-0.02816332867567144,0.012235289551311885
feature_ablation_xgboost_baseline,automl_suite_h2o,fit_time_sec,-591.466956650198,-159.00541465803414,9.384023513968042e-09,-598.8844853178002,-587.5191602255916
feature_ablation_xgboost_baseline,automl_suite_h2o,predict_time_sec,-0.02951597459032198,-8.160100419551128,0.0012277006219180821,-0.036474539842165504,-0.023756557604065164
feature_ablation_xgboost_baseline,leaderboard,accuracy,-0.007496756145351391,-0.6905467009347591,0.5278307430663405,-0.02293333672000102,0.013383988139362434
feature_ablation_xgboost_poly2,automl_suite_flaml,accuracy,0.008787455364073993,1.1973413790779575,0.29727717180214047,-0.005247632355224341,0.01931377115354762
feature_ablation_xgboost_poly2,automl_suite_flaml,fit_time_sec,-599.6868568747974,-11885.13274008937,3.007011463225866e-16,-599.7797271732484,-599.5903518415929
feature_ablation_xgboost_poly2,automl_suite_flaml,predict_time_sec,0.019639883397030662,46.20422853584025,1.3124094685536563e-06,0.018939891795162117,0.02049203339847738
feature_ablation_xgboost_poly2,H2O_AutoML,accuracy,-0.00046368674618979533,-0.07441160035190299,0.9442555849653453,-0.011164017701681295,0.01023664420930175
feature_ablation_xgboost_poly2,automl_suite_h2o,accuracy,-0.001785437043937188,-0.16942846551636398,0.8736829079089565,-0.02121836671324313,0.01578947368421051
feature_ablation_xgboost_poly2,automl_suite_h2o,fit_time_sec,-591.3199847669864,-159.12482914116472,9.355890121492145e-09,-598.7319545770941,-587.381838475581
feature_ablation_xgboost_poly2,automl_suite_h2o,predict_time_sec,-0.010053766396595158,-2.6448711100153877,0.05728789843607159,-0.017408452788513357,-0.004084616206819221
feature_ablation_xgboost_poly2,leaderboard,accuracy,-0.00046368674618979533,-0.07441160035190299,0.9442555849653453,-0.011164017701681295,0.01023664420930175
automl_suite_flaml,H2O_AutoML,accuracy,-0.009251142110263788,-1.5156379667554654,0.20419268279602398,-0.01996097266601467,0.0017803311094638063
automl_suite_flaml,automl_suite_h2o,accuracy,-0.01057289240801118,-1.8072277218183719,0.1450140006037556,-0.02119236143455978,-2.2204460492503132e-17
automl_suite_flaml,automl_suite_h2o,fit_time_sec,8.366872107810991,2.2553364345799847,0.08712887331165813,0.9413890113001981,12.317741308006225
automl_suite_flaml,automl_suite_h2o,predict_time_sec,-0.02969364979362582,-8.028387775959747,0.001306177343926701,-0.03703852109436411,-0.02417092460091228
automl_suite_flaml,leaderboard,accuracy,-0.009251142110263788,-1.5156379667554654,0.20419268279602398,-0.01996097266601467,0.0017803311094638063
XGBoost,LightGBM,f1_macro,-0.005566986119458495,-0.5815141238983981,0.6646821570035102,-0.015140246493837606,0.0040062742549208386
XGBoost,LightGBM,accuracy,-0.005256980479367512,-0.5988740323715631,0.6564855911558736,-0.0140350877192984,0.0035211267605634866
H2O_AutoML,automl_suite_h2o,accuracy,-0.0013217502977473927,-0.17406764825894916,0.8702668512521023,-0.017088318344437782,0.011525056252747046
H2O_AutoML,leaderboard,f1_macro,0.0,,,0.0,0.0
H2O_AutoML,leaderboard,accuracy,0.0,,,0.0,0.0
boosting_suite_xgboost_baseline,boosting_suite_lightgbm_baseline,accuracy,-0.007017543859649145,-0.8844381345061559,0.39947062580108206,-0.021930018630647415,0.007048983077161891
boosting_suite_xgboost_baseline,boosting_suite_lightgbm_baseline,fit_time_sec,-0.46535517930024073,-46.77251403773484,4.673691769285786e-12,-0.48351027592747414,-0.44803373065220514
boosting_suite_xgboost_baseline,boosting_suite_lightgbm_baseline,predict_time_sec,0.0008955749013694098,3.652163266823183,0.005299673295731759,0.0006174163242031135,0.0013941902243823326
boosting_suite_xgboost_baseline,boosting_suite_catboost_baseline,accuracy,-0.006148113646949116,-1.656847366243164,0.13193024556619742,-0.013165657506598405,0.000869430212699851
boosting_suite_xgboost_baseline,boosting_suite_catboost_baseline,fit_time_sec,-0.4332417498051655,-71.25639862138159,1.0673566744268944e-13,-0.4446896492997257,-0.42345853997310773
boosting_suite_xgboost_baseline,boosting_suite_catboost_baseline,predict_time_sec,0.0010593666986096599,3.1237821884530166,0.012243759747172336,0.0004140747322525946,0.0016586986046968528
boosting_suite_lightgbm_baseline,boosting_suite_catboost_baseline,accuracy,0.0008694302127000286,0.11488246368391948,0.9110605190986631,-0.011443098897686733,0.015797236453966735
boosting_suite_lightgbm_baseline,boosting_suite_catboost_baseline,fit_time_sec,0.03211342949507523,2.964651242478884,0.015839404700970148,0.01267132445875177,0.05324389986224559
boosting_suite_lightgbm_baseline,boosting_suite_catboost_baseline,predict_time_sec,0.0001637917972402501,0.6065598096474772,0.5591305623437479,-0.00042762796081662394,0.0005124981957487665
automl_suite_h2o,leaderboard,accuracy,0.0013217502977473927,0.17406764825894916,0.8702668512521023,-0.011525056252747046,0.017088318344437782
