feature,importance
worst_concave_points,575
worst_perimeter,477
worst_texture,477
mean_texture,361
mean_concave_points,347
area_error,294
worst_area,285
worst_smoothness,259
worst_concavity,254
worst_symmetry,253
worst_radius,234
symmetry_error,200
compactness_error,195
fractal_dimension_error,191
concave_points_error,176
worst_compactness,155
perimeter_error,153
texture_error,148
radius_error,147
mean_radius,137
smoothness_error,134
mean_concavity,133
worst_fractal_dimension,129
mean_fractal_dimension,118
mean_compactness,116
mean_perimeter,107
mean_smoothness,96
mean_symmetry,90
concavity_error,55
mean_area,52
