feature,importance
worst_perimeter,0.22453329
worst_radius,0.15502042
mean_concave_points,0.1307805
worst_area,0.13036828
worst_concave_points,0.08309897
worst_compactness,0.031218287
worst_concavity,0.030769944
area_error,0.019967193
mean_texture,0.01898736
worst_texture,0.017136272
mean_concavity,0.016377127
perimeter_error,0.015304121
radius_error,0.014223475
mean_perimeter,0.013181564
worst_smoothness,0.010059298
mean_area,0.010007769
mean_compactness,0.00863389
mean_radius,0.0073973453
concavity_error,0.0073931576
worst_fractal_dimension,0.006807861
compactness_error,0.006269747
fractal_dimension_error,0.0061340146
worst_symmetry,0.005603902
mean_fractal_dimension,0.0052246186
texture_error,0.0048648603
symmetry_error,0.004487969
mean_smoothness,0.0043787546
smoothness_error,0.0041952627
mean_symmetry,0.004060571
concave_points_error,0.0035141492
