feature,importance
worst_perimeter,0.2804546
worst_concave_points,0.14639707
worst_radius,0.09861899
worst_area,0.08357293
mean_concave_points,0.071665876
mean_concavity,0.028478026
concavity_error,0.023548465
worst_compactness,0.022716608
worst_concavity,0.02257895
mean_texture,0.01827063
worst_texture,0.017405326
mean_area,0.017379515
perimeter_error,0.017375717
mean_radius,0.015868984
worst_smoothness,0.015431855
radius_error,0.013985099
area_error,0.013366232
mean_fractal_dimension,0.013142278
concave_points_error,0.0111528095
mean_smoothness,0.009101894
worst_fractal_dimension,0.009041575
texture_error,0.0083012255
worst_symmetry,0.0077778925
mean_compactness,0.0061543533
compactness_error,0.006036706
mean_perimeter,0.0059081055
smoothness_error,0.0053058704
symmetry_error,0.003935559
fractal_dimension_error,0.0037922189
mean_symmetry,0.003234713
