feature,importance
worst_area worst_smoothness,0.14415404
mean_concave_points worst_texture,0.08692584
worst_area worst_concave_points,0.07157127
worst_area worst_symmetry,0.059609726
worst_area worst_concavity,0.048919152
mean_texture worst_area,0.033102125
worst_texture worst_area,0.02397658
mean_area worst_concave_points,0.022412848
mean_texture mean_concave_points,0.021939727
mean_concavity perimeter_error,0.021413274
mean_smoothness worst_concave_points,0.01741865
mean_texture worst_concave_points,0.017032709
worst_radius worst_smoothness,0.015876653
worst_perimeter worst_symmetry,0.014796053
worst_radius worst_concave_points,0.012308857
mean_concave_points area_error,0.011613028
worst_perimeter worst_smoothness,0.0116048595
area_error worst_compactness,0.010280901
mean_radius worst_smoothness,0.010186908
symmetry_error worst_area,0.009812298
worst_concave_points,0.008788929
worst_radius,0.008578167
radius_error worst_compactness,0.008123948
mean_smoothness worst_symmetry,0.007859076
area_error worst_concave_points,0.007423029
worst_texture worst_concave_points,0.0071123345
worst_concavity worst_symmetry,0.006739399
mean_texture area_error,0.00672521
concavity_error,0.0061282935
mean_texture mean_compactness,0.005956411
radius_error worst_area,0.0058981213
mean_concavity area_error,0.005880874
mean_concave_points worst_concave_points,0.0058559165
mean_concavity worst_concave_points,0.0056939255
mean_area worst_texture,0.0056561236
mean_area worst_smoothness,0.0056155664
mean_texture,0.0054739113
mean_fractal_dimension worst_radius,0.0053263577
mean_fractal_dimension symmetry_error,0.005198911
perimeter_error worst_symmetry,0.0047496445
mean_radius mean_symmetry,0.004678795
worst_texture worst_smoothness,0.004552042
mean_area concave_points_error,0.004366234
mean_area symmetry_error,0.0043229656
fractal_dimension_error,0.004305502
worst_radius worst_texture,0.0042942376
worst_concavity,0.004192242
symmetry_error fractal_dimension_error,0.0041839182
mean_texture worst_concavity,0.003984833
worst_radius worst_symmetry,0.0038571646
mean_area worst_concavity,0.0037901723
mean_symmetry,0.003662225
worst_texture worst_concavity,0.0035727692
mean_texture perimeter_error,0.0034385293
mean_concave_points worst_radius,0.0033241417
concave_points_error worst_texture,0.003312184
mean_symmetry worst_perimeter,0.0033117954
worst_compactness worst_fractal_dimension,0.0032155667
mean_compactness radius_error,0.0031674972
worst_concave_points worst_symmetry,0.0030701198
mean_area mean_concavity,0.0029440806
mean_concave_points worst_area,0.0027804328
mean_texture mean_area,0.002768315
smoothness_error symmetry_error,0.0027593386
worst_texture worst_perimeter,0.0026614578
mean_compactness texture_error,0.002628435
mean_fractal_dimension worst_perimeter,0.0025843442
area_error symmetry_error,0.0025733318
area_error worst_symmetry,0.0025685434
mean_texture compactness_error,0.0025286542
mean_area mean_symmetry,0.0024839959
compactness_error worst_texture,0.0024744237
mean_texture worst_fractal_dimension,0.0024541982
mean_radius area_error,0.0023073559
texture_error fractal_dimension_error,0.0022414909
mean_smoothness smoothness_error,0.0021847386
mean_smoothness worst_texture,0.0021809319
mean_radius worst_compactness,0.002174544
compactness_error,0.002171766
mean_texture worst_smoothness,0.002092156
mean_concave_points radius_error,0.0020835542
mean_smoothness^2,0.0020832082
mean_concavity radius_error,0.0019967805
mean_texture worst_radius,0.0019816568
worst_smoothness worst_concavity,0.0019465209
mean_radius worst_texture,0.0018988788
mean_smoothness worst_area,0.001883302
mean_smoothness compactness_error,0.0018579212
worst_area worst_compactness,0.001827762
