feature,mean_abs_shap,experiment,seed,fold
mean_radius,0.005391700348717345,automl_suite_flaml,42,-1
mean_texture,0.021155081189924135,automl_suite_flaml,42,-1
mean_perimeter,0.0057157639813580005,automl_suite_flaml,42,-1
mean_area,0.00379803916820612,automl_suite_flaml,42,-1
mean_smoothness,0.008116708165624993,automl_suite_flaml,42,-1
mean_compactness,0.004296937016905866,automl_suite_flaml,42,-1
mean_concavity,0.004942897036090499,automl_suite_flaml,42,-1
mean_concave_points,0.0436868272453398,automl_suite_flaml,42,-1
mean_symmetry,0.004519054092713039,automl_suite_flaml,42,-1
mean_fractal_dimension,0.00425910780003048,automl_suite_flaml,42,-1
radius_error,0.008452454831346021,automl_suite_flaml,42,-1
texture_error,0.004767714573874482,automl_suite_flaml,42,-1
perimeter_error,0.004287342926902773,automl_suite_flaml,42,-1
area_error,0.026051543895837165,automl_suite_flaml,42,-1
smoothness_error,0.004055485365931833,automl_suite_flaml,42,-1
compactness_error,0.0033842518268831,automl_suite_flaml,42,-1
concavity_error,0.004968100300424279,automl_suite_flaml,42,-1
concave_points_error,0.0034157374748669043,automl_suite_flaml,42,-1
symmetry_error,0.004131436259055635,automl_suite_flaml,42,-1
fractal_dimension_error,0.0054974362810742625,automl_suite_flaml,42,-1
worst_radius,0.034826458969443586,automl_suite_flaml,42,-1
worst_texture,0.030814252205150917,automl_suite_flaml,42,-1
worst_perimeter,0.042346083553818116,automl_suite_flaml,42,-1
worst_area,0.054974914528177925,automl_suite_flaml,42,-1
worst_smoothness,0.008451229758102263,automl_suite_flaml,42,-1
worst_compactness,0.0035466430740430242,automl_suite_flaml,42,-1
worst_concavity,0.016022967350697737,automl_suite_flaml,42,-1
worst_concave_points,0.06737937719448504,automl_suite_flaml,42,-1
worst_symmetry,0.006147948814737489,automl_suite_flaml,42,-1
worst_fractal_dimension,0.0044100087640190685,automl_suite_flaml,42,-1
mean_radius,0.005908724848854202,automl_suite_flaml,42,-1
mean_texture,0.02152317209355361,automl_suite_flaml,42,-1
mean_perimeter,0.0046589674622506405,automl_suite_flaml,42,-1
mean_area,0.005221402837512836,automl_suite_flaml,42,-1
mean_smoothness,0.012146202840228376,automl_suite_flaml,42,-1
mean_compactness,0.0034317829078672466,automl_suite_flaml,42,-1
mean_concavity,0.008150863050359756,automl_suite_flaml,42,-1
mean_concave_points,0.035836435755785045,automl_suite_flaml,42,-1
mean_symmetry,0.003863092533226106,automl_suite_flaml,42,-1
mean_fractal_dimension,0.005385682684056315,automl_suite_flaml,42,-1
radius_error,0.012231092972132545,automl_suite_flaml,42,-1
texture_error,0.004255836356253375,automl_suite_flaml,42,-1
perimeter_error,0.006558068279820949,automl_suite_flaml,42,-1
area_error,0.048152183253586,automl_suite_flaml,42,-1
smoothness_error,0.005899151201493111,automl_suite_flaml,42,-1
compactness_error,0.004755740772023725,automl_suite_flaml,42,-1
concavity_error,0.003949080640693856,automl_suite_flaml,42,-1
concave_points_error,0.005929496429961146,automl_suite_flaml,42,-1
symmetry_error,0.008833908386816483,automl_suite_flaml,42,-1
fractal_dimension_error,0.005528462893199661,automl_suite_flaml,42,-1
worst_radius,0.013980545253766382,automl_suite_flaml,42,-1
worst_texture,0.018060149912724446,automl_suite_flaml,42,-1
worst_perimeter,0.059756212544163745,automl_suite_flaml,42,-1
worst_area,0.034554194520527826,automl_suite_flaml,42,-1
worst_smoothness,0.0065329503786752665,automl_suite_flaml,42,-1
worst_compactness,0.0055575818712263435,automl_suite_flaml,42,-1
worst_concavity,0.03526636665447456,automl_suite_flaml,42,-1
worst_concave_points,0.05031735776973425,automl_suite_flaml,42,-1
worst_symmetry,0.010978313348591616,automl_suite_flaml,42,-1
worst_fractal_dimension,0.00656587689945453,automl_suite_flaml,42,-1
mean_radius,0.006470881582824951,automl_suite_flaml,42,-1
mean_texture,0.03309550468229365,automl_suite_flaml,42,-1
mean_perimeter,0.004875530947808997,automl_suite_flaml,42,-1
mean_area,0.012917066167624218,automl_suite_flaml,42,-1
mean_smoothness,0.00889663641255106,automl_suite_flaml,42,-1
mean_compactness,0.0031073757082959942,automl_suite_flaml,42,-1
mean_concavity,0.013775169988818437,automl_suite_flaml,42,-1
mean_concave_points,0.03913050842600023,automl_suite_flaml,42,-1
mean_symmetry,0.006280166225445507,automl_suite_flaml,42,-1
mean_fractal_dimension,0.008731461827748744,automl_suite_flaml,42,-1
radius_error,0.007612349363624684,automl_suite_flaml,42,-1
texture_error,0.005282474647898747,automl_suite_flaml,42,-1
perimeter_error,0.004905902880174845,automl_suite_flaml,42,-1
area_error,0.0178648707296377,automl_suite_flaml,42,-1
smoothness_error,0.00644505697604929,automl_suite_flaml,42,-1
compactness_error,0.004675009757848356,automl_suite_flaml,42,-1
concavity_error,0.005711961335623416,automl_suite_flaml,42,-1
concave_points_error,0.007437978835263664,automl_suite_flaml,42,-1
symmetry_error,0.007066998779755332,automl_suite_flaml,42,-1
fractal_dimension_error,0.006669559878774557,automl_suite_flaml,42,-1
worst_radius,0.034257540583694436,automl_suite_flaml,42,-1
worst_texture,0.019255550845008414,automl_suite_flaml,42,-1
worst_perimeter,0.04823796834474921,automl_suite_flaml,42,-1
worst_area,0.02371407423860816,automl_suite_flaml,42,-1
worst_smoothness,0.017998409952046122,automl_suite_flaml,42,-1
worst_compactness,0.004661126673726836,automl_suite_flaml,42,-1
worst_concavity,0.027299014405909226,automl_suite_flaml,42,-1
worst_concave_points,0.04207384494154129,automl_suite_flaml,42,-1
worst_symmetry,0.017009125105607648,automl_suite_flaml,42,-1
worst_fractal_dimension,0.006664797522138007,automl_suite_flaml,42,-1
mean_radius,0.004793558869838579,automl_suite_flaml,42,-1
mean_texture,0.012893469991602964,automl_suite_flaml,42,-1
mean_perimeter,0.006780692566769917,automl_suite_flaml,42,-1
mean_area,0.0060274925862115036,automl_suite_flaml,42,-1
mean_smoothness,0.0063715893003892,automl_suite_flaml,42,-1
mean_compactness,0.005271470892266119,automl_suite_flaml,42,-1
mean_concavity,0.007571517771249256,automl_suite_flaml,42,-1
mean_concave_points,0.035852380299975686,automl_suite_flaml,42,-1
mean_symmetry,0.007293761428708152,automl_suite_flaml,42,-1
mean_fractal_dimension,0.004540535416052906,automl_suite_flaml,42,-1
radius_error,0.01193570606319919,automl_suite_flaml,42,-1
texture_error,0.0046188475745775484,automl_suite_flaml,42,-1
perimeter_error,0.006522842521220961,automl_suite_flaml,42,-1
area_error,0.04717709544757853,automl_suite_flaml,42,-1
smoothness_error,0.005387320923345655,automl_suite_flaml,42,-1
compactness_error,0.00451474414476474,automl_suite_flaml,42,-1
concavity_error,0.004649709817128638,automl_suite_flaml,42,-1
concave_points_error,0.004825030798278185,automl_suite_flaml,42,-1
symmetry_error,0.006280804194293058,automl_suite_flaml,42,-1
fractal_dimension_error,0.005969779475723797,automl_suite_flaml,42,-1
worst_radius,0.012588661210119811,automl_suite_flaml,42,-1
worst_texture,0.021585452143467437,automl_suite_flaml,42,-1
worst_perimeter,0.026428988636056187,automl_suite_flaml,42,-1
worst_area,0.07458427227244656,automl_suite_flaml,42,-1
worst_smoothness,0.016193743342369015,automl_suite_flaml,42,-1
worst_compactness,0.004625561334989347,automl_suite_flaml,42,-1
worst_concavity,0.0642814858098633,automl_suite_flaml,42,-1
worst_concave_points,0.026950980273852728,automl_suite_flaml,42,-1
worst_symmetry,0.0090639454764598,automl_suite_flaml,42,-1
worst_fractal_dimension,0.005705568258487328,automl_suite_flaml,42,-1
mean_radius,0.005096473876393622,automl_suite_flaml,42,-1
mean_texture,0.020386801980262624,automl_suite_flaml,42,-1
mean_perimeter,0.00764524795600623,automl_suite_flaml,42,-1
mean_area,0.004903391754737649,automl_suite_flaml,42,-1
mean_smoothness,0.010968639710074595,automl_suite_flaml,42,-1
mean_compactness,0.00384201864897462,automl_suite_flaml,42,-1
mean_concavity,0.006495891336652571,automl_suite_flaml,42,-1
mean_concave_points,0.03897398230397656,automl_suite_flaml,42,-1
mean_symmetry,0.0050851489816525364,automl_suite_flaml,42,-1
mean_fractal_dimension,0.0045811448427259035,automl_suite_flaml,42,-1
radius_error,0.00604054249593159,automl_suite_flaml,42,-1
texture_error,0.00520702731381318,automl_suite_flaml,42,-1
perimeter_error,0.010072015441343127,automl_suite_flaml,42,-1
area_error,0.05530409144124148,automl_suite_flaml,42,-1
smoothness_error,0.004196554883393139,automl_suite_flaml,42,-1
compactness_error,0.005500178712772903,automl_suite_flaml,42,-1
concavity_error,0.0040026948344887535,automl_suite_flaml,42,-1
concave_points_error,0.004603059374155627,automl_suite_flaml,42,-1
symmetry_error,0.005647440854012582,automl_suite_flaml,42,-1
fractal_dimension_error,0.003245061914147592,automl_suite_flaml,42,-1
worst_radius,0.05960319029991422,automl_suite_flaml,42,-1
worst_texture,0.02413885457690399,automl_suite_flaml,42,-1
worst_perimeter,0.013256034468512206,automl_suite_flaml,42,-1
worst_area,0.025536623956418522,automl_suite_flaml,42,-1
worst_smoothness,0.01945587571111653,automl_suite_flaml,42,-1
worst_compactness,0.0030016924438537244,automl_suite_flaml,42,-1
worst_concavity,0.04224868892826933,automl_suite_flaml,42,-1
worst_concave_points,0.045814931264112964,automl_suite_flaml,42,-1
worst_symmetry,0.005811378785471539,automl_suite_flaml,42,-1
worst_fractal_dimension,0.006665299573249115,automl_suite_flaml,42,-1
mean_radius,0.0066941227019670395,boosting_suite_catboost_baseline,42,-1
mean_texture,0.011807977257103855,boosting_suite_catboost_baseline,42,-1
mean_perimeter,0.0077179388517519786,boosting_suite_catboost_baseline,42,-1
mean_area,0.013680937364207361,boosting_suite_catboost_baseline,42,-1
mean_smoothness,0.007488692076179317,boosting_suite_catboost_baseline,42,-1
mean_compactness,0.0041457368254570704,boosting_suite_catboost_baseline,42,-1
mean_concavity,0.008869543690258467,boosting_suite_catboost_baseline,42,-1
mean_concave_points,0.03759560684887072,boosting_suite_catboost_baseline,42,-1
mean_symmetry,0.005854166053046335,boosting_suite_catboost_baseline,42,-1
mean_fractal_dimension,0.005519244028830644,boosting_suite_catboost_baseline,42,-1
radius_error,0.007245386428576983,boosting_suite_catboost_baseline,42,-1
texture_error,0.005300145825275046,boosting_suite_catboost_baseline,42,-1
perimeter_error,0.007372577530081252,boosting_suite_catboost_baseline,42,-1
area_error,0.02337221659601355,boosting_suite_catboost_baseline,42,-1
smoothness_error,0.005601408036960591,boosting_suite_catboost_baseline,42,-1
compactness_error,0.006325168930309491,boosting_suite_catboost_baseline,42,-1
concavity_error,0.0042668648191412,boosting_suite_catboost_baseline,42,-1
concave_points_error,0.005928869715059212,boosting_suite_catboost_baseline,42,-1
symmetry_error,0.005046187991726054,boosting_suite_catboost_baseline,42,-1
fractal_dimension_error,0.006156328386177359,boosting_suite_catboost_baseline,42,-1
worst_radius,0.022480989645022143,boosting_suite_catboost_baseline,42,-1
worst_texture,0.04076601181805639,boosting_suite_catboost_baseline,42,-1
worst_perimeter,0.05994099418082596,boosting_suite_catboost_baseline,42,-1
worst_area,0.051751598069451815,boosting_suite_catboost_baseline,42,-1
worst_smoothness,0.014097785195834876,boosting_suite_catboost_baseline,42,-1
worst_compactness,0.007116529991633389,boosting_suite_catboost_baseline,42,-1
worst_concavity,0.02054590221799042,boosting_suite_catboost_baseline,42,-1
worst_concave_points,0.03808383712242999,boosting_suite_catboost_baseline,42,-1
worst_symmetry,0.0071536183711276595,boosting_suite_catboost_baseline,42,-1
worst_fractal_dimension,0.006674373063582699,boosting_suite_catboost_baseline,42,-1
mean_radius,0.0067931022866915295,boosting_suite_catboost_baseline,42,-1
mean_texture,0.012724885551232135,boosting_suite_catboost_baseline,42,-1
mean_perimeter,0.005871430495279845,boosting_suite_catboost_baseline,42,-1
mean_area,0.006124384587362918,boosting_suite_catboost_baseline,42,-1
