framework_a,framework_b,metric,diff,t_stat,p_value,boot_ci_low,boot_ci_high
feature_ablation_xgboost_baseline,feature_ablation_xgboost_poly2,fit_time_sec,-0.4303478419997191,-13.306360022459096,0.00018438962197019665,-0.4861681005993887,-0.3662705753997216
feature_ablation_xgboost_baseline,feature_ablation_xgboost_poly2,predict_time_sec,-0.00298508319992832,-15.60747505776245,9.840731873107087e-05,-0.00334812479941318,-0.0026459809946208866
feature_ablation_xgboost_baseline,automl_suite_autogluon,fit_time_sec,-29.67086698359999,-8.005959781843357,0.0013201522832301136,-35.752250438444825,-23.75651465561509
feature_ablation_xgboost_baseline,automl_suite_autogluon,predict_time_sec,-0.14507949979997645,-2.974948012887703,0.040943105747707154,-0.2434967836003125,-0.07323384919964154
feature_ablation_xgboost_poly2,automl_suite_autogluon,fit_time_sec,-29.24051914160027,-7.870527988233926,0.0014085881530957992,-35.382413020130215,-23.286315573330413
feature_ablation_xgboost_poly2,automl_suite_autogluon,predict_time_sec,-0.14209441660004812,-2.911837310047577,0.04359791006754235,-0.2404367498000283,-0.07046508709987394
boosting_suite_xgboost_baseline,boosting_suite_lightgbm_baseline,fit_time_sec,-0.1869032084000537,-6.514629569761708,0.00010957209940791482,-0.24361882968729787,-0.14103450686003954
boosting_suite_xgboost_baseline,boosting_suite_lightgbm_baseline,predict_time_sec,-0.007643612600077181,-75.74692314131615,6.163127426459686e-14,-0.007830825840117083,-0.00747601474528665
boosting_suite_xgboost_baseline,boosting_suite_catboost_baseline,fit_time_sec,-0.5864580125999964,-28.82968961551272,3.541398510118199e-10,-0.6282553879674856,-0.5528423126146482
boosting_suite_xgboost_baseline,boosting_suite_catboost_baseline,predict_time_sec,0.0032389875000262795,69.88906231097221,1.2703320602014888e-13,0.0031478973252592477,0.00331098086242494
boosting_suite_lightgbm_baseline,boosting_suite_catboost_baseline,fit_time_sec,-0.3995548041999427,-18.21373042838205,2.0687775563246325e-08,-0.4258754385599946,-0.3538751807598146
boosting_suite_lightgbm_baseline,boosting_suite_catboost_baseline,predict_time_sec,0.01088260010010346,115.19761714882904,1.4212643001723594e-15,0.010716735537434964,0.011068983919715317
