experiment,seed,fold,sample_index,prediction,positive_class,top_contributions,expected_value
boosting_suite_catboost_baseline,42,-1,20046,0.5014442859509658,regression,"[('Latitude', -0.8539140492005011), ('MedInc', -0.355071391065507), ('AveOccup', -0.18636482895696252), ('AveRooms', -0.13696568178995708), ('Longitude', -0.047128790389489965), ('HouseAge', 0.031223320027704636), ('AveBedrms', -0.022852690579527712), ('Population', -0.006979676449514027)]",2.0794980743547207
boosting_suite_catboost_baseline,42,-1,3024,0.9310373769829632,regression,"[('Latitude', -0.9187925285752327), ('MedInc', -0.41952683304371524), ('Longitude', 0.19479303263591283), ('AveRooms', -0.1652695900770963), ('HouseAge', 0.06651604611407157), ('AveBedrms', 0.062207087269267596), ('AveOccup', 0.027812061261070085), ('Population', 0.003800027043964871)]",2.0794980743547207
boosting_suite_catboost_baseline,42,-1,15663,4.894212869563479,regression,"[('Longitude', 2.064998250403862), ('AveOccup', 0.7645643234280539), ('Latitude', -0.43582813196722825), ('HouseAge', 0.348404950829391), ('MedInc', 0.03914255237902513), ('AveBedrms', 0.024360622617854825), ('Population', 0.01890345150294579), ('AveRooms', -0.00983122398514702)]",2.0794980743547207
boosting_suite_catboost_baseline,42,-1,20484,2.46596890587991,regression,"[('MedInc', 0.4181275931459102), ('AveOccup', -0.2296180047865325), ('AveRooms', 0.14422562919654278), ('Longitude', 0.11062285014075147), ('HouseAge', -0.05579239150440667), ('AveBedrms', -0.03859970675036099), ('Latitude', 0.0315606225914462), ('Population', 0.005944239491838754)]",2.0794980743547207
boosting_suite_catboost_baseline,42,-1,9814,2.465677968970895,regression,"[('Longitude', 1.0204957582579808), ('Latitude', -0.6582560935483964), ('AveOccup', 0.09622509012296679), ('MedInc', -0.07044590131593766), ('HouseAge', 0.034096540898959256), ('AveRooms', -0.033944794541976284), ('Population', -0.004881138222780835), ('AveBedrms', 0.0028904329653587357)]",2.0794980743547207
boosting_suite_catboost_baseline,42,-1,20046,0.5261468699099008,regression,"[('Latitude', -0.7964632578053018), ('MedInc', -0.39482322806329073), ('AveOccup', -0.1511681979194415), ('AveRooms', -0.13725494421817686), ('Longitude', -0.07215414772359227), ('HouseAge', 0.052540686028969885), ('Population', -0.027973938095434085), ('AveBedrms', -0.023474952441467467)]",2.0769188501476354
boosting_suite_catboost_baseline,42,-1,3024,0.9381194622738971,regression,"[('Latitude', -0.956191550013231), ('MedInc', -0.34246511248554873), ('Longitude', 0.21821302849967256), ('AveRooms', -0.10970183241343998), ('Population', 0.0475547325847984), ('HouseAge', 0.04190360853062225), ('AveBedrms', -0.0312656636732271), ('AveOccup', -0.006846598903385015)]",2.0769188501476354
boosting_suite_catboost_baseline,42,-1,15663,5.133628962534357,regression,"[('Longitude', 1.787481210487144), ('AveOccup', 0.9707386685200143), ('Latitude', -0.44621152137826264), ('HouseAge', 0.43535058805839727), ('MedInc', 0.17465951916662437), ('Population', 0.08797407174013096), ('AveBedrms', 0.0786754083263199), ('AveRooms', -0.0319578325336467)]",2.0769188501476354
boosting_suite_catboost_baseline,42,-1,20484,2.5130485965782143,regression,"[('MedInc', 0.4262520817845555), ('AveOccup', -0.23795773386218536), ('Latitude', 0.11363719170602185), ('AveRooms', 0.10487092327505271), ('Longitude', 0.053130549896045015), ('HouseAge', -0.02717779812095967), ('Population', 0.025644113203550447), ('AveBedrms', -0.022269581451501597)]",2.0769188501476354
boosting_suite_catboost_baseline,42,-1,9814,2.5080974282132886,regression,"[('Longitude', 1.1160576404867109), ('Latitude', -0.707642183528908), ('AveOccup', 0.09986746066295611), ('MedInc', -0.07140930659081283), ('HouseAge', 0.03416193272245613), ('AveBedrms', -0.01933884873459755), ('AveRooms', -0.01815081661168897), ('Population', -0.0023673003404625637)]",2.0769188501476354
boosting_suite_catboost_baseline,42,-1,20046,0.5525404941073853,regression,"[('Latitude', -0.7445013835554825), ('MedInc', -0.43502235917752863), ('AveOccup', -0.16546240892711253), ('AveRooms', -0.10804572187247528), ('Longitude', -0.10327431496494445), ('HouseAge', 0.026182706389561158), ('AveBedrms', 0.017145234359282613), ('Population', -0.010009085068708715)]",2.0755278269247937
boosting_suite_catboost_baseline,42,-1,3024,0.8184739373332941,regression,"[('Latitude', -0.7812019845448319), ('MedInc', -0.38161807320497043), ('AveRooms', -0.07994889753217883), ('Longitude', -0.07464672555906327), ('AveBedrms', 0.06640737891645507), ('HouseAge', -0.033015199271457116), ('Population', 0.013601518757060881), ('AveOccup', 0.01336809284748619)]",2.0755278269247937
boosting_suite_catboost_baseline,42,-1,15663,5.288590852015632,regression,"[('Longitude', 1.9871738200034228), ('AveOccup', 1.022363565303357), ('HouseAge', 0.5036092438954964), ('Latitude', -0.48904577937539423), ('MedInc', 0.1325729383210626), ('AveBedrms', 0.08612914134154569), ('Population', -0.01526135350382285), ('AveRooms', -0.014478550894828485)]",2.0755278269247937
boosting_suite_catboost_baseline,42,-1,20484,2.4026647304815563,regression,"[('MedInc', 0.37593730940221365), ('AveOccup', -0.2601597650439837), ('AveRooms', 0.12287681710974961), ('Latitude', 0.07709465380257471), ('Longitude', 0.06741991255756942), ('HouseAge', -0.033510903081388786), ('Population', -0.023353928295364486), ('AveBedrms', 0.0008328071053921304)]",2.0755278269247937
boosting_suite_catboost_baseline,42,-1,9814,2.468638384195323,regression,"[('Longitude', 1.0809993087812977), ('Latitude', -0.7456650336376517), ('AveOccup', 0.1206470699206912), ('MedInc', -0.07744887925972799), ('HouseAge', 0.035525424591998936), ('AveBedrms', -0.02075554118948423), ('AveRooms', -0.003225926450403451), ('Population', 0.003034134513808906)]",2.0755278269247937
boosting_suite_catboost_baseline,42,-1,20046,0.49352689588333987,regression,"[('Latitude', -0.7406097777547122), ('MedInc', -0.41836786231743295), ('AveOccup', -0.21154793731127922), ('AveRooms', -0.1316416206392374), ('Longitude', -0.10772168451306438), ('HouseAge', 0.039631035823864166), ('AveBedrms', -0.019295442888323185), ('Population', 0.0050866253831847175)]",2.0779935601003405
boosting_suite_catboost_baseline,42,-1,3024,0.8655493680927011,regression,"[('Latitude', -0.9126587424123614), ('MedInc', -0.3243109761897491), ('AveRooms', -0.15337851373702238), ('Longitude', 0.08616231750914205), ('AveBedrms', 0.06052126956764545), ('AveOccup', 0.03980461728939991), ('Population', -0.039325746513693506), ('HouseAge', 0.030741582478999607)]",2.0779935601003405
boosting_suite_catboost_baseline,42,-1,15663,4.9674575189126084,regression,"[('Longitude', 1.8721525553887828), ('AveOccup', 0.8515730703300106), ('Latitude', -0.4253295919977095), ('HouseAge', 0.41081402730935296), ('AveBedrms', 0.14837985174851634), ('MedInc', 0.028937790926106068), ('AveRooms', 0.026823315535486544), ('Population', -0.023887060428277263)]",2.0779935601003405
boosting_suite_catboost_baseline,42,-1,20484,2.4433489069315337,regression,"[('MedInc', 0.35102123369126775), ('AveOccup', -0.2454716386377663), ('AveRooms', 0.1273614212320449), ('Longitude', 0.10572597530126507), ('Latitude', 0.06743040711108096), ('HouseAge', -0.026546140267773462), ('AveBedrms', -0.00807736607450585), ('Population', -0.006088545524419842)]",2.0779935601003405
boosting_suite_catboost_baseline,42,-1,9814,2.525355889396653,regression,"[('Longitude', 1.056978020466244), ('Latitude', -0.6603183484620454), ('AveOccup', 0.13340108300291267), ('MedInc', -0.07788610008264618), ('AveRooms', -0.03640972304350892), ('HouseAge', 0.03315059092469554), ('AveBedrms', -0.014759095020294244), ('Population', 0.013205901510955076)]",2.0779935601003405
boosting_suite_catboost_baseline,42,-1,20046,0.5103497923322236,regression,"[('Latitude', -0.7630309123781959), ('MedInc', -0.38942418854325445), ('AveOccup', -0.2045434442675994), ('AveRooms', -0.11344247814006739), ('Longitude', -0.11167422538627932), ('AveBedrms', 0.02763734223648592), ('Population', -0.021099336998150624), ('HouseAge', 0.013877877895039248)]",2.0720491579142455
boosting_suite_catboost_baseline,42,-1,3024,0.9197986445735904,regression,"[('Latitude', -0.9564633275634066), ('MedInc', -0.3733317879869845), ('Longitude', 0.15837592104456008), ('AveRooms', -0.09865413754801956), ('Population', 0.06319355209789512), ('AveOccup', 0.04751128222471528), ('AveBedrms', 0.019071787773364574), ('HouseAge', -0.011953803382779293)]",2.0720491579142455
boosting_suite_catboost_baseline,42,-1,15663,5.029344555855369,regression,"[('Longitude', 1.9721052527751648), ('AveOccup', 0.9679457904881189), ('Latitude', -0.6808214868890524), ('HouseAge', 0.39048512288405174), ('MedInc', 0.14232547847350252), ('AveBedrms', 0.07647524782821223), ('Population', 0.06026740901541971), ('AveRooms', 0.028512583365706057)]",2.0720491579142455
boosting_suite_catboost_baseline,42,-1,20484,2.5143636489799093,regression,"[('MedInc', 0.4275648444958458), ('AveOccup', -0.23391574490753742), ('Latitude', 0.15644669556745947), ('AveRooms', 0.12376766144159862), ('HouseAge', -0.05298571322758961), ('Longitude', 0.033307240825620754), ('AveBedrms', -0.021134058289435497), ('Population', 0.009263565159701725)]",2.0720491579142455
