framework,metric,mean,std,ci95_low,ci95_high,boot_ci_low,boot_ci_high,n
CatBoost,f1_macro,0.6141292853671049,0.04998863165003438,0.5161515673330375,0.7121070034011723,0.5766286788228452,0.6555260508748881,5
CatBoost,accuracy,0.682,0.059644781833786596,0.5650962276057783,0.7989037723942218,0.6379750000000001,0.731125,5
CatBoost,roc_auc_ovr,0.7880511548005344,0.05897220405361308,0.6724656348554529,0.903636674745616,0.7381389578163772,0.8322389769039893,5
CatBoost,avg_precision_ovr,0.7366668915857653,0.019300668396372105,0.698837581528876,0.7744962016426545,0.7218281929507255,0.7499468933713346,5
XGBoost,f1_macro,0.6435389124573901,0.03023535733167332,0.5842776120873104,0.7028002128274699,0.6174351757746562,0.6645636462062996,5
XGBoost,accuracy,0.852,0.014832396974191338,0.822928501930585,0.881071498069415,0.8400000000000001,0.8630000000000001,5
XGBoost,roc_auc_ovr,0.7885474327161671,0.06515273382727363,0.6608480744147108,0.9162467910176234,0.7369994273716358,0.840007635044856,5
XGBoost,avg_precision_ovr,0.4562861505938681,0.09009689298035631,0.27969624035236973,0.6328760608353665,0.38847920565297905,0.532887598408758,5
automl_suite_autogluon,accuracy,0.827,0.011510864433221349,0.8044387057108862,0.8495612942891138,0.818,0.836,5
automl_suite_autogluon,fit_time_sec,4.701714949599773,0.2647499106847601,4.182805124657643,5.2206247745419025,4.492480010279624,4.922619749599107,5
automl_suite_autogluon,predict_time_sec,0.01127781679970206,0.008260793815827288,-0.004913339079319427,0.027468972678723544,0.006426700000156339,0.018642380399096468,5
H2O_AutoML,f1_macro,0.6233837459964588,0.015810008694859257,0.5923961289545348,0.654371363038383,0.6100223057613222,0.6348802646545036,5
H2O_AutoML,accuracy,0.800520754716981,0.06861897313823705,0.6660275673660364,0.9350139420679257,0.7389207547169812,0.8415999999999999,5
H2O_AutoML,roc_auc_ovr,0.7946643494198595,0.036273420813411984,0.723568444625572,0.865760254214147,0.7697575873258254,0.8268153425905579,5
H2O_AutoML,avg_precision_ovr,0.5145984324819683,0.13588772318525022,0.24825849503887792,0.7809383699250587,0.42623569610612505,0.6279351138745703,5
FLAML,f1_macro,0.6021220159151194,0.0,0.6021220159151194,0.6021220159151194,0.6021220159151194,0.6021220159151194,1
FLAML,accuracy,0.82,0.0,0.82,0.82,0.82,0.82,1
FLAML,roc_auc_ovr,0.757396449704142,0.0,0.757396449704142,0.757396449704142,0.757396449704142,0.757396449704142,1
FLAML,avg_precision_ovr,0.387155963415966,0.0,0.387155963415966,0.387155963415966,0.387155963415966,0.387155963415966,1
LightGBM,f1_macro,0.629616195694148,0.0383947558756332,0.5543624741779068,0.704869917210389,0.6017746774521765,0.6574577139361193,5
LightGBM,accuracy,0.842,0.013509256086106309,0.8155218580712316,0.8684781419287684,0.833,0.8540000000000001,5
LightGBM,roc_auc_ovr,0.7840045810269135,0.07904272144471568,0.6290808469952708,0.9389283150585562,0.7218553158999808,0.8461538461538461,5
LightGBM,avg_precision_ovr,0.4503642256146526,0.08267961922242789,0.28831217193869396,0.6124162792906113,0.38625938728834214,0.5144494582131667,5
