feature,importance
s3 target,0.06894659
bp target,0.04958719
s4 target,0.04679717
s4,0.04166025
age target,0.033123728
bmi bp,0.025956875
bmi target,0.024105145
bp s5,0.023651341
s4^2,0.022905258
s3,0.02235374
bmi s2,0.02150953
s3 s5,0.021042092
age s5,0.019456811
bmi^2,0.01891385
s6,0.017994612
target^2,0.017195957
s6 target,0.016123945
bp s1,0.015948463
bp s4,0.015938113
s3 s4,0.015692318
age s3,0.015631912
s5^2,0.015414917
bmi s3,0.015190942
s1^2,0.014782447
bmi,0.014659087
s6^2,0.014604442
age s6,0.014178227
s2 s6,0.014009412
s5 s6,0.013427598
bmi s6,0.01334776
age s2,0.013229229
bmi s5,0.012664063
age s1,0.012569257
s1 s3,0.012384981
s5,0.012325184
age bp,0.012311228
s1 s5,0.011830051
s1 s4,0.011393458
s3^2,0.011386535
s1 target,0.010767982
s2 s5,0.010559847
bp,0.010438171
bmi s4,0.0100216195
s1,0.009833049
bmi s1,0.009818207
age bmi,0.009600652
s4 s6,0.00923117
age s4,0.0091149425
s2^2,0.008411939
bp s3,0.008402612
s2 target,0.008284721
bp s6,0.008271372
s1 s6,0.007829534
s5 target,0.0076008677
age^2,0.007392468
s2 s3,0.0066001276
s4 s5,0.0065329997
s2 s4,0.0064263563
bp^2,0.006415173
age,0.006269667
s3 s6,0.0062551224
s2,0.006054224
target,0.0056124623
s1 s2,0.0052032718
bp s2,0.004807745
