feature,mean_abs_shap,experiment,seed,fold
age,0.005800326851009274,automl_suite_flaml,42,-1
bmi,0.0058505750960268195,automl_suite_flaml,42,-1
bp,0.007961113320760504,automl_suite_flaml,42,-1
s1,0.005564920528925166,automl_suite_flaml,42,-1
s2,0.0008538315373763827,automl_suite_flaml,42,-1
s3,0.010572167651337458,automl_suite_flaml,42,-1
s4,0.0071066590508115255,automl_suite_flaml,42,-1
s5,0.0028746304551298036,automl_suite_flaml,42,-1
s6,0.0017988369159338247,automl_suite_flaml,42,-1
target,0.00774449415052857,automl_suite_flaml,42,-1
age,0.001951198058425066,automl_suite_flaml,42,-1
bmi,0.0059277613982502385,automl_suite_flaml,42,-1
bp,0.01028841714281026,automl_suite_flaml,42,-1
s1,0.005037173885916755,automl_suite_flaml,42,-1
s2,0.0017721134604132783,automl_suite_flaml,42,-1
s3,0.008335850045619375,automl_suite_flaml,42,-1
s4,0.00851576920177819,automl_suite_flaml,42,-1
s5,0.005398917146596501,automl_suite_flaml,42,-1
s6,0.0023390888189938285,automl_suite_flaml,42,-1
target,0.005882094630788467,automl_suite_flaml,42,-1
age,0.0042401707891591665,automl_suite_flaml,42,-1
bmi,0.006740939209151817,automl_suite_flaml,42,-1
bp,0.010514469029343183,automl_suite_flaml,42,-1
s1,0.005868490314331846,automl_suite_flaml,42,-1
s2,0.0005307541423208238,automl_suite_flaml,42,-1
s3,0.010705212194214444,automl_suite_flaml,42,-1
s4,0.006157829222276712,automl_suite_flaml,42,-1
s5,0.0013293636715012644,automl_suite_flaml,42,-1
s6,0.0037223681221373343,automl_suite_flaml,42,-1
target,0.007650137806135723,automl_suite_flaml,42,-1
age,0.0036968664169602255,automl_suite_flaml,42,-1
bmi,0.004988208595214503,automl_suite_flaml,42,-1
bp,0.008127923929071338,automl_suite_flaml,42,-1
s1,0.001914044208434897,automl_suite_flaml,42,-1
s2,0.000821284808403026,automl_suite_flaml,42,-1
s3,0.015260158330043502,automl_suite_flaml,42,-1
s4,0.002142129741071869,automl_suite_flaml,42,-1
s5,0.0010063616510709327,automl_suite_flaml,42,-1
s6,0.003043717853253671,automl_suite_flaml,42,-1
target,0.0046136701068511905,automl_suite_flaml,42,-1
age,0.00357667460804679,automl_suite_flaml,42,-1
bmi,0.008263741952580428,automl_suite_flaml,42,-1
bp,0.010984137795021807,automl_suite_flaml,42,-1
s1,0.00275553556359807,automl_suite_flaml,42,-1
s2,0.0009735491975728035,automl_suite_flaml,42,-1
s3,0.014794249461723995,automl_suite_flaml,42,-1
s4,0.004329454297615002,automl_suite_flaml,42,-1
s5,0.0011359799043072908,automl_suite_flaml,42,-1
s6,0.0019171950681824222,automl_suite_flaml,42,-1
target,0.008506995983651663,automl_suite_flaml,42,-1
age,0.006475282105927134,boosting_suite_catboost_baseline,42,-1
bmi,0.008089281606473049,boosting_suite_catboost_baseline,42,-1
bp,0.008816621534304304,boosting_suite_catboost_baseline,42,-1
s1,0.004896073451935467,boosting_suite_catboost_baseline,42,-1
s2,0.0029233079107356496,boosting_suite_catboost_baseline,42,-1
s3,0.010411210772096858,boosting_suite_catboost_baseline,42,-1
s4,0.0061394752429119615,boosting_suite_catboost_baseline,42,-1
s5,0.005085628536383399,boosting_suite_catboost_baseline,42,-1
s6,0.004226051524154546,boosting_suite_catboost_baseline,42,-1
target,0.00800110724919647,boosting_suite_catboost_baseline,42,-1
age,0.004733966875669348,boosting_suite_catboost_baseline,42,-1
bmi,0.00711561956358007,boosting_suite_catboost_baseline,42,-1
bp,0.008957431345562225,boosting_suite_catboost_baseline,42,-1
s1,0.004421631795356789,boosting_suite_catboost_baseline,42,-1
s2,0.0038442850008998954,boosting_suite_catboost_baseline,42,-1
s3,0.009255785164439773,boosting_suite_catboost_baseline,42,-1
s4,0.004853895203743011,boosting_suite_catboost_baseline,42,-1
s5,0.0056417793529944275,boosting_suite_catboost_baseline,42,-1
s6,0.004252428161416018,boosting_suite_catboost_baseline,42,-1
target,0.007225048737770619,boosting_suite_catboost_baseline,42,-1
age,0.00559745607547261,boosting_suite_catboost_baseline,42,-1
bmi,0.006819826672585834,boosting_suite_catboost_baseline,42,-1
bp,0.009874942051226654,boosting_suite_catboost_baseline,42,-1
s1,0.004267455156803854,boosting_suite_catboost_baseline,42,-1
s2,0.00303977481633481,boosting_suite_catboost_baseline,42,-1
s3,0.012408625097894215,boosting_suite_catboost_baseline,42,-1
s4,0.003018431699478124,boosting_suite_catboost_baseline,42,-1
s5,0.004971560555613139,boosting_suite_catboost_baseline,42,-1
s6,0.006220081155938398,boosting_suite_catboost_baseline,42,-1
target,0.007806935459454056,boosting_suite_catboost_baseline,42,-1
age,0.004993914712905815,boosting_suite_catboost_baseline,42,-1
bmi,0.008373922137670173,boosting_suite_catboost_baseline,42,-1
bp,0.008975600927909264,boosting_suite_catboost_baseline,42,-1
s1,0.004533933343999732,boosting_suite_catboost_baseline,42,-1
s2,0.002568468331242629,boosting_suite_catboost_baseline,42,-1
s3,0.012154208145440281,boosting_suite_catboost_baseline,42,-1
s4,0.005465502366072338,boosting_suite_catboost_baseline,42,-1
s5,0.003645307063106737,boosting_suite_catboost_baseline,42,-1
s6,0.004277799422995773,boosting_suite_catboost_baseline,42,-1
target,0.007035031667205265,boosting_suite_catboost_baseline,42,-1
age,0.005249200876084773,boosting_suite_catboost_baseline,42,-1
bmi,0.008906771516790509,boosting_suite_catboost_baseline,42,-1
bp,0.010661265283506041,boosting_suite_catboost_baseline,42,-1
s1,0.0034055910208309077,boosting_suite_catboost_baseline,42,-1
s2,0.003674500031387294,boosting_suite_catboost_baseline,42,-1
s3,0.011561699271191314,boosting_suite_catboost_baseline,42,-1
s4,0.005471675105542056,boosting_suite_catboost_baseline,42,-1
s5,0.004119577781099526,boosting_suite_catboost_baseline,42,-1
s6,0.003720626557455517,boosting_suite_catboost_baseline,42,-1
target,0.00828549167593818,boosting_suite_catboost_baseline,42,-1
age,0.004427384985440397,boosting_suite_catboost_baseline,77,-1
bmi,0.006993612643387222,boosting_suite_catboost_baseline,77,-1
bp,0.009827862305497015,boosting_suite_catboost_baseline,77,-1
s1,0.0037169012776209374,boosting_suite_catboost_baseline,77,-1
s2,0.0031264296700309075,boosting_suite_catboost_baseline,77,-1
s3,0.012015304368785052,boosting_suite_catboost_baseline,77,-1
s4,0.0032346200010790038,boosting_suite_catboost_baseline,77,-1
s5,0.005780420270259477,boosting_suite_catboost_baseline,77,-1
s6,0.003595005130668772,boosting_suite_catboost_baseline,77,-1
target,0.008186987694324356,boosting_suite_catboost_baseline,77,-1
age,0.004333786474548737,boosting_suite_catboost_baseline,77,-1
bmi,0.008358166877519864,boosting_suite_catboost_baseline,77,-1
bp,0.008076799473340975,boosting_suite_catboost_baseline,77,-1
s1,0.0047154308557213545,boosting_suite_catboost_baseline,77,-1
s2,0.004189773146451875,boosting_suite_catboost_baseline,77,-1
s3,0.012253553652622493,boosting_suite_catboost_baseline,77,-1
s4,0.004712947879400051,boosting_suite_catboost_baseline,77,-1
s5,0.0035027748217108536,boosting_suite_catboost_baseline,77,-1
s6,0.003510128558504777,boosting_suite_catboost_baseline,77,-1
target,0.007115664793506392,boosting_suite_catboost_baseline,77,-1
age,0.005564095218278922,boosting_suite_catboost_baseline,77,-1
bmi,0.007986060161652445,boosting_suite_catboost_baseline,77,-1
bp,0.009419547731438008,boosting_suite_catboost_baseline,77,-1
s1,0.0038658592290838167,boosting_suite_catboost_baseline,77,-1
s2,0.0025247998160576103,boosting_suite_catboost_baseline,77,-1
s3,0.008953859338401808,boosting_suite_catboost_baseline,77,-1
s4,0.005641301891520994,boosting_suite_catboost_baseline,77,-1
s5,0.00575933901425269,boosting_suite_catboost_baseline,77,-1
s6,0.004469691532812515,boosting_suite_catboost_baseline,77,-1
target,0.0064712354397096425,boosting_suite_catboost_baseline,77,-1
age,0.006223052296573813,boosting_suite_catboost_baseline,77,-1
bmi,0.008166712218966131,boosting_suite_catboost_baseline,77,-1
bp,0.011686409594485253,boosting_suite_catboost_baseline,77,-1
s1,0.0031335123043727785,boosting_suite_catboost_baseline,77,-1
s2,0.0027579099025153426,boosting_suite_catboost_baseline,77,-1
s3,0.01237692334322662,boosting_suite_catboost_baseline,77,-1
s4,0.005781103128401665,boosting_suite_catboost_baseline,77,-1
s5,0.00542470802068723,boosting_suite_catboost_baseline,77,-1
s6,0.0034869131234790043,boosting_suite_catboost_baseline,77,-1
target,0.0073184544475461515,boosting_suite_catboost_baseline,77,-1
age,0.007542564973685926,boosting_suite_catboost_baseline,77,-1
bmi,0.007300008652203772,boosting_suite_catboost_baseline,77,-1
bp,0.008189750815116319,boosting_suite_catboost_baseline,77,-1
s1,0.004742774870206402,boosting_suite_catboost_baseline,77,-1
s2,0.003304682383931743,boosting_suite_catboost_baseline,77,-1
s3,0.013186903590441437,boosting_suite_catboost_baseline,77,-1
s4,0.003990689590391646,boosting_suite_catboost_baseline,77,-1
s5,0.004880661785816102,boosting_suite_catboost_baseline,77,-1
s6,0.004136701815180361,boosting_suite_catboost_baseline,77,-1
target,0.00665523602171175,boosting_suite_catboost_baseline,77,-1
age,0.006628216704076718,boosting_suite_lightgbm_baseline,42,-1
bmi,0.008375110280283957,boosting_suite_lightgbm_baseline,42,-1
bp,0.009304794133709396,boosting_suite_lightgbm_baseline,42,-1
s1,0.006208966324468392,boosting_suite_lightgbm_baseline,42,-1
s2,0.004007011193884668,boosting_suite_lightgbm_baseline,42,-1
s3,0.01304614348912279,boosting_suite_lightgbm_baseline,42,-1
s4,0.005080333118259808,boosting_suite_lightgbm_baseline,42,-1
s5,0.006158278686137669,boosting_suite_lightgbm_baseline,42,-1
s6,0.006163527830919614,boosting_suite_lightgbm_baseline,42,-1
target,0.009012558103766534,boosting_suite_lightgbm_baseline,42,-1
age,0.005704167444927257,boosting_suite_lightgbm_baseline,42,-1
bmi,0.007886913274833374,boosting_suite_lightgbm_baseline,42,-1
bp,0.010545323326633011,boosting_suite_lightgbm_baseline,42,-1
s1,0.005212931834232975,boosting_suite_lightgbm_baseline,42,-1
s2,0.003488839740810663,boosting_suite_lightgbm_baseline,42,-1
s3,0.009802192003796575,boosting_suite_lightgbm_baseline,42,-1
s4,0.0043514208036687105,boosting_suite_lightgbm_baseline,42,-1
s5,0.007834861166007874,boosting_suite_lightgbm_baseline,42,-1
s6,0.004705744649298197,boosting_suite_lightgbm_baseline,42,-1
target,0.008076048709405575,boosting_suite_lightgbm_baseline,42,-1
age,0.006899539585596531,boosting_suite_lightgbm_baseline,42,-1
bmi,0.0066654717562624885,boosting_suite_lightgbm_baseline,42,-1
bp,0.011283400683658485,boosting_suite_lightgbm_baseline,42,-1
s1,0.006600908012941387,boosting_suite_lightgbm_baseline,42,-1
s2,0.004002385444078208,boosting_suite_lightgbm_baseline,42,-1
s3,0.011834511838660331,boosting_suite_lightgbm_baseline,42,-1
s4,0.0037213199609195517,boosting_suite_lightgbm_baseline,42,-1
s5,0.005683799687442215,boosting_suite_lightgbm_baseline,42,-1
s6,0.007852228365997358,boosting_suite_lightgbm_baseline,42,-1
target,0.008761889241305014,boosting_suite_lightgbm_baseline,42,-1
age,0.0055421436247305444,boosting_suite_lightgbm_baseline,42,-1
bmi,0.009123978589931907,boosting_suite_lightgbm_baseline,42,-1
bp,0.010976130600478149,boosting_suite_lightgbm_baseline,42,-1
s1,0.005522793902424893,boosting_suite_lightgbm_baseline,42,-1
s2,0.0037312029605194637,boosting_suite_lightgbm_baseline,42,-1
s3,0.014003439965110246,boosting_suite_lightgbm_baseline,42,-1
s4,0.0038374710107223382,boosting_suite_lightgbm_baseline,42,-1
s5,0.004719011131002888,boosting_suite_lightgbm_baseline,42,-1
s6,0.0048222533579847186,boosting_suite_lightgbm_baseline,42,-1
target,0.008305968655389257,boosting_suite_lightgbm_baseline,42,-1
age,0.004140723939271789,boosting_suite_lightgbm_baseline,42,-1
bmi,0.00883940314002336,boosting_suite_lightgbm_baseline,42,-1
bp,0.01219511067088924,boosting_suite_lightgbm_baseline,42,-1
s1,0.005152432463829807,boosting_suite_lightgbm_baseline,42,-1
s2,0.004156565176732302,boosting_suite_lightgbm_baseline,42,-1
s3,0.012560371802155459,boosting_suite_lightgbm_baseline,42,-1
s4,0.0066016959844149535,boosting_suite_lightgbm_baseline,42,-1
