framework,metric,mean,std,ci95_low,ci95_high,boot_ci_low,boot_ci_high,n
CatBoost,f1_macro,0.7607411830870578,0.05431782862101224,0.6542782389898738,0.8672041271842419,0.7184654818865346,0.80529605776363,5
CatBoost,accuracy,0.7777777777777779,0.053990295322641664,0.6719567989454003,0.8835987566101555,0.7333333333333333,0.8222222222222222,5
CatBoost,roc_auc_ovr,0.8225769887534595,0.05496161786402939,0.7148522177399619,0.9303017597669572,0.7801482855404424,0.8654129619815893,5
CatBoost,avg_precision_ovr,0.9138407466849987,0.03172200620940353,0.8516656145145678,0.9760158788554296,0.890603574173284,0.9396324268980653,5
feature_ablation_xgboost_baseline,accuracy,0.7333333333333334,0.01656346649999846,0.7008689389933365,0.7657977276733303,0.7222222222222222,0.7481481481481481,5
feature_ablation_xgboost_baseline,fit_time_sec,0.49502038339851423,0.0047545698151547815,0.48570142656081083,0.5043393402362176,0.4916092751955148,0.49889795820636207,5
feature_ablation_xgboost_baseline,predict_time_sec,0.0027601001958827997,8.814767835673486e-05,0.0025873307463035993,0.002932869645462,0.00270216699864244,0.0028321499907178597,5
feature_ablation_xgboost_poly2,accuracy,0.725925925925926,0.04421235698634566,0.6392697062326885,0.8125821456191634,0.6888888888888889,0.7592592592592593,5
feature_ablation_xgboost_poly2,fit_time_sec,0.449620724999113,0.00888649353759611,0.4322031976654246,0.4670382523328014,0.44291539225305315,0.4565456416021334,5
feature_ablation_xgboost_poly2,predict_time_sec,0.0061214665969600394,4.181017020332103e-05,0.00603951866336153,0.0062034145305585485,0.006089116595103359,0.006153835963850669,5
automl_suite_flaml,accuracy,0.6962962962962964,0.04263283123415308,0.6127359470773563,0.7798566455152365,0.6592592592592593,0.7296296296296296,5
automl_suite_flaml,fit_time_sec,600.0219431334029,0.033673265211397525,599.9559435335887,600.0879427332172,599.9967961750023,600.0492289168033,5
automl_suite_flaml,predict_time_sec,0.00855262499535452,0.008607773333152179,-0.00831861073762375,0.02542386072833279,0.00221737499523438,0.01488787499547466,5
H2O_AutoML,f1_macro,0.7269938438179014,0.08563229497894365,0.5591545456591719,0.894833141976631,0.6296296296296295,0.790610718737017,3
H2O_AutoML,accuracy,0.7797619047619048,0.058556962553070274,0.664990258157887,0.8945335513659225,0.7222222222222222,0.8392857142857143,3
H2O_AutoML,roc_auc_ovr,0.8605660336052493,0.03744200150766461,0.7871797106502266,0.933952356560272,0.8225769887534596,0.8974358974358975,3
H2O_AutoML,avg_precision_ovr,0.9390851001046486,0.02259767573949176,0.8947936556552448,0.9833765445540524,0.9138407466849988,0.9574253983718624,3
boosting_suite_xgboost_baseline,accuracy,0.7388888888888889,0.02683588286331378,0.6862905584767939,0.791487219300984,0.7240740740740741,0.7555555555555555,10
boosting_suite_xgboost_baseline,fit_time_sec,0.5022022623976227,0.00504551733761995,0.4923130484158876,0.5120914763793578,0.49926903809289797,0.5052694804161365,10
boosting_suite_xgboost_baseline,predict_time_sec,0.00276184980175452,5.642380106429049e-05,0.0026512591516685106,0.002872440451840529,0.002730486812106338,0.0027962783093243458,10
boosting_suite_lightgbm_baseline,accuracy,0.7425925925925926,0.043165762313696496,0.6579876984577474,0.8271974867274378,0.7203703703703703,0.7703703703703704,10
boosting_suite_lightgbm_baseline,fit_time_sec,0.4187980622969917,0.008248321043953242,0.4026313530508433,0.43496477154314006,0.4142653181636342,0.42344731673700153,10
boosting_suite_lightgbm_baseline,predict_time_sec,0.00228601240087296,5.888545484665354e-05,0.002170596909373519,0.0024014278923724006,0.002249917857334327,0.0023192226886385014,10
FLAML,f1_macro,0.6296296296296295,0.0,0.6296296296296295,0.6296296296296295,0.6296296296296295,0.6296296296296295,1
FLAML,accuracy,0.7222222222222222,0.0,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,1
FLAML,roc_auc_ovr,0.8616852146263911,0.0,0.8616852146263911,0.8616852146263911,0.8616852146263911,0.8616852146263911,1
FLAML,avg_precision_ovr,0.9459891552570848,0.0,0.9459891552570848,0.9459891552570848,0.9459891552570848,0.9459891552570848,1
boosting_suite_catboost_baseline,accuracy,0.7259259259259259,0.055760937237709696,0.6166344889400148,0.8352173629118369,0.6944444444444445,0.7574074074074073,10
boosting_suite_catboost_baseline,fit_time_sec,0.23571804569946836,0.026475590485097098,0.18382588834867805,0.2876102030502587,0.22530013238832902,0.25273655434848474,10
boosting_suite_catboost_baseline,predict_time_sec,0.0018293624016222899,0.0002275125945829008,0.0013834377162398044,0.0022752870870047753,0.0017388010607100384,0.0019763993348896588,10
automl_suite_h2o,accuracy,0.7222222222222221,0.04721314364437764,0.6296844606792419,0.8147599837652023,0.6814814814814814,0.7555555555555555,5
automl_suite_h2o,fit_time_sec,590.6237338166014,8.622570265732387,573.723496095766,607.5239715374369,586.5754610667937,598.3758129998052,5
automl_suite_h2o,predict_time_sec,0.025625683600082945,0.005370089491414826,0.015100308196909886,0.036151059003256006,0.021967658598441558,0.03007053358254776,5
