feature,mean_abs_shap,experiment,seed,fold
age,0.03427614159759613,automl_suite_flaml,42,-1
chest,0.022566511518108432,automl_suite_flaml,42,-1
resting_blood_pressure,0.022659407842114135,automl_suite_flaml,42,-1
serum_cholestoral,0.049015452619224305,automl_suite_flaml,42,-1
fasting_blood_sugar,0.008916236197630949,automl_suite_flaml,42,-1
resting_electrocardiographic_results,0.01361686795450462,automl_suite_flaml,42,-1
maximum_heart_rate_achieved,0.025045045307953286,automl_suite_flaml,42,-1
exercise_induced_angina,0.0210497324639935,automl_suite_flaml,42,-1
oldpeak,0.021708376913494153,automl_suite_flaml,42,-1
slope,0.02412259156393406,automl_suite_flaml,42,-1
number_of_major_vessels,0.013483174631142925,automl_suite_flaml,42,-1
thal,0.0848702144968849,automl_suite_flaml,42,-1
class,0.05044994974725447,automl_suite_flaml,42,-1
age,0.028243976509766164,automl_suite_flaml,42,-1
chest,0.003832952715381641,automl_suite_flaml,42,-1
resting_blood_pressure,0.025875320688833862,automl_suite_flaml,42,-1
serum_cholestoral,0.047684270429874866,automl_suite_flaml,42,-1
fasting_blood_sugar,0.0062918577784654645,automl_suite_flaml,42,-1
resting_electrocardiographic_results,0.0032247014652715656,automl_suite_flaml,42,-1
maximum_heart_rate_achieved,0.02872435673243991,automl_suite_flaml,42,-1
exercise_induced_angina,0.012418008850447498,automl_suite_flaml,42,-1
oldpeak,0.021323775180661236,automl_suite_flaml,42,-1
slope,0.009360219848562642,automl_suite_flaml,42,-1
number_of_major_vessels,0.004614245595746769,automl_suite_flaml,42,-1
thal,0.05593314881392061,automl_suite_flaml,42,-1
class,0.03989848279974085,automl_suite_flaml,42,-1
age,0.031527941648519416,automl_suite_flaml,42,-1
chest,0.01600233810386707,automl_suite_flaml,42,-1
resting_blood_pressure,0.04328596218034344,automl_suite_flaml,42,-1
serum_cholestoral,0.03138884421966248,automl_suite_flaml,42,-1
fasting_blood_sugar,0.010753428822163706,automl_suite_flaml,42,-1
resting_electrocardiographic_results,0.010755840796258322,automl_suite_flaml,42,-1
maximum_heart_rate_achieved,0.041896538803183676,automl_suite_flaml,42,-1
exercise_induced_angina,0.02985795485732409,automl_suite_flaml,42,-1
oldpeak,0.006882637387814494,automl_suite_flaml,42,-1
slope,0.01380936804405111,automl_suite_flaml,42,-1
number_of_major_vessels,0.019770703571737415,automl_suite_flaml,42,-1
thal,0.04212572270132431,automl_suite_flaml,42,-1
class,0.01471740933370819,automl_suite_flaml,42,-1
age,0.0037536707768296923,automl_suite_flaml,42,-1
chest,0.012419017288437438,automl_suite_flaml,42,-1
resting_blood_pressure,0.017957074578166164,automl_suite_flaml,42,-1
serum_cholestoral,0.028471099940303998,automl_suite_flaml,42,-1
fasting_blood_sugar,0.003442427332556731,automl_suite_flaml,42,-1
resting_electrocardiographic_results,0.002892383366431399,automl_suite_flaml,42,-1
maximum_heart_rate_achieved,0.031253364111906226,automl_suite_flaml,42,-1
exercise_induced_angina,0.0007146574875994691,automl_suite_flaml,42,-1
oldpeak,0.010191220302803424,automl_suite_flaml,42,-1
slope,0.008253238783853254,automl_suite_flaml,42,-1
number_of_major_vessels,0.022683559834489095,automl_suite_flaml,42,-1
thal,0.06668293320542779,automl_suite_flaml,42,-1
class,0.07226800236134015,automl_suite_flaml,42,-1
age,0.012963548473623526,automl_suite_flaml,42,-1
chest,0.008501572601750891,automl_suite_flaml,42,-1
resting_blood_pressure,0.010617919766502186,automl_suite_flaml,42,-1
serum_cholestoral,0.022227247418404504,automl_suite_flaml,42,-1
fasting_blood_sugar,0.027315545414840155,automl_suite_flaml,42,-1
resting_electrocardiographic_results,0.01090579117110004,automl_suite_flaml,42,-1
maximum_heart_rate_achieved,0.030953085613345806,automl_suite_flaml,42,-1
exercise_induced_angina,0.006575280322139712,automl_suite_flaml,42,-1
oldpeak,0.010515617376843945,automl_suite_flaml,42,-1
slope,0.009071849242714505,automl_suite_flaml,42,-1
number_of_major_vessels,0.007135340406916655,automl_suite_flaml,42,-1
thal,0.09953953953883496,automl_suite_flaml,42,-1
class,0.09915529164056397,automl_suite_flaml,42,-1
age,0.0664478966649271,boosting_suite_catboost_baseline,42,-1
chest,0.027946593146366303,boosting_suite_catboost_baseline,42,-1
resting_blood_pressure,0.02994386264372763,boosting_suite_catboost_baseline,42,-1
serum_cholestoral,0.09745560394740509,boosting_suite_catboost_baseline,42,-1
fasting_blood_sugar,0.005909463573062359,boosting_suite_catboost_baseline,42,-1
resting_electrocardiographic_results,0.009051905166591316,boosting_suite_catboost_baseline,42,-1
maximum_heart_rate_achieved,0.048263492423926864,boosting_suite_catboost_baseline,42,-1
exercise_induced_angina,0.011269901727482086,boosting_suite_catboost_baseline,42,-1
oldpeak,0.02141918737042412,boosting_suite_catboost_baseline,42,-1
slope,0.03542721974322556,boosting_suite_catboost_baseline,42,-1
number_of_major_vessels,0.012450695946308444,boosting_suite_catboost_baseline,42,-1
thal,0.12718622255746678,boosting_suite_catboost_baseline,42,-1
class,0.0846199312751958,boosting_suite_catboost_baseline,42,-1
age,0.048089852037659975,boosting_suite_catboost_baseline,42,-1
chest,0.011748406634657644,boosting_suite_catboost_baseline,42,-1
resting_blood_pressure,0.0499591956507507,boosting_suite_catboost_baseline,42,-1
serum_cholestoral,0.09859609248312094,boosting_suite_catboost_baseline,42,-1
fasting_blood_sugar,0.005324326041592346,boosting_suite_catboost_baseline,42,-1
resting_electrocardiographic_results,0.015912660760890856,boosting_suite_catboost_baseline,42,-1
maximum_heart_rate_achieved,0.07242470560774905,boosting_suite_catboost_baseline,42,-1
exercise_induced_angina,0.012876871926811587,boosting_suite_catboost_baseline,42,-1
oldpeak,0.03416982077330035,boosting_suite_catboost_baseline,42,-1
slope,0.017400088459983493,boosting_suite_catboost_baseline,42,-1
number_of_major_vessels,0.011986784328935024,boosting_suite_catboost_baseline,42,-1
thal,0.10758802416670138,boosting_suite_catboost_baseline,42,-1
class,0.05794638092734909,boosting_suite_catboost_baseline,42,-1
age,0.0691155118208264,boosting_suite_catboost_baseline,42,-1
chest,0.015522040700009109,boosting_suite_catboost_baseline,42,-1
resting_blood_pressure,0.041756294106051584,boosting_suite_catboost_baseline,42,-1
serum_cholestoral,0.07294347281626928,boosting_suite_catboost_baseline,42,-1
fasting_blood_sugar,0.008804222527968983,boosting_suite_catboost_baseline,42,-1
resting_electrocardiographic_results,0.019924498316583585,boosting_suite_catboost_baseline,42,-1
maximum_heart_rate_achieved,0.07000706374080234,boosting_suite_catboost_baseline,42,-1
exercise_induced_angina,0.010149184027596235,boosting_suite_catboost_baseline,42,-1
oldpeak,0.02430986749133739,boosting_suite_catboost_baseline,42,-1
slope,0.021449314568118914,boosting_suite_catboost_baseline,42,-1
number_of_major_vessels,0.010492233808729117,boosting_suite_catboost_baseline,42,-1
thal,0.12712560602821496,boosting_suite_catboost_baseline,42,-1
class,0.06079384057847573,boosting_suite_catboost_baseline,42,-1
age,0.0405030070655935,boosting_suite_catboost_baseline,42,-1
chest,0.014333857013730151,boosting_suite_catboost_baseline,42,-1
resting_blood_pressure,0.041837937903815334,boosting_suite_catboost_baseline,42,-1
serum_cholestoral,0.07427207766974499,boosting_suite_catboost_baseline,42,-1
fasting_blood_sugar,0.004881796949729793,boosting_suite_catboost_baseline,42,-1
resting_electrocardiographic_results,0.013035116447571483,boosting_suite_catboost_baseline,42,-1
maximum_heart_rate_achieved,0.07739533970120106,boosting_suite_catboost_baseline,42,-1
exercise_induced_angina,0.009408766924631773,boosting_suite_catboost_baseline,42,-1
oldpeak,0.02958060922254609,boosting_suite_catboost_baseline,42,-1
slope,0.0312420862151553,boosting_suite_catboost_baseline,42,-1
number_of_major_vessels,0.015778672867917513,boosting_suite_catboost_baseline,42,-1
thal,0.13728619265017586,boosting_suite_catboost_baseline,42,-1
class,0.10098681596851317,boosting_suite_catboost_baseline,42,-1
age,0.050553166489798275,boosting_suite_catboost_baseline,42,-1
chest,0.011962649523638767,boosting_suite_catboost_baseline,42,-1
resting_blood_pressure,0.030872720275037183,boosting_suite_catboost_baseline,42,-1
serum_cholestoral,0.0688321691640654,boosting_suite_catboost_baseline,42,-1
fasting_blood_sugar,0.014188150720445705,boosting_suite_catboost_baseline,42,-1
resting_electrocardiographic_results,0.013963499591550441,boosting_suite_catboost_baseline,42,-1
maximum_heart_rate_achieved,0.06675220878316744,boosting_suite_catboost_baseline,42,-1
exercise_induced_angina,0.007043504423767515,boosting_suite_catboost_baseline,42,-1
oldpeak,0.025902162218384085,boosting_suite_catboost_baseline,42,-1
slope,0.03638384168817622,boosting_suite_catboost_baseline,42,-1
number_of_major_vessels,0.007116376914480218,boosting_suite_catboost_baseline,42,-1
thal,0.15496791211605013,boosting_suite_catboost_baseline,42,-1
class,0.08731461819037951,boosting_suite_catboost_baseline,42,-1
age,0.061389884914211816,boosting_suite_catboost_baseline,77,-1
chest,0.018152841328943053,boosting_suite_catboost_baseline,77,-1
resting_blood_pressure,0.0436267997698164,boosting_suite_catboost_baseline,77,-1
serum_cholestoral,0.06914233668069036,boosting_suite_catboost_baseline,77,-1
fasting_blood_sugar,0.009247315445793113,boosting_suite_catboost_baseline,77,-1
resting_electrocardiographic_results,0.018538174918199295,boosting_suite_catboost_baseline,77,-1
maximum_heart_rate_achieved,0.0700312221274535,boosting_suite_catboost_baseline,77,-1
exercise_induced_angina,0.008964231991840611,boosting_suite_catboost_baseline,77,-1
oldpeak,0.022459771440402412,boosting_suite_catboost_baseline,77,-1
slope,0.033728249837280795,boosting_suite_catboost_baseline,77,-1
number_of_major_vessels,0.008438383779979053,boosting_suite_catboost_baseline,77,-1
thal,0.15858417108289724,boosting_suite_catboost_baseline,77,-1
class,0.060735834315520654,boosting_suite_catboost_baseline,77,-1
age,0.0752127051839647,boosting_suite_catboost_baseline,77,-1
chest,0.013395934144784431,boosting_suite_catboost_baseline,77,-1
resting_blood_pressure,0.032390016483011264,boosting_suite_catboost_baseline,77,-1
serum_cholestoral,0.09852421869866276,boosting_suite_catboost_baseline,77,-1
fasting_blood_sugar,0.007497634269025408,boosting_suite_catboost_baseline,77,-1
resting_electrocardiographic_results,0.02302880643940004,boosting_suite_catboost_baseline,77,-1
maximum_heart_rate_achieved,0.05898197489089852,boosting_suite_catboost_baseline,77,-1
exercise_induced_angina,0.011090258072604312,boosting_suite_catboost_baseline,77,-1
oldpeak,0.02889288663195871,boosting_suite_catboost_baseline,77,-1
slope,0.026672923032159464,boosting_suite_catboost_baseline,77,-1
number_of_major_vessels,0.018110864938209195,boosting_suite_catboost_baseline,77,-1
thal,0.10807468016987885,boosting_suite_catboost_baseline,77,-1
class,0.058885235558909246,boosting_suite_catboost_baseline,77,-1
age,0.060627588399987296,boosting_suite_catboost_baseline,77,-1
chest,0.011132122514033619,boosting_suite_catboost_baseline,77,-1
resting_blood_pressure,0.03642364898489,boosting_suite_catboost_baseline,77,-1
serum_cholestoral,0.06851726043412316,boosting_suite_catboost_baseline,77,-1
fasting_blood_sugar,0.01192027013770438,boosting_suite_catboost_baseline,77,-1
resting_electrocardiographic_results,0.020123347855431697,boosting_suite_catboost_baseline,77,-1
maximum_heart_rate_achieved,0.05822075049028412,boosting_suite_catboost_baseline,77,-1
exercise_induced_angina,0.006991864309659219,boosting_suite_catboost_baseline,77,-1
oldpeak,0.019599576791888614,boosting_suite_catboost_baseline,77,-1
slope,0.043081477279600364,boosting_suite_catboost_baseline,77,-1
number_of_major_vessels,0.008224236931580278,boosting_suite_catboost_baseline,77,-1
thal,0.15950896651432286,boosting_suite_catboost_baseline,77,-1
class,0.07139293278317761,boosting_suite_catboost_baseline,77,-1
age,0.04196588349301539,boosting_suite_catboost_baseline,77,-1
chest,0.009261268254427106,boosting_suite_catboost_baseline,77,-1
resting_blood_pressure,0.037395882342222915,boosting_suite_catboost_baseline,77,-1
serum_cholestoral,0.08522943214103579,boosting_suite_catboost_baseline,77,-1
fasting_blood_sugar,0.009486073859366726,boosting_suite_catboost_baseline,77,-1
resting_electrocardiographic_results,0.015000953402074127,boosting_suite_catboost_baseline,77,-1
maximum_heart_rate_achieved,0.0735000841747306,boosting_suite_catboost_baseline,77,-1
exercise_induced_angina,0.0103418569905345,boosting_suite_catboost_baseline,77,-1
oldpeak,0.036212940843911544,boosting_suite_catboost_baseline,77,-1
slope,0.02455661065800258,boosting_suite_catboost_baseline,77,-1
number_of_major_vessels,0.00883493412906155,boosting_suite_catboost_baseline,77,-1
thal,0.1065128078364019,boosting_suite_catboost_baseline,77,-1
class,0.10573952293078533,boosting_suite_catboost_baseline,77,-1
age,0.051210790481003916,boosting_suite_catboost_baseline,77,-1
chest,0.020849876225024565,boosting_suite_catboost_baseline,77,-1
resting_blood_pressure,0.05038458770370988,boosting_suite_catboost_baseline,77,-1
serum_cholestoral,0.07372335624167925,boosting_suite_catboost_baseline,77,-1
fasting_blood_sugar,0.007410339588134678,boosting_suite_catboost_baseline,77,-1
resting_electrocardiographic_results,0.021058085856800135,boosting_suite_catboost_baseline,77,-1
maximum_heart_rate_achieved,0.05885258390220616,boosting_suite_catboost_baseline,77,-1
exercise_induced_angina,0.014365124335418413,boosting_suite_catboost_baseline,77,-1
oldpeak,0.03489705910005231,boosting_suite_catboost_baseline,77,-1
slope,0.015180659230496146,boosting_suite_catboost_baseline,77,-1
number_of_major_vessels,0.010726785558886835,boosting_suite_catboost_baseline,77,-1
thal,0.1531221538210754,boosting_suite_catboost_baseline,77,-1
class,0.05222333250071689,boosting_suite_catboost_baseline,77,-1
age,0.06340542422286548,boosting_suite_lightgbm_baseline,42,-1
chest,0.04550316824235287,boosting_suite_lightgbm_baseline,42,-1
resting_blood_pressure,0.0390015820684686,boosting_suite_lightgbm_baseline,42,-1
serum_cholestoral,0.0896957801535612,boosting_suite_lightgbm_baseline,42,-1
fasting_blood_sugar,0.00545189590507632,boosting_suite_lightgbm_baseline,42,-1
resting_electrocardiographic_results,0.010499881980233675,boosting_suite_lightgbm_baseline,42,-1
maximum_heart_rate_achieved,0.06482436892936846,boosting_suite_lightgbm_baseline,42,-1
exercise_induced_angina,0.006468006110529117,boosting_suite_lightgbm_baseline,42,-1
oldpeak,0.02810187645416249,boosting_suite_lightgbm_baseline,42,-1
slope,0.05609345751388393,boosting_suite_lightgbm_baseline,42,-1
number_of_major_vessels,0.03387915365881574,boosting_suite_lightgbm_baseline,42,-1
thal,0.15181043463373292,boosting_suite_lightgbm_baseline,42,-1
class,0.10923962762277198,boosting_suite_lightgbm_baseline,42,-1
age,0.07138226410700661,boosting_suite_lightgbm_baseline,42,-1
chest,0.006588906378358468,boosting_suite_lightgbm_baseline,42,-1
resting_blood_pressure,0.06201793641961608,boosting_suite_lightgbm_baseline,42,-1
serum_cholestoral,0.10195802565023261,boosting_suite_lightgbm_baseline,42,-1
fasting_blood_sugar,0.0024991137130828847,boosting_suite_lightgbm_baseline,42,-1
resting_electrocardiographic_results,0.014586555218030763,boosting_suite_lightgbm_baseline,42,-1
maximum_heart_rate_achieved,0.09525825707555291,boosting_suite_lightgbm_baseline,42,-1
exercise_induced_angina,0.013471547961618141,boosting_suite_lightgbm_baseline,42,-1
oldpeak,0.03978272367771505,boosting_suite_lightgbm_baseline,42,-1
slope,0.02275179994105417,boosting_suite_lightgbm_baseline,42,-1
number_of_major_vessels,0.019598013654243317,boosting_suite_lightgbm_baseline,42,-1
thal,0.10753051730107778,boosting_suite_lightgbm_baseline,42,-1
class,0.08238255417089473,boosting_suite_lightgbm_baseline,42,-1
age,0.08436852119376999,boosting_suite_lightgbm_baseline,42,-1
chest,0.020515505824447146,boosting_suite_lightgbm_baseline,42,-1
resting_blood_pressure,0.06957041750512497,boosting_suite_lightgbm_baseline,42,-1
serum_cholestoral,0.0632997682800635,boosting_suite_lightgbm_baseline,42,-1
fasting_blood_sugar,0.003882726531135714,boosting_suite_lightgbm_baseline,42,-1
resting_electrocardiographic_results,0.025729959864792172,boosting_suite_lightgbm_baseline,42,-1
maximum_heart_rate_achieved,0.08839447374506043,boosting_suite_lightgbm_baseline,42,-1
exercise_induced_angina,0.004164235306124821,boosting_suite_lightgbm_baseline,42,-1
oldpeak,0.040549555449530476,boosting_suite_lightgbm_baseline,42,-1
slope,0.03032716353929815,boosting_suite_lightgbm_baseline,42,-1
number_of_major_vessels,0.017673742380272788,boosting_suite_lightgbm_baseline,42,-1
thal,0.14941233870745282,boosting_suite_lightgbm_baseline,42,-1
class,0.06477923475360421,boosting_suite_lightgbm_baseline,42,-1
age,0.07297865734128835,boosting_suite_lightgbm_baseline,42,-1
chest,0.023198946319756514,boosting_suite_lightgbm_baseline,42,-1
resting_blood_pressure,0.055531497115995095,boosting_suite_lightgbm_baseline,42,-1
serum_cholestoral,0.07007978275663104,boosting_suite_lightgbm_baseline,42,-1
fasting_blood_sugar,0.0034006246813352223,boosting_suite_lightgbm_baseline,42,-1
resting_electrocardiographic_results,0.007573854726071948,boosting_suite_lightgbm_baseline,42,-1
maximum_heart_rate_achieved,0.08781109564892592,boosting_suite_lightgbm_baseline,42,-1
exercise_induced_angina,0.007432548041660511,boosting_suite_lightgbm_baseline,42,-1
oldpeak,0.0378240469208772,boosting_suite_lightgbm_baseline,42,-1
slope,0.04578297232047384,boosting_suite_lightgbm_baseline,42,-1
number_of_major_vessels,0.024116075146487427,boosting_suite_lightgbm_baseline,42,-1
thal,0.13835235386562642,boosting_suite_lightgbm_baseline,42,-1
class,0.1305797785792299,boosting_suite_lightgbm_baseline,42,-1
age,0.05678390229923057,boosting_suite_lightgbm_baseline,42,-1
chest,0.017769884181188023,boosting_suite_lightgbm_baseline,42,-1
resting_blood_pressure,0.05020605850523408,boosting_suite_lightgbm_baseline,42,-1
serum_cholestoral,0.06839462290762316,boosting_suite_lightgbm_baseline,42,-1
fasting_blood_sugar,0.009463866406938354,boosting_suite_lightgbm_baseline,42,-1
resting_electrocardiographic_results,0.011077549565127937,boosting_suite_lightgbm_baseline,42,-1
maximum_heart_rate_achieved,0.08649371261632971,boosting_suite_lightgbm_baseline,42,-1
exercise_induced_angina,0.023387858030835384,boosting_suite_lightgbm_baseline,42,-1
oldpeak,0.04045956511991832,boosting_suite_lightgbm_baseline,42,-1
slope,0.040325587068735534,boosting_suite_lightgbm_baseline,42,-1
number_of_major_vessels,0.004968536238603557,boosting_suite_lightgbm_baseline,42,-1
thal,0.15804235960980267,boosting_suite_lightgbm_baseline,42,-1
class,0.0972887109740586,boosting_suite_lightgbm_baseline,42,-1
age,0.06763552251366847,boosting_suite_lightgbm_baseline,77,-1
chest,0.027163962655294614,boosting_suite_lightgbm_baseline,77,-1
resting_blood_pressure,0.0494299052838911,boosting_suite_lightgbm_baseline,77,-1
serum_cholestoral,0.07377538817401892,boosting_suite_lightgbm_baseline,77,-1
fasting_blood_sugar,0.0023906024000677688,boosting_suite_lightgbm_baseline,77,-1
resting_electrocardiographic_results,0.006821916216565598,boosting_suite_lightgbm_baseline,77,-1
maximum_heart_rate_achieved,0.0927439006740531,boosting_suite_lightgbm_baseline,77,-1
exercise_induced_angina,0.010031354503194893,boosting_suite_lightgbm_baseline,77,-1
oldpeak,0.03264418724704248,boosting_suite_lightgbm_baseline,77,-1
slope,0.04291353464981778,boosting_suite_lightgbm_baseline,77,-1
number_of_major_vessels,0.022891991161022245,boosting_suite_lightgbm_baseline,77,-1
thal,0.16584901404089647,boosting_suite_lightgbm_baseline,77,-1
class,0.08723284441590821,boosting_suite_lightgbm_baseline,77,-1
age,0.08358810609173964,boosting_suite_lightgbm_baseline,77,-1
chest,0.023215631471634923,boosting_suite_lightgbm_baseline,77,-1
resting_blood_pressure,0.05038347638806593,boosting_suite_lightgbm_baseline,77,-1
serum_cholestoral,0.0999607034195835,boosting_suite_lightgbm_baseline,77,-1
fasting_blood_sugar,0.0041096880578860824,boosting_suite_lightgbm_baseline,77,-1
