framework_a,framework_b,metric,diff,t_stat,p_value,boot_ci_low,boot_ci_high
CatBoost,XGBoost,f1_macro,0.027615443838354015,3.9726590270687514,0.016501975138980392,0.013432748538011657,0.03596245515750165
CatBoost,XGBoost,accuracy,0.026666666666666505,3.9999999999999996,0.01613008990009254,0.013333333333333286,0.033333333333333215
CatBoost,H2O_AutoML,f1_macro,0.009479241776455538,0.3618518602451418,0.7357683567635309,-0.034591723217729464,0.055137010678806386
CatBoost,H2O_AutoML,accuracy,0.009333333333333194,0.35838577953439477,0.7381686109939054,-0.034700000000000085,0.05466666666666673
CatBoost,LightGBM,f1_macro,0.02008354218880537,2.449472789173468,0.07048528361208822,0.006683375104427758,0.033483709273182984
CatBoost,LightGBM,accuracy,0.019999999999999907,2.4494897427831783,0.07048399691021993,0.006666666666666643,0.033333333333333215
CatBoost,leaderboard,f1_macro,0.009479241776455538,0.3618518602451418,0.7357683567635309,-0.034591723217729464,0.055137010678806386
CatBoost,leaderboard,accuracy,0.009333333333333194,0.35838577953439477,0.7381686109939054,-0.034700000000000085,0.05466666666666673
XGBoost,H2O_AutoML,f1_macro,-0.018136202061898477,-0.6452990798586877,0.5538827628127612,-0.0646759143848927,0.028403510261095354
XGBoost,H2O_AutoML,accuracy,-0.01733333333333331,-0.6294827516174034,0.5631968011404631,-0.06266666666666669,0.028000000000000157
XGBoost,LightGBM,f1_macro,-0.007531901649548645,-1.0,0.373900966300059,-0.022595704948646135,0.0
XGBoost,LightGBM,accuracy,-0.006666666666666599,-0.9999999999999999,0.373900966300059,-0.019999999999999928,0.0
XGBoost,leaderboard,f1_macro,-0.018136202061898477,-0.6452990798586877,0.5538827628127612,-0.0646759143848927,0.028403510261095354
XGBoost,leaderboard,accuracy,-0.01733333333333331,-0.6294827516174034,0.5631968011404631,-0.06266666666666669,0.028000000000000157
H2O_AutoML,LightGBM,f1_macro,0.010604300412349832,0.41734810067741807,0.6978511003970407,-0.028403510261095354,0.05208982051087312
H2O_AutoML,LightGBM,accuracy,0.010666666666666713,0.42222385117540534,0.6945679266884264,-0.028000000000000157,0.05199999999999998
H2O_AutoML,leaderboard,f1_macro,0.0,,,0.0,0.0
H2O_AutoML,leaderboard,accuracy,0.0,,,0.0,0.0
LightGBM,leaderboard,f1_macro,-0.010604300412349832,-0.41734810067741807,0.6978511003970407,-0.05208982051087312,0.028403510261095354
LightGBM,leaderboard,accuracy,-0.010666666666666713,-0.42222385117540534,0.6945679266884264,-0.05199999999999998,0.028000000000000157
