framework,metric,mean,std,ci95_low,ci95_high,boot_ci_low,boot_ci_high,n
CatBoost,f1_macro,0.9665152780942254,0.03350255093995113,0.9008502782519212,1.0321802779365297,0.9398486114275588,0.9933166248955722,5
CatBoost,accuracy,0.9666666666666666,0.03333333333333338,0.9013333333333331,1.032,0.9400000000000001,0.9933333333333334,5
XGBoost,f1_macro,0.9388998342558714,0.03794407213177642,0.8645294528775896,1.013270215634153,0.9102667542296026,0.9665831244778612,5
XGBoost,accuracy,0.9400000000000001,0.03651483716701113,0.8684309191526582,1.0115690808473419,0.9133333333333333,0.9666666666666668,5
H2O_AutoML,f1_macro,0.9570360363177699,0.02710603872377097,0.9039082004191789,1.010163872216361,0.9381796142167659,0.9785726943621679,5
H2O_AutoML,accuracy,0.9573333333333334,0.02691550565091516,0.9045789422575397,1.010087724409127,0.9386666666666666,0.9786666666666667,5
H2O_AutoML,roc_auc_ovr,1.0,0.0,1.0,1.0,1.0,1.0,1
H2O_AutoML,avg_precision_ovr,1.0,0.0,1.0,1.0,1.0,1.0,1
FLAML,f1_macro,0.9333333333333332,0.0,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,1
FLAML,accuracy,0.9333333333333332,0.0,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,1
LightGBM,f1_macro,0.9464317359054201,0.029946372546507383,0.8877368457142656,1.0051266260965745,0.9262803473329788,0.9665831244778612,5
LightGBM,accuracy,0.9466666666666667,0.029814239699997257,0.888230756854672,1.0051025764786612,0.9266666666666665,0.9666666666666668,5
