feature,importance
Western_Surety_Company,37.39472479842472
RoofingUpdate,13.775919816285292
ExpirationYear,5.9661257364938365
Security_National_Insurance_Company,5.7161015530934405
FireSprinkler,5.098960265815917
PlumbingUpdate,4.853848275125872
EffectiveYear,3.429590848789113
WiringUpdate,3.0671106436604587
IsRenewal,2.500554750519479
PriorInsurance,2.4865294083812186
United_States_Liability_Insurance_Group,1.8638811036187117
The_Hartford,1.693783244306868
SB,1.59077951029211
PU,1.2672238087151562
HeatingUpdate,1.227417430805369
CNA_Insurance_Companies,0.7070770433929849
RLI_Insurance_Company,0.6506516586818949
IsAgencyBilled,0.5194642824896932
BOP,0.49630548631426064
GL,0.4248614628303491
Indemnity_Insurance_Company_of_North_America,0.3822141201512201
Contractors_Bonding_and_Insurance_Company_RLI,0.3251756946661319
EO,0.31017778509751964
CA,0.3059600608382444
WC,0.3045043372080306
TX,0.294747404388325
AppPolicy,0.20865725689345246
Wesco_Insurance_Company,0.17666970212017932
Hiscox,0.15491637898015667
NJ,0.1492750080975933
NV,0.11467427567062519
Philadelphia_Indemnity_Insurance_Company,0.10124363813076101
PA,0.10056688547230012
MO,0.099393592331916
Travelers,0.09416762117633705
CPKG,0.09064968680339047
PriorClaim,0.09035279645522039
WA,0.08427431088408252
CBP,0.08218497083564003
OK,0.08120418846909021
FO,0.08094550978641404
Utica_First_Insurance_Company,0.0686937764614943
ERQK,0.06399623715360014
OR,0.061483152690766936
CA_1,0.060884772854509786
AZ,0.05780068736672903
MN,0.05371090869902262
INM,0.05287920377986489
Aon_Insurance,0.052612672349267205
GA,0.05216955468428962
IL,0.04737963794110644
PROP,0.04554836956240995
SE,0.045110723920592594
Zurich_Small_Business,0.04375800380803681
IsSurplusLines,0.042994673094931005
CO,0.042414215983749406
Couch_Braunsdorf,0.03881039911333297
Bankers_Insurance_Group,0.036124716777737244
NY,0.0289242149215209
Sentinel_Insurance_Company_Hartford,0.0275336217547047
MI,0.024729838781784027
NM,0.02362454076239613
United_States_Liability_Insurance_Co,0.021547452192180575
UB,0.019723407787291782
Hanover_Insurance_Company,0.019531519681163186
UT,0.019466283102707625
MT,0.019014856193265733
Beazley_Insurance_Company_Inc,0.017955118271149133
ND,0.017609134546257763
DO,0.017241424542694072
CGP,0.017178684693366416
POP,0.01666153114868558
TBD_Carrier,0.01594310760890271
Seneca_Specialty_Insurance_Co,0.01573743593587319
Hanover,0.014809952951672544
MD,0.013266309778852566
VA,0.012437184201436854
SD,0.012431287936328734
OTH,0.012136125320956261
Pioneer,0.01120343987151965
Great_American_Insurance_Company,0.011162385754552095
The_Hanover_Insurance_Group_Inc,0.011086523541368746
Hartford_Fire_Insurance_Company,0.009951280380483991
C_N_A,0.009918501227624024
KY,0.00968862646480795
Penn_Nat_Mut_Cas_Ins_Co_Penn_National,0.009627112442310943
FirstComp_Insurance_Company,0.009534931106393566
TN,0.009333034735818682
Liberty_Mutual_Insurance_Company,0.009296068130243132
Progressive_Insurance_Company,0.009159661295501916
IN,0.009136496336703204
Mount_Vernon_Fire_Insurance_Co,0.008623112043748644
KS,0.008602424371427435
Zurich_Insurance_Company,0.008433125968022535
Underwriters_at_Lloyds_London,0.008218646292783047
BinderExpectedFlag,0.008098048337160827
ProducerHoldFlag,0.007947695140347736
Hartford_Casualty_Insurance,0.007916596664533607
ID,0.007693625613980449
United_Specialty_Insurance_Company,0.007629594793037235
Century_Surety,0.007524184214587172
Navigators_Insurance_Company,0.007132572630996245
Brown_Riding,0.007104436443480958
IA,0.006588043010473558
AR,0.006580267674479483
YearTerm,0.0065145195592610245
Other_Carrier,0.006486577490556022
WI,0.0064293285658260846
USTL,0.00594821333398411
Rockingham_Casualty_Company,0.005752202778400923
WY,0.005697787288771217
OH,0.005281377527722615
AL,0.0049642649838416075
NE,0.0047505760225520065
Travelers_Prop_Cas_Ins_Co_Travelers,0.004503797386258738
Travelers_Indemnity_Company_Travelers,0.0044256125556353665
EPLI,0.0043128872715284755
Endurance_Contract_Binding,0.004181147600255988
Northfield_Insurance_Company,0.004133085834284945
FL,0.004102849919856222
Seneca_Insurance_Company,0.003997284740866772
McGowan,0.0039797382329183235
CT,0.0036528609623131063
Amtrust_International_Underwriters_Limited,0.0036471023414730856
Hartford,0.0033273474198586097
Zurich,0.003187266141105874
Preferred_Contractors_Ins_Co_RRG_LLC,0.0031293996484474227
NC,0.0026575428761265087
MTC,0.0026089889885898203
RI,0.0025524775419213733
Progressive_Casualty_Insurance_Company,0.002503893129092662
FB,0.002320129042272318
United_Specialty_Insurance_Co,0.002281389451594541
Lloyd_s_of_London,0.002201651210940965
Ark_via_Ambris_LLLP,0.0021147846326065164
CHUBB,0.0019463303819400395
CPKG_AUTO,0.0018760058896761288
PERQK,0.0016715500015719782
Travelers_Prop_Insurance_Company,0.0016468743557594622
LL,0.001615557002374263
Markel_Insurance_Company,0.001548608288244864
DC,0.0013881298937373707
TL,0.0013280703541146037
Lexington_Insurance_Company,0.0011930125347009723
Atain_Specialty_Insurance_Company,0.0010999678719557082
ACE,0.0010481824513577447
PR,0.001037891305948367
American_Safety_Casualty_Insurance_Company,0.0010339883469520673
Intl_Ins_Co_of_Hannover,0.0010075691725565585
CYB,0.0009643857671019729
Philadelphia_Insurance_Companies,0.000886014351089589
American_International_Group_AIG,0.0008424654253556603
Safeco,0.0007963250126028196
Maxum_Indemnity_Company,0.0007424092172741967
United_Specialty_Insurance_Co_CS,0.0006843183389002315
Argonaut_Insurance_Company,0.0006816261267607948
Certain_Underwriters_at_Lloyd_s_of_London_B0595,0.0006391740531155042
