feature,importance
EffectiveYear,949
ExpirationYear,936
AppPolicy,694
PriorInsurance,692
IsRenewal,549
United_States_Liability_Insurance_Group,497
IsAgencyBilled,419
GL,388
BOP,371
TX,357
The_Hartford,347
Hiscox,318
EO,316
CA,302
WC,301
CPKG,249
IsSurplusLines,242
CNA_Insurance_Companies,237
FireSprinkler,176
PriorClaim,167
FO,160
Western_Surety_Company,155
Security_National_Insurance_Company,148
UB,147
Contractors_Bonding_and_Insurance_Company_RLI,142
AZ,141
IL,141
RoofingUpdate,135
PlumbingUpdate,131
NJ,130
CO,125
PA,118
CBP,114
PU,112
Indemnity_Insurance_Company_of_North_America,111
WA,110
Zurich_Small_Business,110
CA_1,109
Travelers,105
OK,105
SE,104
OR,104
MN,103
Philadelphia_Indemnity_Insurance_Company,99
NV,95
NM,90
HeatingUpdate,84
Wesco_Insurance_Company,83
Aon_Insurance,81
MO,81
PROP,78
MI,75
GA,71
VA,71
NY,68
Liberty_Mutual_Insurance_Company,63
OH,61
ERQK,61
ProducerHoldFlag,61
POP,60
INM,60
CGP,58
United_States_Liability_Insurance_Co,55
TN,55
WiringUpdate,53
MT,51
RLI_Insurance_Company,51
Utica_First_Insurance_Company,49
SD,47
Hanover_Insurance_Company,47
FB,47
C_N_A,47
OTH,46
DO,45
SB,45
Couch_Braunsdorf,43
Seneca_Specialty_Insurance_Co,43
BinderExpectedFlag,42
The_Hanover_Insurance_Group_Inc,42
Progressive_Insurance_Company,38
Pioneer,38
Sentinel_Insurance_Company_Hartford,38
Great_American_Insurance_Company,37
KS,37
KY,37
LL,36
UT,36
Beazley_Insurance_Company_Inc,35
Amtrust_International_Underwriters_Limited,35
IN,35
United_Specialty_Insurance_Company,34
TBD_Carrier,34
Hartford_Fire_Insurance_Company,33
AL,32
Penn_Nat_Mut_Cas_Ins_Co_Penn_National,32
EPLI,31
ND,31
Preferred_Contractors_Ins_Co_RRG_LLC,31
IA,30
Hartford_Casualty_Insurance,30
CT,30
Century_Surety,29
Navigators_Insurance_Company,29
FirstComp_Insurance_Company,28
Zurich_Insurance_Company,28
Endurance_Contract_Binding,27
DC,27
USTL,26
NE,25
Travelers_Prop_Cas_Ins_Co_Travelers,25
MD,25
ID,24
McGowan,23
Mount_Vernon_Fire_Insurance_Co,23
Brown_Riding,23
Other_Carrier,22
YearTerm,21
AR,20
Hartford,19
Travelers_Indemnity_Company_Travelers,19
WI,19
Hanover,17
Northfield_Insurance_Company,16
GARAGE_PKG,15
American_International_Group_AIG,14
WY,13
Rockingham_Casualty_Company,13
Zurich,12
NC,12
TL,12
FL,9
Bankers_Insurance_Group,9
Progressive_Casualty_Insurance_Company,8
MS,8
CRM,7
Liberty_Agency_Underwriters,6
Underwriters_at_Lloyds_London,6
Essex_Insurance_Company,5
PHO,4
CYB,4
ACE,3
Palomar_Specialty_Insurance_Company,0
OneBeacon_Insurance_Co,0
US_Underwriters_Insurance_Co,0
Western_World,0
Other,0
U_S_Underwriters_Insurance_Company,0
Torus_National_Insurance_Co,0
Twin_City_Fire_Insurance_Co,0
Tudor_Insurance_Co,0
Peerless_Indemnity_Ins_Co_Peerless,0
Western_World_Insurance_Co,0
Western_Surety_Co,0
Penn_America_Insurance_Company,0
Travelers_Prop_Insurance_Company,0
Philadelphia_Insurance_Companies,0
Philadelphia_Insurance_Company,0
Western_Heritage_Insurance_Company,0
Peerless_Insurance_Company,0
Ohio_Casualty_Group,0
Zenith_Insurance_Company,0
Mt_Hawley_Insurance_Company,0
Merchants_Mutual_Ins_Co_Merchants,0
Merchants_Preferred_Insurance_Company,0
Merrimack_Mutual_Fire_Ins_Co_Andover,0
Mesa_Underwriters_Specialty_Ins_Co,0
Metcom_Excess,0
Milwaukee_Casualty_Insurance_Company,0
Missouri_Employers_Mutual_MEM,0
United_Property_Casualty_Insurance_Co,0
Mount_Vernon_Insurance_Company,0
National_Fire,0
Underwriters_at_Lloyd_s_London_Illinois,0
National_Fire_and_Marine_Insurance_Co,0
National_Union_Fire_Ins_Co_Pittsburgh_PA,0
Nautilus_Insurance,0
United_National_Insurance_Company,0
NorGuard_Insurance_Company,0
United_Fire_Casualty_Group,0
Norman_Spencer,0
Travelers_Indemnity_Company_of_America,0
Ohio_Security_Insurance_Company,0
Plaza_Insurance_Company_State_Auto,0
Progressive_Auto_Insurance_Company,0
Westchester_Fire_Insurance_Company,0
Unitrin_County_Mutual_Insurance_Company,0
Travelers_Auto_Ins_Co_of_NJ_Travelers,0
Seneca_Specialty_Insurance_Company,0
Tower_Insurance_Companies,0
Sentinel_Insurance_Company_Limited,0
Starr_Indemnity_STARR,0
United_States_Fire_Insurance_Company,0
State_Auto_Mutual_Ins_Co,0
Tower_Ins_Co_of_New_York_Tower,0
State_Auto_P_C_Ins_Co,0
Stillwater_Insurance_Co_Fidelity,0
United_States_Fidelity_and_Guaranty_Company,0
Stillwater_Insurance_Group,0
SureTec_Insurance_Company,0
United_Specialty_Insurance_Co_1,0
Tapco,0
Technology_Insurance_Company,0
United_Specialty_Insurance_Co_CS,0
Maxum_Indemnity_Company,0
Torus_Specialty_Insurance_Co,0
Seneca_Insurance_Company_Inc,0
Seneca_Insurance_Company,0
Preferred_Mutual_Ins_Co_Preferred,0
Selective_Way_Ins_Co_Selective,0
Professional_Solutions_Insurance_Co,0
Torus_National_Insurance_Company,0
West_American_Insurance_Company,0
QBE,0
WESCO_Insurance_Company,0
ROCHDALE_INSURANCE_CO,0
RSUI_Indemnity_Company,0
Risk_Placement_Services_Inc,0
Rockhill_Insurance_Company,0
Travelers_Casualty_Insurance_Company_of_America,0
Safeco,0
United_Specialty_Insurance_Co,0
Safeco_Ins_co_of_Illinois_Safeco,0
Scottsdale_Insurance_Company,0
BindRequest,0
