feature,importance
RoofingUpdate,0.3648489
PlumbingUpdate,0.19114827
WiringUpdate,0.13173382
Western_Surety_Company,0.08581577
FireSprinkler,0.03440143
SB,0.027427912
Security_National_Insurance_Company,0.025845472
PriorInsurance,0.012395497
PU,0.0112259025
Contractors_Bonding_and_Insurance_Company_RLI,0.008970403
Indemnity_Insurance_Company_of_North_America,0.008174551
United_States_Liability_Insurance_Group,0.0075564934
The_Hartford,0.0062476685
CNA_Insurance_Companies,0.004786807
ExpirationYear,0.0044344333
IsRenewal,0.004073814
Wesco_Insurance_Company,0.0021879
CBP,0.0020776019
RLI_Insurance_Company,0.001981926
NJ,0.0019694045
United_States_Liability_Insurance_Co,0.0018785822
ERQK,0.0018448089
Travelers,0.0015726772
Hiscox,0.0013795074
Zurich_Small_Business,0.0013756889
DO,0.0013552887
WC,0.0012892812
Aon_Insurance,0.001278918
PROP,0.0011778013
SE,0.0011240228
POP,0.0011105018
Philadelphia_Indemnity_Insurance_Company,0.0010688879
BinderExpectedFlag,0.001025884
The_Hanover_Insurance_Group_Inc,0.0009296936
United_Specialty_Insurance_Company,0.000929121
FO,0.00088581437
BOP,0.00087178056
GA,0.0008703981
EO,0.00086718315
Utica_First_Insurance_Company,0.0008510958
INM,0.0008478843
GL,0.0007838393
CA_1,0.0007467845
EffectiveYear,0.00072362693
IsAgencyBilled,0.00071360666
NV,0.0006983325
OTH,0.0006887366
Beazley_Insurance_Company_Inc,0.00067067513
Bankers_Insurance_Group,0.0006405482
ND,0.00063054974
CPKG,0.0006215803
TX,0.00058969023
Progressive_Insurance_Company,0.00058739417
Hanover_Insurance_Company,0.00056064717
ACE,0.00054888445
UT,0.0005438917
PA,0.0005379829
IN,0.00052784145
CPKG_AUTO,0.00052194827
CT,0.00051728624
OR,0.0005163502
Sentinel_Insurance_Company_Hartford,0.0005154499
ID,0.00051476556
Other_Carrier,0.00050730375
Couch_Braunsdorf,0.0005071012
Seneca_Specialty_Insurance_Co,0.0005056575
Century_Surety,0.00050283514
Pioneer,0.0004964158
