framework,metric,mean,std,ci95_low,ci95_high,boot_ci_low,boot_ci_high,n
CatBoost,f1_macro,0.5945387992197868,0.016019879847619937,0.5631398347184517,0.6259377637211219,0.5808793678201133,0.6073248294636798,5
CatBoost,accuracy,0.5958333333333334,0.016666666666666684,0.5631666666666667,0.6285000000000002,0.5825,0.6083333333333334,5
CatBoost,roc_auc_ovr,0.5906768013537509,0.03236220852993788,0.5272468726350726,0.6541067300724291,0.5663830095049608,0.6143204306320118,5
CatBoost,avg_precision_ovr,0.550221653119711,0.03815182190724601,0.47544408218150885,0.6249992240579132,0.5191141118751412,0.5806891630323899,5
XGBoost,f1_macro,0.5343004049991137,0.014898444710617036,0.5050994533663042,0.5635013566319231,0.5225308999943147,0.5460699100039129,5
XGBoost,accuracy,0.5391666666666667,0.01757918592477414,0.5047114622541093,0.573621871079224,0.525,0.5525,5
XGBoost,roc_auc_ovr,0.541232182208557,0.013085579821886923,0.5155844457576586,0.5668799186594553,0.5331074489582607,0.5530641102971918,5
XGBoost,avg_precision_ovr,0.5171591669143546,0.017358596438883094,0.48313631789414374,0.5511820159345655,0.5033712562235372,0.5302799075828034,5
H2O_AutoML,f1_macro,0.5302357152998926,0.05942066272871094,0.4137712163516191,0.6467002142481659,0.48045901711394906,0.5731616056081087,5
H2O_AutoML,accuracy,0.5470136612021859,0.04363902552540644,0.46148117117238924,0.6325461512319824,0.5128606557377049,0.5811666666666666,5
H2O_AutoML,roc_auc_ovr,0.5784667856533019,0.04271838447643854,0.49473875207948237,0.6621948192271214,0.5468436201636646,0.610089951142939,5
H2O_AutoML,avg_precision_ovr,0.5359515076847645,0.026518768103779698,0.4839747222013563,0.5879282931681727,0.5135818196177585,0.5554561732090926,5
FLAML,f1_macro,0.5695574195184695,0.0,0.5695574195184695,0.5695574195184695,0.5695574195184695,0.5695574195184695,1
FLAML,accuracy,0.5875,0.0,0.5875,0.5875,0.5875,0.5875,1
FLAML,roc_auc_ovr,0.5948714375304857,0.0,0.5948714375304857,0.5948714375304857,0.5948714375304857,0.5948714375304857,1
FLAML,avg_precision_ovr,0.5593210110690825,0.0,0.5593210110690825,0.5593210110690825,0.5593210110690825,0.5593210110690825,1
LightGBM,f1_macro,0.5126342108627139,0.015398501899340509,0.4824531471400065,0.5428152745854212,0.501110001902118,0.5241584198233097,5
LightGBM,accuracy,0.5166666666666666,0.01640418307085797,0.48451446784778496,0.5488188654855483,0.5033333333333333,0.5283333333333333,5
LightGBM,roc_auc_ovr,0.530538467523729,0.015988840515111354,0.49920034011411074,0.5618765949333473,0.5198881677141712,0.5444887148932503,5
LightGBM,avg_precision_ovr,0.4988471119268814,0.017091917230459892,0.46534695415518,0.5323472696985828,0.4852895178811766,0.5124047059725861,5
