framework,estimator,variant_key,variant_name,variant_description,metric,mean,std,n,delta_vs_baseline
feature_ablation_catboost_baseline,catboost,baseline,Baseline,"Median/most-frequent imputation, scaling enabled, no extra transforms.",fit_time_sec,0.11999484999978442,0.024098464207511067,5,0.0
feature_ablation_catboost_no_scaling,catboost,no_scaling,No Scaling,Disable numeric scaling to test robustness to raw feature magnitudes.,fit_time_sec,0.10898041660257148,0.00023516166692567523,5,
feature_ablation_catboost_poly2,catboost,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,fit_time_sec,0.10943561659660188,0.0005213992715859222,5,
feature_ablation_catboost_quantile_bins,catboost,quantile_bins,Quantile Binning,Discretize numeric features into quantile bins and one-hot encode.,fit_time_sec,0.1092966914031421,0.0003804205519984698,5,
feature_ablation_catboost_vif_filter,catboost,vif_filter,VIF Filter,Apply variance inflation factor filtering (threshold=8).,fit_time_sec,0.4017294336023042,0.0025810388020818787,5,
feature_ablation_lightgbm_baseline,lightgbm,baseline,Baseline,"Median/most-frequent imputation, scaling enabled, no extra transforms.",fit_time_sec,0.02281226680497634,0.0032203864815779997,5,0.0
feature_ablation_lightgbm_no_scaling,lightgbm,no_scaling,No Scaling,Disable numeric scaling to test robustness to raw feature magnitudes.,fit_time_sec,0.0215425167989451,0.0008279579649994685,5,
feature_ablation_lightgbm_poly2,lightgbm,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,fit_time_sec,0.02146610799536568,0.0003062637345946101,5,
feature_ablation_lightgbm_quantile_bins,lightgbm,quantile_bins,Quantile Binning,Discretize numeric features into quantile bins and one-hot encode.,fit_time_sec,0.02091464999830346,0.00047662861670414206,5,
feature_ablation_lightgbm_vif_filter,lightgbm,vif_filter,VIF Filter,Apply variance inflation factor filtering (threshold=8).,fit_time_sec,0.306329316800111,0.00097565454802069,5,
feature_ablation_xgboost_baseline,xgboost,baseline,Baseline,"Median/most-frequent imputation, scaling enabled, no extra transforms.",fit_time_sec,0.565087574798963,0.008821576589202105,5,0.0
feature_ablation_xgboost_no_scaling,xgboost,no_scaling,No Scaling,Disable numeric scaling to test robustness to raw feature magnitudes.,fit_time_sec,0.5624801168014528,0.006167959943592528,5,
feature_ablation_xgboost_poly2,xgboost,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,fit_time_sec,0.5653413581982022,0.005547617987765186,5,
feature_ablation_xgboost_quantile_bins,xgboost,quantile_bins,Quantile Binning,Discretize numeric features into quantile bins and one-hot encode.,fit_time_sec,0.5499972836027155,0.013760051608661457,5,
feature_ablation_xgboost_vif_filter,xgboost,vif_filter,VIF Filter,Apply variance inflation factor filtering (threshold=8).,fit_time_sec,0.8498055166011909,0.0036850831079485143,5,
feature_ablation_catboost_baseline,catboost,baseline,Baseline,"Median/most-frequent imputation, scaling enabled, no extra transforms.",mae,2.6011691233201097,0.2661636776547014,5,0.0
feature_ablation_catboost_no_scaling,catboost,no_scaling,No Scaling,Disable numeric scaling to test robustness to raw feature magnitudes.,mae,2.6011691233201097,0.2661636776547014,5,
feature_ablation_catboost_poly2,catboost,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,mae,2.6011691233201097,0.2661636776547014,5,
feature_ablation_catboost_quantile_bins,catboost,quantile_bins,Quantile Binning,Discretize numeric features into quantile bins and one-hot encode.,mae,2.6011691233201097,0.2661636776547014,5,
