framework,metric,mean,std,ci95_low,ci95_high,boot_ci_low,boot_ci_high,n
feature_ablation_xgboost_baseline,fit_time_sec,0.565087574798963,0.008821576589202105,0.5477972846841268,0.5823778649137992,0.5584969165996881,0.5716538331995252,5
feature_ablation_xgboost_baseline,predict_time_sec,0.007124291604850399,0.0006738671493408664,0.005803511992142301,0.008445071217558497,0.00681016680318858,0.00773181660333642,5
feature_ablation_xgboost_poly2,fit_time_sec,0.5653413581982022,0.005547617987765187,0.5544680269421824,0.5762146894542219,0.5603841745934914,0.5683391915954417,5
feature_ablation_xgboost_poly2,predict_time_sec,0.00781904999748798,0.0013186862856596803,0.005234424877595006,0.010403675117380953,0.0068503667978802,0.0088575497939018,5
feature_ablation_xgboost_quantile_bins,fit_time_sec,0.5499972836027155,0.013760051608661457,0.523027582449739,0.576966984755692,0.5374506584077607,0.5583869004040025,5
feature_ablation_xgboost_quantile_bins,predict_time_sec,0.007299424998927839,0.0010765359965837162,0.005189414445623756,0.009409435552231924,0.0067727834015386,0.008272349997423559,5
feature_ablation_xgboost_no_scaling,fit_time_sec,0.5624801168014528,0.006167959943592527,0.5503909153120115,0.5745693182908942,0.5579324844531219,0.5674423338001361,5
feature_ablation_xgboost_no_scaling,predict_time_sec,0.007721166798728481,0.0013637794182370393,0.005048159138983883,0.010394174458473078,0.006716816796688339,0.00876907499914518,5
feature_ablation_lightgbm_no_scaling,fit_time_sec,0.0215425167989451,0.0008279579649994686,0.01991971918754614,0.023165314410344057,0.02106444159871896,0.02228738359990526,5
feature_ablation_lightgbm_no_scaling,predict_time_sec,0.00159767519799056,0.00012634613644909077,0.001350036770550342,0.0018453136254307778,0.00150618339830538,0.0016970004042377398,5
H2O_AutoML,f1_macro,0.0,0.0,0.0,0.0,0.0,0.0,1
H2O_AutoML,accuracy,0.0,0.0,0.0,0.0,0.0,0.0,1
H2O_AutoML,roc_auc_ovr,0.9375,0.0,0.9375,0.9375,0.9375,0.9375,1
H2O_AutoML,avg_precision_ovr,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1
feature_ablation_catboost_vif_filter,fit_time_sec,0.4017294336023042,0.0025810388020818787,0.3966705975502237,0.40678826965438464,0.3997612838022178,0.4040055336023215,5
feature_ablation_catboost_vif_filter,predict_time_sec,0.00318319979996882,0.0011562112136509607,0.0009170258212129372,0.005449373778724703,0.0024002830003155,0.004209769938970518,5
feature_ablation_lightgbm_poly2,fit_time_sec,0.02146610799536568,0.0003062637345946101,0.020865831075560243,0.022066384915171117,0.02124114035912493,0.0217315327958203,5
feature_ablation_lightgbm_poly2,predict_time_sec,0.0015530250006122,4.286674271562697e-05,0.001469006184889571,0.0016370438163348289,0.00151750000368334,0.00158919999958012,5
boosting_suite_xgboost_baseline,fit_time_sec,0.5644659792014863,0.0058495705857275595,0.5530008208534604,0.5759311375495123,0.5611266825865096,0.5679988535021039,10
boosting_suite_xgboost_baseline,predict_time_sec,0.007667883399699279,0.0011230498801103846,0.005466705634682925,0.009869061164715634,0.0070741507973797685,0.008342573456466135,10
boosting_suite_lightgbm_baseline,fit_time_sec,0.021567783196223843,0.0010208720303706434,0.01956687401669738,0.023568692375750305,0.021178030697192252,0.022297160496018424,10
boosting_suite_lightgbm_baseline,predict_time_sec,0.0016082667018053598,8.40835372672904e-05,0.0014434629687614707,0.001773070434849249,0.0015626520595832878,0.0016619961629111865,10
feature_ablation_catboost_poly2,fit_time_sec,0.10943561659660188,0.0005213992715859222,0.10841367402429347,0.11045755916891029,0.10902738095996026,0.10989774159679651,5
feature_ablation_catboost_poly2,predict_time_sec,0.012162458195234583,0.020843356525357914,-0.028690520594466928,0.05301543698493609,0.00214644159132142,0.03061176450552005,5
feature_ablation_lightgbm_quantile_bins,fit_time_sec,0.02091464999830346,0.0004766286167041421,0.01998045790956334,0.02184884208704358,0.02054450819559856,0.02130245020089202,5
feature_ablation_lightgbm_quantile_bins,predict_time_sec,0.0015210329933324402,7.236740107613597e-05,0.0013791928872232137,0.0016628730994416667,0.00145761619205584,0.0015726081910542801,5
boosting_suite_catboost_baseline,fit_time_sec,0.11683884990052318,0.02284271951676312,0.07206711964766746,0.1616105801533789,0.10937356358106622,0.13138699629442271,10
boosting_suite_catboost_baseline,predict_time_sec,0.00246983340039145,0.00038384581822938085,0.0017174955966618635,0.0032221712041210363,0.002272777837788388,0.002728092559955213,10
feature_ablation_lightgbm_baseline,fit_time_sec,0.02281226680497634,0.0032203864815779997,0.01650030930108346,0.02912422430886922,0.0212658167991321,0.025719316807226222,5
feature_ablation_lightgbm_baseline,predict_time_sec,0.00166725839953866,0.00015425863025342071,0.0013649114842419555,0.0019696053148353645,0.001555452229731563,0.00177890020422634,5
feature_ablation_catboost_quantile_bins,fit_time_sec,0.1092966914031421,0.0003804205519984698,0.1085510671212251,0.11004231568505911,0.10900278319895729,0.10961435800418251,5
feature_ablation_catboost_quantile_bins,predict_time_sec,0.003489199996693,0.0017512749280144838,5.670113778461199e-05,0.006921698855601388,0.0022268583968979598,0.00493755819916254,5
feature_ablation_xgboost_vif_filter,fit_time_sec,0.8498055166011909,0.0036850831079485143,0.8425827537096118,0.8570282794927699,0.846603158407379,0.8519909163936973,5
feature_ablation_xgboost_vif_filter,predict_time_sec,0.00786849160504056,0.0013629487054445484,0.005197112142369245,0.010539871067711874,0.0068678832089062196,0.008894558003521461,5
feature_ablation_catboost_baseline,fit_time_sec,0.11999484999978442,0.024098464207511067,0.07276186015306274,0.1672278398465061,0.10905274999968236,0.1415793586056679,5
feature_ablation_catboost_baseline,predict_time_sec,0.0024575751944211598,0.0004231381880762156,0.0016282243457917773,0.003286926043050542,0.00222156679083122,0.0028338667994829998,5
