feature,importance
date_2023-05-24,3.2076272740915215
date_2023-02-01,3.075240416495935
date_2023-02-04,2.854827797467151
date_2023-01-19,2.851016200065156
date_2023-06-27,2.850983350871748
date_2023-01-01,2.782474428031471
date_2023-01-30,2.622078598012593
date_2023-01-26,2.3789333097293874
date_2023-01-29,2.33424769405277
date_2023-02-02,2.261144481884091
date_2023-01-24,2.160307434085536
date_2023-05-20,2.039778060700042
date_2023-05-27,1.991093780746391
date_2023-05-23,1.9597132307442406
date_2023-01-31,1.891142528055337
date_2023-05-26,1.8592646674603477
date_2023-06-01,1.8450832096527143
date_2023-01-05,1.8275468699502564
date_2023-02-06,1.795855119827209
date_2023-05-18,1.777167488753779
date_2023-05-30,1.6570603615880328
date_2023-06-24,1.6417760153672931
date_2023-05-17,1.5768375762466773
date_2023-01-02,1.516582346299587
date_2023-06-04,1.4824432810587125
date_2023-01-12,1.395852144362332
date_2023-01-04,1.33615745006997
date_2023-06-02,1.3358838761267595
date_2023-06-23,1.334517514097903
date_2023-06-28,1.3130842187553462
date_2023-04-10,1.307811166482539
date_2023-02-08,1.304761893704437
date_2023-01-25,1.3043668925525496
date_2023-01-28,1.2624495409448568
date_2023-04-09,1.2594784802864059
date_2023-06-25,1.240176514653521
date_2023-02-09,1.2066606372201312
date_2023-05-15,1.166010991560968
date_2023-06-22,1.1550282636368658
date_2023-01-11,1.1523122752317168
date_2023-02-03,1.1302407492824296
date_2023-01-08,1.1230803986363556
date_2023-03-14,1.114860112072198
date_2023-03-15,1.0968350113115395
date_2023-05-22,1.0905589997271175
date_2023-05-28,1.0184144482288786
date_2023-01-03,0.8807569140117084
date_2023-06-08,0.8580729174619697
date_2023-04-06,0.8331065506629426
date_2023-02-05,0.797530219460438
date_2023-03-23,0.7931828199164391
date_2023-02-12,0.7925499139353654
date_2023-04-12,0.736880974400185
date_2023-06-15,0.7267288586378633
date_2023-06-03,0.7102221269713662
date_2023-04-14,0.6848888354667169
date_2023-06-14,0.6743315262100648
date_2023-06-17,0.6510038882546391
date_2023-02-07,0.5987503730645481
date_2023-01-22,0.5906239708114384
date_2023-06-20,0.5203446452530176
date_2023-02-16,0.5095932965037486
date_2023-03-17,0.4984471343627686
date_2023-05-29,0.4854699612687455
date_2023-03-18,0.4818074623169581
date_2023-02-15,0.4614944153266856
date_2023-05-13,0.4265468894983575
date_2023-01-13,0.42181261821695243
date_2023-01-10,0.4123832107064459
date_2023-02-14,0.4040299477477781
date_2023-06-12,0.36903067862281436
date_2023-02-10,0.33591801374535263
date_2023-04-15,0.3048748357481002
date_2023-05-31,0.2923852736041559
date_2023-03-21,0.2879430895292208
date_2023-03-20,0.24474456324885827
date_2023-03-08,0.23842516034330807
date_2023-03-26,0.23137484179626586
date_2023-06-21,0.2172807533761385
date_2023-04-08,0.21719539092404358
date_2023-06-18,0.19869129387839152
date_2023-03-22,0.18429067416362485
date_2023-03-24,0.1836991548737706
date_2023-05-14,0.177702242264957
date_2023-06-05,0.16404468979469483
date_2023-05-11,0.1570267430026675
date_2023-04-19,0.149134991457777
date_2023-04-16,0.14563625276208295
date_2023-01-18,0.13777106227037197
date_2023-06-09,0.12956879394379162
date_2023-05-03,0.11547514109799056
date_2023-02-25,0.1018332600758715
date_2023-04-22,0.08539439528788759
date_2023-04-04,0.08320911299103333
date_2023-03-13,0.07678688962592954
date_2023-05-07,0.053730362392637995
date_2023-05-05,0.05243271620718074
date_2023-01-15,0.05134356105400398
date_2023-02-20,0.02098336621226099
date_2023-04-17,0.01509341963527414
date_2023-04-13,0.012779084321537276
date_2023-04-29,0.012140712532231186
date_2023-03-30,0.010529168718349352
date_2023-03-04,0.0105139400887967
date_2023-03-02,0.009946045928904901
date_2023-06-07,0.007621467926695466
date_2023-01-07,0.007601368356444374
date_2023-05-09,0.007318519632782474
date_2023-03-10,0.006727552606117168
date_2023-04-07,0.006175727152261036
date_2023-06-13,0.005949392987591439
date_2023-03-12,0.005096716746943301
date_2023-04-03,0.00360928010627461
date_2023-06-11,0.003336776525684259
date_2023-06-10,0.0032376027323649274
date_2023-03-06,0.00302439731996475
date_2023-03-01,0.0027673311491614883
date_2023-04-23,0.0026515651596565586
date_2023-03-05,0.0022759731214599573
date_2023-04-18,0.0019979445809087774
date_2023-02-23,0.0017484384245555742
date_2023-04-27,0.0013976956284724288
date_2023-05-08,0.0013395760093403185
date_2023-04-24,0.0011767089313388537
date_2023-04-25,0.0011359864339906078
date_2023-01-20,0.0010642061989810708
date_2023-02-27,0.0008996272350945332
date_2023-02-21,0.0008265641299551495
date_2023-05-02,0.0006915741196145838
date_2023-02-17,0.0005928793498976835
date_2023-02-26,0.00044852109376576063
date_2023-05-10,0.0004073025595599948
date_2023-03-07,0.0003364045939540989
date_2023-04-20,0.00016167040213125764
date_2023-02-28,0.00012498261485620067
date_2023-04-26,0.0
date_2023-02-24,0.0
date_2023-02-22,0.0
date_2023-04-28,0.0
date_2023-03-28,0.0
date_2023-03-27,0.0
date_2023-02-19,0.0
date_2023-03-03,0.0
date_2023-04-01,0.0
