feature,importance
date_2023-06-29,0.021642849
date_2023-05-24,0.019908004
date_2023-02-01,0.01990425
date_2023-06-27,0.019815072
date_2023-01-19,0.019018726
date_2023-02-04,0.01859518
date_2023-01-30,0.017492402
date_2023-01-26,0.017431673
date_2023-01-29,0.017389026
date_2023-02-02,0.017256683
date_2023-05-19,0.015732823
date_2023-01-24,0.015610323
date_2023-01-31,0.015233944
date_2023-05-20,0.015173353
date_2023-02-06,0.014962769
date_2023-05-21,0.014888357
date_2023-05-25,0.014883181
date_2023-05-30,0.014405384
date_2023-06-26,0.014322743
date_2023-05-17,0.013792102
date_2023-06-24,0.0135649545
date_2023-01-02,0.013427779
date_2023-06-04,0.0131449085
date_2023-06-23,0.012516964
date_2023-01-12,0.0123940045
date_2023-01-04,0.012317258
date_2023-06-02,0.012248022
date_2023-04-10,0.012102705
date_2023-06-28,0.01204214
date_2023-01-25,0.011879479
date_2023-01-27,0.011620892
date_2023-01-28,0.0115155615
date_2023-06-25,0.011419759
date_2023-05-15,0.011268767
date_2023-02-03,0.011162984
date_2023-01-08,0.011110064
date_2023-01-11,0.011031017
date_2023-06-22,0.010968554
date_2023-05-22,0.010910251
date_2023-03-15,0.010850612
date_2023-01-03,0.009683276
date_2023-04-06,0.009423024
date_2023-02-05,0.009418323
date_2023-06-08,0.0093822535
date_2023-05-16,0.009302641
date_2023-03-23,0.009145833
date_2023-03-16,0.00885159
date_2023-01-21,0.008778413
date_2023-04-12,0.008634075
date_2023-04-14,0.008584031
date_2023-06-15,0.008489312
date_2023-06-03,0.008481032
date_2023-06-17,0.008234705
date_2023-02-07,0.008164119
date_2023-06-14,0.008134734
date_2023-04-02,0.008129668
date_2023-01-22,0.007865882
date_2023-02-16,0.007599733
date_2023-06-20,0.0073584113
date_2023-03-18,0.007262825
date_2023-02-15,0.0072566657
date_2023-05-29,0.0071940515
date_2023-02-14,0.006903235
date_2023-03-25,0.00680774
date_2023-06-06,0.0067715063
date_2023-05-13,0.0067182984
date_2023-01-23,0.006644005
date_2023-02-11,0.0065203924
date_2023-02-10,0.0064755087
date_2023-04-11,0.0063562864
date_2023-06-12,0.00621473
date_2023-05-31,0.005852849
date_2023-01-17,0.0057868543
date_2023-03-08,0.005668711
date_2023-04-08,0.0055364845
date_2023-03-26,0.0055321497
date_2023-03-20,0.005524669
date_2023-05-12,0.005436088
date_2023-05-14,0.005297753
date_2023-06-21,0.005233968
date_2023-02-13,0.0052303094
date_2023-05-04,0.0051990007
date_2023-01-18,0.0050606225
date_2023-06-05,0.0050031594
date_2023-05-11,0.0047852225
date_2023-04-16,0.0047164285
date_2023-03-11,0.0046722707
date_2023-01-16,0.0045889644
date_2023-05-05,0.0045536365
date_2023-01-15,0.004553533
date_2023-04-19,0.0045216
date_2023-02-25,0.0045133308
date_2023-01-06,0.0044437135
date_2023-04-04,0.004400824
date_2023-03-13,0.0043751434
date_2023-06-09,0.0043510944
date_2023-06-19,0.0042848745
date_2023-01-09,0.004210933
date_2023-04-22,0.0041747
date_2023-05-07,0.0040151346
date_2023-02-20,0.003810415
date_2023-04-21,0.0037594675
date_2023-03-30,0.0036585177
date_2023-04-29,0.0036321722
date_2023-02-22,0.0035965017
date_2023-03-12,0.0035525826
date_2023-01-07,0.0034456553
date_2023-04-07,0.0033976093
date_2023-05-09,0.0033410627
date_2023-03-02,0.0032957227
date_2023-03-19,0.003244423
date_2023-01-20,0.0
date_2023-06-10,0.0
date_2023-06-11,0.0
date_2023-06-13,0.0
date_2023-06-16,0.0
date_2023-02-17,0.0
date_2023-03-09,0.0
date_2023-02-18,0.0
date_2023-02-19,0.0
date_2023-03-06,0.0
date_2023-03-05,0.0
date_2023-03-27,0.0
date_2023-03-29,0.0
date_2023-03-31,0.0
date_2023-04-03,0.0
date_2023-04-05,0.0
date_2023-03-01,0.0
date_2023-02-28,0.0
date_2023-02-26,0.0
date_2023-02-24,0.0
date_2023-04-18,0.0
date_2023-04-20,0.0
date_2023-04-23,0.0
date_2023-04-27,0.0
date_2023-04-28,0.0
date_2023-04-30,0.0
date_2023-05-01,0.0
date_2023-05-02,0.0
date_2023-05-06,0.0
date_2023-02-23,0.0
date_2023-01-14,0.0
date_2023-02-21,0.0
date_2023-05-08,0.0
