feature,importance
date_2023-06-29,3.3698069648339533
date_2023-02-01,3.1174507619584437
date_2023-05-24,3.1136505009846465
date_2023-01-19,2.912839426065054
date_2023-01-01,2.8229488623969727
date_2023-06-27,2.8075430642219774
date_2023-01-30,2.703352156701908
date_2023-01-26,2.4302502285113343
date_2023-01-29,2.3968866243925553
date_2023-02-02,2.3096492854434865
date_2023-01-24,2.21472368895645
date_2023-05-20,1.9881720982819253
date_2023-05-19,1.9572192799471557
date_2023-01-31,1.94353341857793
date_2023-05-21,1.9212768870281172
date_2023-05-23,1.9187322166334897
date_2023-05-27,1.9095618389174842
date_2023-01-05,1.8579961050133775
date_2023-02-06,1.8173569529169529
date_2023-05-25,1.814833588902417
date_2023-05-26,1.8082343043515536
date_2023-06-01,1.7781420897539928
date_2023-05-18,1.7322444976477174
date_2023-06-26,1.634541665086069
date_2023-05-30,1.6304904631623716
date_2023-06-24,1.577866183446487
date_2023-01-02,1.5511702262584577
date_2023-05-17,1.5454414477710214
date_2023-01-12,1.426865068411527
date_2023-02-08,1.345478314390139
date_2023-01-25,1.340843857433648
date_2023-06-02,1.2922697604674334
date_2023-04-10,1.285579429014889
date_2023-06-23,1.2840142579949858
date_2023-01-28,1.2798219268378315
date_2023-01-27,1.2493595039292418
date_2023-02-09,1.2436567694857608
date_2023-04-09,1.221974141282287
date_2023-06-25,1.1966649579157786
date_2023-01-11,1.1565315780066134
date_2023-05-15,1.1349008039348631
date_2023-06-22,1.1186909588595342
date_2023-05-28,0.9958903500137772
date_2023-01-03,0.9076502359035556
date_2023-03-23,0.8219048797249656
date_2023-04-06,0.8180526493977253
date_2023-02-12,0.8108712970254272
date_2023-03-16,0.7408754663655877
date_2023-01-21,0.7245660354814939
date_2023-04-12,0.7235714903121697
date_2023-06-15,0.7158674834162996
date_2023-06-03,0.6909713988023183
date_2023-04-14,0.6525174879352604
date_2023-06-14,0.6369098457415427
date_2023-02-07,0.6346894262530853
date_2023-01-22,0.6082263261826398
date_2023-03-17,0.5285948545869873
date_2023-02-16,0.5216156868534285
date_2023-06-20,0.5062399908839644
date_2023-03-18,0.49413301904993495
date_2023-02-15,0.47984692587836686
date_2023-05-29,0.47192218542363235
date_2023-01-13,0.44667534346358123
date_2023-01-10,0.44086529667132457
date_2023-02-14,0.4339438489771212
date_2023-01-23,0.41994174814681295
date_2023-05-13,0.4127705370091514
date_2023-06-06,0.4020058711407671
date_2023-02-11,0.37453695321897
date_2023-02-10,0.35877329831062654
date_2023-04-11,0.3491807319302293
date_2023-03-21,0.30607426300541524
date_2023-04-15,0.2877515869934945
date_2023-01-17,0.2865552547990662
date_2023-05-31,0.2791544050734224
date_2023-03-08,0.26842072111038007
date_2023-03-20,0.2566545443680397
date_2023-03-26,0.24924850679901123
date_2023-03-24,0.208571656959801
date_2023-06-21,0.20635023464181812
date_2023-05-04,0.19812478599111125
date_2023-04-08,0.19697537346900126
date_2023-06-18,0.17744621817752518
date_2023-05-14,0.17019708410529188
date_2023-06-05,0.15232473087316498
date_2023-04-19,0.1445380463355137
date_2023-05-11,0.14448753249611385
date_2023-01-16,0.14415798206224015
date_2023-03-11,0.1329262407485721
date_2023-06-09,0.11777493030035922
date_2023-03-13,0.09613135318777737
date_2023-02-25,0.09315876787839768
date_2023-01-15,0.07158682810154628
date_2023-05-05,0.06968568960220173
date_2023-04-22,0.0696304935287889
date_2023-04-04,0.06889542634978453
date_2023-06-19,0.06884378497591029
date_2023-05-07,0.04119977005291859
date_2023-02-20,0.024076654848634825
date_2023-04-29,0.022174608235271814
date_2023-06-16,0.018936702130751295
date_2023-05-09,0.01631774760160699
date_2023-04-07,0.014405393792921356
date_2023-01-07,0.013435331932434178
date_2023-02-18,0.013044130352568125
date_2023-06-07,0.011485897926301414
date_2023-03-12,0.00954075673516281
date_2023-04-13,0.009476950309671264
date_2023-03-06,0.008984174902632333
date_2023-04-26,0.006956960118988271
date_2023-04-05,0.005723343685869131
date_2023-03-05,0.0055781957359776375
date_2023-03-30,0.005233348059129511
date_2023-05-08,0.0038385062622500157
date_2023-03-28,0.0036628515399937346
date_2023-04-03,0.0023972819991588097
date_2023-04-25,0.002233981604713433
date_2023-01-20,0.001797819442079834
date_2023-03-07,0.001443977784296314
date_2023-03-09,0.0011672170750242335
date_2023-04-24,0.001007183975462168
date_2023-05-10,0.00073662830818657
date_2023-02-27,0.0006117182891102762
date_2023-04-20,0.0005292557975731549
date_2023-02-26,0.00039303244020285976
date_2023-02-17,0.0003068580443602047
date_2023-02-21,0.00029921841788374716
date_2023-04-18,0.0002801777760607114
date_2023-03-29,0.00024109310834416855
date_2023-05-01,0.00017959175377032396
date_2023-04-28,0.00013905974454862251
date_2023-04-01,0.0001300647072722353
date_2023-06-11,0.00010136564341439878
date_2023-03-27,7.685398333426917e-05
date_2023-02-24,1.303371985285903e-05
date_2023-03-02,0.0
date_2023-04-27,0.0
date_2023-02-22,0.0
date_2023-04-23,0.0
date_2023-03-10,0.0
date_2023-04-17,0.0
date_2023-05-02,0.0
date_2023-05-06,0.0
date_2023-02-28,0.0
