feature,importance
date_2023-06-29,3.499999538474742
date_2023-05-24,3.235057043004167
date_2023-02-04,2.9759494084144524
date_2023-01-19,2.962807979765979
date_2023-01-01,2.9117523091389015
date_2023-06-27,2.896523985087218
date_2023-01-30,2.743490643733185
date_2023-01-26,2.459396944589884
date_2023-01-29,2.4385661940392906
date_2023-02-02,2.366603767840763
date_2023-01-24,2.271781428969428
date_2023-05-20,2.094929176501673
date_2023-05-19,2.0306083362660163
date_2023-05-23,1.9946768177706424
date_2023-05-21,1.9843583619173326
date_2023-01-31,1.9769563820708425
date_2023-01-05,1.9232262183720221
date_2023-05-26,1.9039733064812645
date_2023-06-01,1.8854901534702306
date_2023-05-25,1.8826513222068144
date_2023-05-18,1.8326847382002869
date_2023-05-30,1.6969530475012946
date_2023-06-24,1.6676829450281285
date_2023-05-17,1.6158033565907717
date_2023-01-02,1.599021152540214
date_2023-06-04,1.5356430547573237
date_2023-01-04,1.4203422297259416
date_2023-01-25,1.382909418773058
date_2023-04-10,1.3632891586965221
date_2023-06-28,1.3630786095758032
date_2023-06-23,1.360206829972827
date_2023-01-28,1.3275538966251499
date_2023-02-09,1.2898042121398898
date_2023-06-25,1.269694796528765
date_2023-01-08,1.2185787770689454
date_2023-01-11,1.2143503841098398
date_2023-06-22,1.203967703490508
date_2023-05-15,1.196435633578765
date_2023-02-03,1.1810038552909798
date_2023-03-14,1.1609070926389073
date_2023-03-15,1.1412244641703377
date_2023-05-22,1.120122799057348
date_2023-05-16,0.9032569324250299
date_2023-06-08,0.8961390165650566
date_2023-04-06,0.8643224610312276
date_2023-02-05,0.8522652352481221
date_2023-03-23,0.8412161556367131
date_2023-02-12,0.835744041801838
date_2023-06-15,0.7775561949240802
date_2023-04-12,0.7767101920544532
date_2023-03-16,0.7521922991741731
date_2023-01-21,0.7487419051659187
date_2023-06-03,0.733435353085405
date_2023-04-14,0.700517415337517
date_2023-06-17,0.6697687625495576
date_2023-04-02,0.6668203431026791
date_2023-02-07,0.6468971457972988
date_2023-01-22,0.6213495422962355
date_2023-06-20,0.5474693553265596
date_2023-05-29,0.5163872325180423
date_2023-02-15,0.5000572761380583
date_2023-01-10,0.45025829607871987
date_2023-03-25,0.44379915330542175
date_2023-02-14,0.44261538523525135
date_2023-06-12,0.38470490650572153
date_2023-02-10,0.3595660516735399
date_2023-05-31,0.3153047457134345
date_2023-03-21,0.30553330998805867
date_2023-01-17,0.29994075464036596
date_2023-05-12,0.26796174112120075
date_2023-03-08,0.2664084549835597
date_2023-03-20,0.26254626498421635
date_2023-03-26,0.25945463845146266
date_2023-04-08,0.2319061248315982
date_2023-06-18,0.21482583234190403
date_2023-05-04,0.1983558691208289
date_2023-03-22,0.1976623439210545
date_2023-05-14,0.19584481077071966
date_2023-02-13,0.1832398425999333
date_2023-04-19,0.17345119576890905
date_2023-05-11,0.17176780042614362
date_2023-04-16,0.16849369428796412
date_2023-01-18,0.16416454570199973
date_2023-06-09,0.1478648896428999
date_2023-01-16,0.14246456886661732
date_2023-05-03,0.1341613080426126
date_2023-01-06,0.13017955702184625
date_2023-03-11,0.13008487827595402
date_2023-02-25,0.12462997677944275
date_2023-03-13,0.09678455230663001
date_2023-04-04,0.09636774446037837
date_2023-01-09,0.08414395482890415
date_2023-05-07,0.07293447651709564
date_2023-01-15,0.06949432659493829
date_2023-02-20,0.02861459872120126
date_2023-03-12,0.027618728039327124
date_2023-04-21,0.027153833433994832
date_2023-03-30,0.023393046758918172
date_2023-04-07,0.022821958009469463
date_2023-04-29,0.022561577064674664
date_2023-04-17,0.02138082773282668
date_2023-05-09,0.020020613130432564
date_2023-06-07,0.019436965802045555
date_2023-03-02,0.018388098319088827
date_2023-06-13,0.016997558731552714
date_2023-04-13,0.016281954016710364
date_2023-06-16,0.015833217246858725
date_2023-03-03,0.009101286196157687
date_2023-03-19,0.009043812181995492
date_2023-03-01,0.008443551443483327
date_2023-02-23,0.007909072265673112
date_2023-02-19,0.005222908596019918
date_2023-04-03,0.005015849001197393
date_2023-02-18,0.0043241016138138135
date_2023-03-31,0.004264783541726907
date_2023-03-04,0.004113965241211704
date_2023-05-06,0.0032885323430319863
date_2023-04-18,0.002929948549003381
date_2023-05-08,0.002728862012560104
date_2023-04-05,0.0023352933201899943
date_2023-04-30,0.0020714641664675753
date_2023-01-20,0.0017158157490626276
date_2023-04-23,0.0017129633085177557
date_2023-04-24,0.0015667532566282633
date_2023-05-02,0.001508925781006845
date_2023-03-28,0.0011217806136312868
date_2023-03-05,0.0007599448982436895
date_2023-02-21,0.0007515564416255939
date_2023-01-14,0.0007241086303629535
date_2023-03-29,0.0005540768286725217
date_2023-04-27,0.0004087429608514359
date_2023-02-26,3.8808946875887876e-05
date_2023-02-17,1.9784961136027767e-05
date_2023-02-22,0.0
date_2023-02-24,0.0
date_2023-05-10,0.0
date_2023-02-27,0.0
date_2023-02-28,0.0
date_2023-03-06,0.0
date_2023-06-10,0.0
date_2023-04-20,0.0
date_2023-04-25,0.0
date_2023-05-01,0.0
date_2023-03-10,0.0
