feature,importance
date_2023-06-29,3.7515060617766416
date_2023-02-01,3.6757875022676947
date_2023-05-24,3.4562777496369814
date_2023-02-04,3.4257401622145873
date_2023-01-19,3.367462315315705
date_2023-01-30,3.1656143565656083
date_2023-06-27,3.1121373231145206
date_2023-01-31,2.325066467502867
date_2023-02-06,2.1553442069659066
date_2023-05-27,2.126831310070524
date_2023-05-23,2.1148669549273094
date_2023-05-21,2.083088398225792
date_2023-05-26,2.0162558644429183
date_2023-06-01,1.991502569035372
date_2023-01-02,1.8676150663460618
date_2023-06-26,1.8001702562099178
date_2023-05-30,1.7976814036378126
date_2023-06-24,1.7539796024147447
date_2023-01-12,1.688665304023908
date_2023-06-04,1.6151799841952699
date_2023-01-04,1.6149472076175657
date_2023-01-25,1.5975917426221267
date_2023-02-08,1.596144934420207
date_2023-01-27,1.4914975327444624
date_2023-06-28,1.4334560697750476
date_2023-06-23,1.4332180859990407
date_2023-06-02,1.4244923357522394
date_2023-04-10,1.4114016575301163
date_2023-01-08,1.400955559979917
date_2023-02-03,1.3830336658575355
date_2023-03-14,1.3591699362854321
date_2023-04-09,1.3418027342881154
date_2023-03-15,1.3277287772728716
date_2023-05-15,1.2421919219033801
date_2023-06-22,1.2410767937998353
date_2023-05-22,1.1666054268523285
date_2023-01-03,1.1180564105600166
date_2023-05-28,1.080430818788749
date_2023-02-05,1.0060030523699794
date_2023-02-12,0.980303560400861
date_2023-06-08,0.9295949306833903
date_2023-05-16,0.9217420499517929
date_2023-01-21,0.9023871028993613
date_2023-03-16,0.8996625168400307
date_2023-06-15,0.804921422743346
date_2023-02-07,0.7792131678978866
date_2023-01-22,0.7654804502291155
date_2023-06-03,0.756878513510037
date_2023-04-14,0.7394931615058492
date_2023-06-14,0.7190560784071471
date_2023-04-02,0.7068297509033441
date_2023-06-17,0.6998622041023073
date_2023-02-16,0.6636640394336978
date_2023-03-17,0.6563317806388886
date_2023-03-18,0.6267016086456696
date_2023-02-15,0.6223996271347396
date_2023-06-20,0.5675015506049007
date_2023-03-25,0.5630076252475708
date_2023-01-10,0.5598309726393982
date_2023-01-13,0.5596877849012207
date_2023-01-23,0.5445359381723742
date_2023-05-29,0.5257831840699616
date_2023-02-11,0.49714211439498385
date_2023-05-13,0.4798767526161917
date_2023-06-06,0.43945233160376496
date_2023-04-11,0.38956427749810324
date_2023-01-17,0.38863960792926827
date_2023-06-12,0.37942724599301986
date_2023-03-20,0.3502235192874283
date_2023-03-08,0.3484615225182782
date_2023-04-15,0.33019283387395526
date_2023-05-31,0.32180081513670217
date_2023-03-24,0.2868864083982621
date_2023-03-22,0.2746470436284954
date_2023-05-12,0.26687106842165587
date_2023-02-13,0.2615063920282823
date_2023-01-18,0.237836906686462
date_2023-06-21,0.2363363628686994
date_2023-04-08,0.22984541115682977
date_2023-01-16,0.2124286389883994
date_2023-05-03,0.2050198528245819
date_2023-01-06,0.20229868965358822
date_2023-03-11,0.1981476655804997
date_2023-06-05,0.1680294329525724
date_2023-05-11,0.16198127532105297
date_2023-03-13,0.1563243378032088
date_2023-04-16,0.15314449563093818
date_2023-01-09,0.14411161075963036
date_2023-06-09,0.13724781752979043
date_2023-05-05,0.1268015884367538
date_2023-01-15,0.12455008142182224
date_2023-02-25,0.11192842046673636
date_2023-04-22,0.08800194253201188
date_2023-06-19,0.08765567418681319
date_2023-04-04,0.086523109578336
date_2023-02-20,0.08197013877273969
date_2023-04-29,0.07548944141121078
date_2023-05-07,0.0498449785029235
date_2023-02-22,0.04805638357931568
date_2023-01-07,0.028908884192402815
date_2023-04-07,0.01862090734574536
date_2023-03-19,0.016532422104639868
date_2023-03-02,0.016116038190167135
date_2023-03-03,0.014411223241995447
date_2023-03-30,0.012954447415280753
date_2023-05-02,0.010929087501134334
date_2023-04-21,0.00989279501175394
date_2023-04-13,0.009574152979024213
date_2023-04-26,0.006819393495256253
date_2023-03-09,0.006268510490441514
date_2023-04-03,0.0062297978141117195
date_2023-03-31,0.006043841981958522
date_2023-02-23,0.0057910119735254
date_2023-06-07,0.004874808600709637
date_2023-03-05,0.0044093868402155225
date_2023-06-10,0.003463584360373228
date_2023-02-19,0.0034250640715931457
date_2023-04-17,0.0034018068757965987
date_2023-01-14,0.0030048537282930826
date_2023-05-06,0.0024128797954140464
date_2023-04-24,0.0022457872046102913
date_2023-01-20,0.0016753941764570805
date_2023-02-27,0.001450033865954088
date_2023-03-01,0.0014009962001490562
date_2023-04-30,0.0013741132971709304
date_2023-04-01,0.0008420932008646138
date_2023-02-21,0.0008332327652947718
date_2023-03-27,0.0007850744142905163
date_2023-04-18,0.0006463901640215452
date_2023-04-28,0.0005990931296930778
date_2023-04-20,0.0002134695638221657
date_2023-04-27,8.336610170305253e-05
date_2023-05-10,2.126095767093601e-05
date_2023-03-07,1.9319658905963268e-05
date_2023-02-24,1.0496973219232756e-05
date_2023-03-29,2.2454710971412262e-06
date_2023-02-18,0.0
date_2023-02-26,0.0
date_2023-05-01,0.0
date_2023-02-28,0.0
date_2023-06-13,0.0
date_2023-03-04,0.0
date_2023-06-11,0.0
date_2023-03-10,0.0
