feature,importance
date_2023-05-24,3.485098511273672
date_2023-02-01,2.9120913033977254
date_2023-02-04,2.7005922731844323
date_2023-01-19,2.6794967505412552
date_2023-01-01,2.6596054386896553
date_2023-01-30,2.5136645681774192
date_2023-05-20,2.3014863914684063
date_2023-01-26,2.237883462189939
date_2023-05-19,2.235425719124886
date_2023-01-29,2.199441462843307
date_2023-05-23,2.1872358889946475
date_2023-05-27,2.186974673622875
date_2023-05-21,2.167531180030674
date_2023-02-02,2.109422424233851
date_2023-05-26,2.0921374410828495
date_2023-05-25,2.089157645442707
date_2023-01-24,2.0301293910310503
date_2023-05-18,1.9960958718974744
date_2023-06-26,1.8633375781849562
date_2023-05-17,1.8075845345038355
date_2023-01-31,1.7737049049260494
date_2023-01-05,1.7031754235295082
date_2023-06-04,1.689414305082133
date_2023-02-06,1.6547937565577708
date_2023-06-02,1.532224779993508
date_2023-06-28,1.514925802160861
date_2023-06-23,1.5141744467458471
date_2023-04-09,1.4392443598622418
date_2023-06-25,1.4134341631170333
date_2023-06-22,1.3240292641137243
date_2023-01-12,1.287819593574875
date_2023-05-22,1.2705422924799132
date_2023-01-04,1.2026248648837947
date_2023-05-28,1.2001323316412078
date_2023-02-08,1.1807810833279961
date_2023-01-25,1.1706463974900958
date_2023-01-28,1.141382700428972
date_2023-01-27,1.0986287700885657
date_2023-02-09,1.0948738556645987
date_2023-02-03,1.0369781530057653
date_2023-01-11,1.0288157639931386
date_2023-01-08,1.0248466630715558
date_2023-05-16,1.0229729733316704
date_2023-06-08,1.022250344723909
date_2023-04-06,0.9929918292866164
date_2023-03-14,0.9920918914204232
date_2023-03-15,0.9632826342629561
date_2023-04-12,0.8966377722382285
date_2023-06-03,0.8632596030779829
date_2023-06-14,0.811862329142625
date_2023-06-17,0.8026992635085698
date_2023-04-02,0.7972728133290167
date_2023-01-03,0.7640045765214957
date_2023-02-05,0.7141005310682215
date_2023-03-23,0.6948722647101824
date_2023-02-12,0.6895766069622966
date_2023-05-29,0.6181756700047358
date_2023-05-13,0.5600145421708105
date_2023-06-06,0.5480426717351318
date_2023-04-11,0.4868565221303401
date_2023-06-12,0.48266750779516165
date_2023-04-15,0.42381992616199143
date_2023-03-17,0.4180882087491532
date_2023-02-16,0.4169241549565946
date_2023-03-18,0.38907578921440794
date_2023-02-15,0.3771217222105574
date_2023-05-12,0.34913248582054157
date_2023-01-10,0.3379661056217856
date_2023-01-13,0.33573818705771535
date_2023-03-25,0.3331502900070772
date_2023-02-14,0.3227597084120262
date_2023-01-23,0.3191713194797039
date_2023-06-21,0.3186171771280446
date_2023-04-08,0.3129453416643509
date_2023-06-18,0.29442584768790525
date_2023-05-14,0.28415604317746523
date_2023-02-11,0.269611677297091
date_2023-06-05,0.26316421014353103
date_2023-02-10,0.2588217834786363
date_2023-04-19,0.24598559886528656
date_2023-04-16,0.23818488965246362
date_2023-06-09,0.22873766426392644
date_2023-03-21,0.20566387097411312
date_2023-02-25,0.19579549048560274
date_2023-01-17,0.19231369823742225
date_2023-04-04,0.16768877993380646
date_2023-03-08,0.16652043469740951
date_2023-06-19,0.16611892029114367
date_2023-04-22,0.16458501269110015
date_2023-03-20,0.16456684022399976
date_2023-03-26,0.15267346807693824
date_2023-05-07,0.13342102167915787
date_2023-03-24,0.10897504837137892
date_2023-03-22,0.10842530530816892
date_2023-05-04,0.10507998839565698
date_2023-02-13,0.08676099652465721
date_2023-04-21,0.08650736123692442
date_2023-04-07,0.08311667829078984
date_2023-05-09,0.0808046740964015
date_2023-01-18,0.06818027277367641
date_2023-01-16,0.05337023369068006
date_2023-05-03,0.04530952488887608
date_2023-03-11,0.04334371041609886
date_2023-01-06,0.0431815560678648
date_2023-06-16,0.03617424426715117
date_2023-06-10,0.0210832067905945
date_2023-06-13,0.011122113031350609
date_2023-03-02,0.009913194343202807
date_2023-03-01,0.00970729933587951
date_2023-05-08,0.00897315584836342
date_2023-03-19,0.008185185080306422
date_2023-04-05,0.006419824227979615
date_2023-03-04,0.006159052549031522
date_2023-04-29,0.006063948588818988
date_2023-03-12,0.006015595710477346
date_2023-03-31,0.005030964570864534
date_2023-01-09,0.004496145996606877
date_2023-05-05,0.004371209256446017
date_2023-02-23,0.003855233025169822
date_2023-03-06,0.003100032004326254
date_2023-05-06,0.0021733615617292113
date_2023-03-03,0.0018734679195298593
date_2023-04-25,0.001564734438183277
date_2023-04-24,0.0014692073526603707
date_2023-06-11,0.0012449900033318071
date_2023-04-20,0.0012060851620143815
date_2023-01-20,0.001106159902188034
date_2023-03-28,0.0008146647539210944
date_2023-03-27,0.0007350913543746457
date_2023-05-01,0.0005899884239535617
date_2023-02-26,0.0005568380306993245
date_2023-02-21,0.00039611760311390645
date_2023-02-17,0.0003574044023840782
date_2023-04-01,2.193298810351843e-05
date_2023-01-07,0.0
date_2023-03-07,0.0
date_2023-03-09,0.0
date_2023-03-10,0.0
date_2023-04-30,0.0
date_2023-04-28,0.0
date_2023-04-26,0.0
date_2023-04-23,0.0
date_2023-02-19,0.0
date_2023-01-14,0.0
