feature,importance
date_2023-05-24,0.02020317
date_2023-01-01,0.018318042
date_2023-02-01,0.018024977
date_2023-01-19,0.017970534
date_2023-02-04,0.01767621
date_2023-01-30,0.016967548
date_2023-05-23,0.016808392
date_2023-02-02,0.01627775
date_2023-05-19,0.016200108
date_2023-05-20,0.01619154
date_2023-01-26,0.016047306
date_2023-01-29,0.015929306
date_2023-05-21,0.015560832
date_2023-05-25,0.01539821
date_2023-05-27,0.015377905
date_2023-05-26,0.015346903
date_2023-01-24,0.015122275
date_2023-05-18,0.015089781
date_2023-06-26,0.014359748
date_2023-05-17,0.014198591
date_2023-01-31,0.014173619
date_2023-01-05,0.013955981
date_2023-02-06,0.013487858
date_2023-06-04,0.013406135
date_2023-06-23,0.012885458
date_2023-06-28,0.012767969
date_2023-06-02,0.012517482
date_2023-04-09,0.012316059
date_2023-06-25,0.0121313315
date_2023-01-25,0.011665773
date_2023-01-04,0.011562101
date_2023-01-12,0.011405458
date_2023-05-22,0.011389551
date_2023-06-22,0.011350949
date_2023-02-08,0.011145436
date_2023-01-28,0.011022083
date_2023-05-28,0.010804155
date_2023-02-09,0.010675352
date_2023-01-27,0.010593348
date_2023-01-08,0.010511047
date_2023-01-11,0.010147341
date_2023-03-14,0.010138154
date_2023-03-15,0.010045905
date_2023-05-16,0.010020577
date_2023-02-03,0.009871211
date_2023-04-06,0.009755243
date_2023-06-08,0.009749164
date_2023-04-12,0.009108618
date_2023-06-03,0.009076164
date_2023-01-03,0.009023549
date_2023-06-14,0.00901005
date_2023-06-17,0.008961214
date_2023-04-02,0.008858285
date_2023-02-12,0.008443156
date_2023-03-23,0.008149555
date_2023-02-05,0.008133057
date_2023-05-29,0.007742897
date_2023-05-13,0.0076275934
date_2023-06-06,0.007258219
date_2023-06-12,0.007060259
date_2023-04-11,0.007024821
date_2023-02-15,0.0067363353
date_2023-04-15,0.00663839
date_2023-03-17,0.006602012
date_2023-02-16,0.006455072
date_2023-03-18,0.0064165764
date_2023-01-10,0.0062558483
date_2023-01-23,0.0059938966
date_2023-01-13,0.0058925813
date_2023-03-25,0.0058110766
date_2023-06-21,0.005783316
date_2023-04-08,0.005766094
date_2023-06-18,0.0057332115
date_2023-05-12,0.005728487
date_2023-02-14,0.005724572
date_2023-04-16,0.0056685577
date_2023-02-11,0.005621957
date_2023-02-10,0.0056023835
date_2023-05-14,0.0055836383
date_2023-06-05,0.0055437684
date_2023-01-17,0.0053221113
date_2023-04-19,0.0052630296
date_2023-06-09,0.0051992373
date_2023-03-21,0.005081373
date_2023-04-04,0.005042298
date_2023-02-25,0.005021741
date_2023-06-19,0.005016796
date_2023-03-20,0.0049658655
date_2023-03-26,0.0048299204
date_2023-03-08,0.0047451593
date_2023-05-07,0.004703661
date_2023-02-13,0.0045740725
date_2023-04-22,0.004558098
date_2023-03-22,0.004524441
date_2023-05-04,0.0045223422
date_2023-03-24,0.0043281466
date_2023-04-07,0.0042489655
date_2023-05-09,0.004097859
date_2023-04-21,0.0040664473
date_2023-01-18,0.0039598322
date_2023-06-16,0.003925286
date_2023-05-03,0.0039157206
date_2023-01-16,0.0038888527
date_2023-03-11,0.0038397375
date_2023-06-10,0.0037894924
date_2023-01-06,0.003702619
date_2023-06-13,0.0036275813
date_2023-05-05,0.0035571316
date_2023-01-09,0.0034578766
date_2023-02-23,0.0033327264
date_2023-04-26,0.003292474
date_2023-02-26,0.0
date_2023-03-27,0.0
date_2023-03-31,0.0
date_2023-02-21,0.0
date_2023-06-11,0.0
date_2023-03-01,0.0
date_2023-02-19,0.0
date_2023-02-17,0.0
date_2023-04-01,0.0
date_2023-01-20,0.0
date_2023-01-07,0.0
date_2023-03-10,0.0
date_2023-03-02,0.0
date_2023-05-06,0.0
date_2023-04-20,0.0
date_2023-04-23,0.0
date_2023-04-24,0.0
date_2023-04-25,0.0
date_2023-04-28,0.0
date_2023-04-29,0.0
date_2023-04-30,0.0
date_2023-05-01,0.0
date_2023-05-08,0.0
date_2023-03-03,0.0
date_2023-03-19,0.0
date_2023-03-12,0.0
date_2023-04-05,0.0
date_2023-01-14,0.0
date_2023-03-09,0.0
date_2023-03-07,0.0
date_2023-03-06,0.0
date_2023-03-04,0.0
date_2023-03-28,0.0
