feature,importance
date_2023-06-29,0.02074691
date_2023-05-24,0.019800294
date_2023-01-01,0.019123595
date_2023-02-01,0.019013403
date_2023-01-19,0.018895805
date_2023-06-27,0.018417234
date_2023-01-30,0.017702002
date_2023-01-29,0.017059974
date_2023-01-26,0.016958294
date_2023-01-24,0.016523328
date_2023-02-02,0.016199969
date_2023-05-20,0.015475221
date_2023-05-21,0.015147543
date_2023-01-31,0.014933344
date_2023-05-19,0.014914993
date_2023-05-25,0.014820306
date_2023-01-05,0.0147882495
date_2023-05-23,0.014744017
date_2023-02-06,0.01441651
date_2023-05-26,0.01439284
date_2023-05-27,0.014384365
date_2023-06-01,0.014317809
date_2023-05-18,0.014293752
date_2023-05-30,0.013726706
date_2023-05-17,0.013340337
date_2023-01-02,0.013240423
date_2023-06-24,0.013224927
date_2023-06-26,0.013177752
date_2023-01-12,0.012639648
date_2023-01-25,0.012112906
date_2023-04-10,0.012092775
date_2023-02-08,0.0120214205
date_2023-01-28,0.011890038
date_2023-06-02,0.011682813
date_2023-04-09,0.011629873
date_2023-06-25,0.011394123
date_2023-06-23,0.0113207605
date_2023-01-27,0.011267213
date_2023-01-11,0.011235196
date_2023-02-09,0.01113782
date_2023-06-22,0.010850796
date_2023-05-15,0.010690964
date_2023-05-28,0.0103977965
date_2023-01-03,0.009499772
date_2023-02-12,0.009093524
date_2023-03-23,0.009049248
date_2023-04-06,0.008945463
date_2023-01-21,0.008600823
date_2023-06-15,0.00842744
date_2023-03-16,0.008405664
date_2023-04-12,0.008326125
date_2023-06-03,0.008111568
date_2023-01-22,0.008099582
date_2023-04-14,0.00798854
date_2023-02-07,0.007971585
date_2023-06-14,0.007881171
date_2023-03-17,0.0073745647
date_2023-02-16,0.0073519656
date_2023-06-20,0.0072724507
date_2023-05-29,0.0072411755
date_2023-02-15,0.0069656894
date_2023-03-18,0.0069320705
date_2023-01-13,0.0068427916
date_2023-01-10,0.0067709307
date_2023-01-23,0.006656195
date_2023-02-14,0.0065576774
date_2023-05-13,0.00642812
date_2023-06-06,0.0063758004
date_2023-02-10,0.006336182
date_2023-04-11,0.0062958915
date_2023-02-11,0.0062570344
date_2023-04-15,0.005868862
date_2023-05-31,0.0057748407
date_2023-03-21,0.005646271
date_2023-01-17,0.0056042545
date_2023-03-08,0.0055442816
date_2023-03-26,0.0053274506
date_2023-04-08,0.0053204894
date_2023-03-20,0.0052428786
date_2023-06-21,0.0052085076
date_2023-05-04,0.005109064
date_2023-03-24,0.005102495
date_2023-05-14,0.00492461
date_2023-04-19,0.004856239
date_2023-06-18,0.0048047043
date_2023-05-11,0.0047744117
date_2023-06-05,0.00476927
date_2023-01-16,0.004671268
date_2023-03-11,0.004570353
date_2023-06-09,0.004415151
date_2023-03-13,0.004376453
date_2023-04-04,0.004303869
date_2023-04-22,0.0042908895
date_2023-06-19,0.0042035067
date_2023-02-25,0.00416459
date_2023-05-05,0.0040996596
date_2023-01-15,0.0040709893
date_2023-04-29,0.0038692818
date_2023-05-07,0.0038138737
date_2023-02-20,0.0038029486
date_2023-03-12,0.0035440042
date_2023-02-22,0.0035169225
date_2023-03-30,0.003508078
date_2023-04-17,0.0035006686
date_2023-04-07,0.003348857
date_2023-05-09,0.0033034617
date_2023-01-07,0.0032540984
date_2023-06-07,0.0032331406
date_2023-04-13,0.0031288809
date_2023-06-16,0.0029273052
date_2023-06-11,0.0
date_2023-01-20,0.0
date_2023-03-02,0.0
date_2023-05-01,0.0
date_2023-02-17,0.0
date_2023-02-18,0.0
date_2023-03-06,0.0
date_2023-03-07,0.0
date_2023-03-09,0.0
date_2023-03-10,0.0
date_2023-02-28,0.0
date_2023-03-27,0.0
date_2023-03-28,0.0
date_2023-03-29,0.0
date_2023-04-01,0.0
date_2023-04-03,0.0
date_2023-02-27,0.0
date_2023-02-26,0.0
date_2023-04-18,0.0
date_2023-04-20,0.0
date_2023-04-23,0.0
date_2023-04-24,0.0
date_2023-04-25,0.0
date_2023-04-26,0.0
date_2023-04-27,0.0
date_2023-04-28,0.0
date_2023-03-05,0.0
date_2023-05-02,0.0
date_2023-05-06,0.0
date_2023-05-08,0.0
date_2023-05-10,0.0
date_2023-02-24,0.0
date_2023-02-21,0.0
date_2023-04-05,0.0
