feature,importance
date_2023-06-29,0.021913556
date_2023-01-19,0.021025889
date_2023-02-01,0.020996528
date_2023-05-24,0.02090412
date_2023-02-04,0.020641563
date_2023-01-30,0.020142602
date_2023-06-27,0.018984659
date_2023-01-31,0.016745374
date_2023-05-21,0.01633412
date_2023-02-06,0.015982915
date_2023-05-23,0.015888164
date_2023-05-27,0.015661009
date_2023-06-01,0.015559159
date_2023-05-26,0.015202613
date_2023-06-26,0.014548922
date_2023-06-24,0.0145213455
date_2023-01-02,0.014520575
date_2023-01-12,0.014296512
date_2023-05-30,0.014228381
date_2023-01-25,0.0136478795
date_2023-02-08,0.013632743
date_2023-06-04,0.013251375
date_2023-01-04,0.012904384
date_2023-01-27,0.012886204
date_2023-06-28,0.012601241
date_2023-04-10,0.01258637
date_2023-04-09,0.012406266
date_2023-06-02,0.012394136
date_2023-06-23,0.012367343
date_2023-01-08,0.012237629
date_2023-02-03,0.012214591
date_2023-03-15,0.011978015
date_2023-03-14,0.0116954455
date_2023-05-15,0.011574237
date_2023-06-22,0.011549778
date_2023-05-22,0.011079776
date_2023-01-03,0.010985067
date_2023-05-28,0.010641654
date_2023-02-05,0.010419484
date_2023-06-08,0.010032029
date_2023-02-12,0.010016448
date_2023-05-16,0.0098096635
date_2023-01-21,0.009632087
date_2023-03-16,0.009619743
date_2023-02-07,0.009202189
date_2023-01-22,0.008983427
date_2023-06-15,0.008927319
date_2023-06-14,0.008617946
date_2023-06-03,0.0084653655
date_2023-04-14,0.008327496
date_2023-02-16,0.008259973
date_2023-03-18,0.008236406
date_2023-02-15,0.00812762
date_2023-06-17,0.008081047
date_2023-04-02,0.008063165
date_2023-03-17,0.0077303182
date_2023-03-25,0.0076795793
date_2023-06-20,0.0076510296
date_2023-05-29,0.007591263
date_2023-01-10,0.0075759883
date_2023-01-13,0.007531523
date_2023-01-23,0.007496277
date_2023-02-11,0.0071327933
date_2023-05-13,0.0068809777
date_2023-06-06,0.006766137
date_2023-04-11,0.0067317593
date_2023-06-12,0.0065358146
date_2023-01-17,0.0064269262
date_2023-03-08,0.006121558
date_2023-04-15,0.0060688476
date_2023-03-20,0.005974153
date_2023-05-31,0.0058098896
date_2023-05-12,0.0056824544
date_2023-03-22,0.0056673493
date_2023-02-13,0.0056341332
date_2023-06-21,0.0054957634
date_2023-03-24,0.005482435
date_2023-01-18,0.0054647843
date_2023-03-11,0.0053214952
date_2023-05-03,0.00528717
date_2023-04-08,0.00527862
date_2023-01-16,0.005170128
date_2023-01-06,0.005139848
date_2023-06-05,0.0049979836
date_2023-03-13,0.004912357
date_2023-06-09,0.00482767
date_2023-05-11,0.004775484
date_2023-04-16,0.0047384324
date_2023-05-05,0.004658221
date_2023-02-25,0.0045816065
date_2023-01-15,0.004527856
date_2023-04-29,0.004408142
date_2023-01-09,0.004387798
date_2023-06-19,0.004365127
date_2023-04-04,0.004328383
date_2023-04-22,0.0041723535
date_2023-02-20,0.004155554
date_2023-04-21,0.0040610656
date_2023-02-22,0.004009931
date_2023-05-07,0.0040080408
date_2023-01-07,0.0038996083
date_2023-03-19,0.003803364
date_2023-03-03,0.003784445
date_2023-04-17,0.0036848627
date_2023-06-07,0.0036605725
date_2023-04-07,0.0036540325
date_2023-03-02,0.0036440762
date_2023-03-30,0.003562593
date_2023-04-13,0.003507915
date_2023-02-18,0.0
date_2023-04-20,0.0
date_2023-06-10,0.0
date_2023-06-11,0.0
date_2023-03-31,0.0
date_2023-06-13,0.0
date_2023-02-19,0.0
date_2023-05-10,0.0
date_2023-04-18,0.0
date_2023-03-29,0.0
date_2023-03-27,0.0
date_2023-03-09,0.0
date_2023-03-10,0.0
date_2023-01-20,0.0
date_2023-04-24,0.0
date_2023-02-21,0.0
date_2023-05-06,0.0
date_2023-05-01,0.0
date_2023-04-03,0.0
date_2023-03-07,0.0
date_2023-03-05,0.0
date_2023-01-14,0.0
date_2023-03-04,0.0
date_2023-05-02,0.0
date_2023-03-01,0.0
date_2023-02-28,0.0
date_2023-04-26,0.0
date_2023-02-27,0.0
date_2023-02-26,0.0
date_2023-04-30,0.0
date_2023-04-28,0.0
date_2023-02-24,0.0
date_2023-02-23,0.0
date_2023-04-27,0.0
date_2023-04-01,0.0
