feature,mean_abs_shap,experiment,seed,fold
date,1.0759524862405103,boosting_suite_catboost_baseline,42,-1
date,1.0851283032033774,boosting_suite_catboost_baseline,42,-1
date,1.0279449838244734,boosting_suite_catboost_baseline,42,-1
date,1.0950362778454932,boosting_suite_catboost_baseline,42,-1
date,1.0946687277657785,boosting_suite_catboost_baseline,42,-1
date,1.1143770561982436,boosting_suite_catboost_baseline,77,-1
date,1.1194598998354204,boosting_suite_catboost_baseline,77,-1
date,1.0802981844875705,boosting_suite_catboost_baseline,77,-1
date,1.0396604093989148,boosting_suite_catboost_baseline,77,-1
date,1.0799823893399294,boosting_suite_catboost_baseline,77,-1
date,7.105427357601002e-15,boosting_suite_lightgbm_baseline,42,-1
date,3.552713678800501e-15,boosting_suite_lightgbm_baseline,42,-1
date,3.552713678800501e-15,boosting_suite_lightgbm_baseline,42,-1
date,0.0,boosting_suite_lightgbm_baseline,42,-1
date,3.552713678800501e-15,boosting_suite_lightgbm_baseline,42,-1
date,7.105427357601002e-15,boosting_suite_lightgbm_baseline,77,-1
date,7.105427357601002e-15,boosting_suite_lightgbm_baseline,77,-1
date,7.105427357601002e-15,boosting_suite_lightgbm_baseline,77,-1
date,3.552713678800501e-15,boosting_suite_lightgbm_baseline,77,-1
date,7.105427357601002e-15,boosting_suite_lightgbm_baseline,77,-1
date,1.153977282841999,boosting_suite_xgboost_baseline,42,-1
date,1.1671456570095484,boosting_suite_xgboost_baseline,42,-1
date,1.1109476772355438,boosting_suite_xgboost_baseline,42,-1
date,1.1864928365636749,boosting_suite_xgboost_baseline,42,-1
date,1.1793401463826494,boosting_suite_xgboost_baseline,42,-1
date,1.2071572987827253,boosting_suite_xgboost_baseline,77,-1
date,1.2070997240513932,boosting_suite_xgboost_baseline,77,-1
date,1.161244861461498,boosting_suite_xgboost_baseline,77,-1
date,1.121613882794792,boosting_suite_xgboost_baseline,77,-1
date,1.1639494254265301,boosting_suite_xgboost_baseline,77,-1
date,1.0759524862405103,feature_ablation_catboost_baseline,42,-1
date,1.0851283032033774,feature_ablation_catboost_baseline,42,-1
date,1.0279449838244734,feature_ablation_catboost_baseline,42,-1
date,1.0950362778454932,feature_ablation_catboost_baseline,42,-1
date,1.0946687277657785,feature_ablation_catboost_baseline,42,-1
date,1.0759524862405103,feature_ablation_catboost_no_scaling,42,-1
date,1.0851283032033774,feature_ablation_catboost_no_scaling,42,-1
date,1.0279449838244734,feature_ablation_catboost_no_scaling,42,-1
date,1.0950362778454932,feature_ablation_catboost_no_scaling,42,-1
date,1.0946687277657785,feature_ablation_catboost_no_scaling,42,-1
date,1.0759524862405103,feature_ablation_catboost_poly2,42,-1
date,1.0851283032033774,feature_ablation_catboost_poly2,42,-1
date,1.0279449838244734,feature_ablation_catboost_poly2,42,-1
date,1.0950362778454932,feature_ablation_catboost_poly2,42,-1
date,1.0946687277657785,feature_ablation_catboost_poly2,42,-1
date,1.0759524862405103,feature_ablation_catboost_quantile_bins,42,-1
date,1.0851283032033774,feature_ablation_catboost_quantile_bins,42,-1
date,1.0279449838244734,feature_ablation_catboost_quantile_bins,42,-1
date,1.0950362778454932,feature_ablation_catboost_quantile_bins,42,-1
date,1.0946687277657785,feature_ablation_catboost_quantile_bins,42,-1
date,1.0759524862405103,feature_ablation_catboost_vif_filter,42,-1
date,1.0851283032033774,feature_ablation_catboost_vif_filter,42,-1
date,1.0279449838244734,feature_ablation_catboost_vif_filter,42,-1
date,1.0950362778454932,feature_ablation_catboost_vif_filter,42,-1
date,1.0946687277657785,feature_ablation_catboost_vif_filter,42,-1
date,7.105427357601002e-15,feature_ablation_lightgbm_baseline,42,-1
date,3.552713678800501e-15,feature_ablation_lightgbm_baseline,42,-1
date,3.552713678800501e-15,feature_ablation_lightgbm_baseline,42,-1
date,0.0,feature_ablation_lightgbm_baseline,42,-1
date,3.552713678800501e-15,feature_ablation_lightgbm_baseline,42,-1
date,7.105427357601002e-15,feature_ablation_lightgbm_no_scaling,42,-1
date,3.552713678800501e-15,feature_ablation_lightgbm_no_scaling,42,-1
date,3.552713678800501e-15,feature_ablation_lightgbm_no_scaling,42,-1
date,0.0,feature_ablation_lightgbm_no_scaling,42,-1
date,3.552713678800501e-15,feature_ablation_lightgbm_no_scaling,42,-1
date,7.105427357601002e-15,feature_ablation_lightgbm_poly2,42,-1
date,3.552713678800501e-15,feature_ablation_lightgbm_poly2,42,-1
date,3.552713678800501e-15,feature_ablation_lightgbm_poly2,42,-1
date,0.0,feature_ablation_lightgbm_poly2,42,-1
date,3.552713678800501e-15,feature_ablation_lightgbm_poly2,42,-1
date,7.105427357601002e-15,feature_ablation_lightgbm_quantile_bins,42,-1
date,3.552713678800501e-15,feature_ablation_lightgbm_quantile_bins,42,-1
date,3.552713678800501e-15,feature_ablation_lightgbm_quantile_bins,42,-1
date,0.0,feature_ablation_lightgbm_quantile_bins,42,-1
date,3.552713678800501e-15,feature_ablation_lightgbm_quantile_bins,42,-1
date,7.105427357601002e-15,feature_ablation_lightgbm_vif_filter,42,-1
date,3.552713678800501e-15,feature_ablation_lightgbm_vif_filter,42,-1
date,3.552713678800501e-15,feature_ablation_lightgbm_vif_filter,42,-1
date,0.0,feature_ablation_lightgbm_vif_filter,42,-1
date,3.552713678800501e-15,feature_ablation_lightgbm_vif_filter,42,-1
date,1.153977282841999,feature_ablation_xgboost_baseline,42,-1
date,1.1671456570095484,feature_ablation_xgboost_baseline,42,-1
date,1.1109476772355438,feature_ablation_xgboost_baseline,42,-1
date,1.1864928365636749,feature_ablation_xgboost_baseline,42,-1
date,1.1793401463826494,feature_ablation_xgboost_baseline,42,-1
date,1.153977282841999,feature_ablation_xgboost_no_scaling,42,-1
date,1.1671456570095484,feature_ablation_xgboost_no_scaling,42,-1
date,1.1109476772355438,feature_ablation_xgboost_no_scaling,42,-1
date,1.1864928365636749,feature_ablation_xgboost_no_scaling,42,-1
date,1.1793401463826494,feature_ablation_xgboost_no_scaling,42,-1
date,1.153977282841999,feature_ablation_xgboost_poly2,42,-1
date,1.1671456570095484,feature_ablation_xgboost_poly2,42,-1
date,1.1109476772355438,feature_ablation_xgboost_poly2,42,-1
date,1.1864928365636749,feature_ablation_xgboost_poly2,42,-1
date,1.1793401463826494,feature_ablation_xgboost_poly2,42,-1
date,1.153977282841999,feature_ablation_xgboost_quantile_bins,42,-1
date,1.1671456570095484,feature_ablation_xgboost_quantile_bins,42,-1
date,1.1109476772355438,feature_ablation_xgboost_quantile_bins,42,-1
date,1.1864928365636749,feature_ablation_xgboost_quantile_bins,42,-1
date,1.1793401463826494,feature_ablation_xgboost_quantile_bins,42,-1
date,1.153977282841999,feature_ablation_xgboost_vif_filter,42,-1
date,1.1671456570095484,feature_ablation_xgboost_vif_filter,42,-1
date,1.1109476772355438,feature_ablation_xgboost_vif_filter,42,-1
date,1.1864928365636749,feature_ablation_xgboost_vif_filter,42,-1
date,1.1793401463826494,feature_ablation_xgboost_vif_filter,42,-1
